index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Submarine Nipper,12289,261,00 00 00 00 00 00 00 00 00 00 00 00 01 30 05 01
2,64,Thalassic Pugil,12290,261,00 00 00 00 00 00 00 00 00 00 00 00 02 30 05 01
3,96,Abyssal Pugil,12291,261,00 00 00 00 00 00 00 00 00 00 00 00 03 30 05 01
4,128,Bloodsucker,12292,261,00 00 00 00 00 00 00 00 00 00 00 00 04 30 05 01
5,160,Bloodsucker,12293,261,00 00 00 00 00 00 00 00 00 00 00 00 05 30 05 01
6,192,Duriumshell,12294,261,00 00 00 00 00 00 00 00 00 00 00 00 06 30 05 01
7,224,Duriumshell,12295,261,00 00 00 00 00 00 00 00 00 00 00 00 07 30 05 01
8,256,Duriumshell,12296,261,00 00 00 00 00 00 00 00 00 00 00 00 08 30 05 01
9,288,Duriumshell,12297,261,00 00 00 00 00 00 00 00 00 00 00 00 09 30 05 01
10,320,Duriumshell,12298,261,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 05 01
11,352,Duriumshell,12299,261,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 05 01
12,384,Duriumshell,12300,261,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 05 01
13,416,Duriumshell,12301,261,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 05 01
14,448,Duriumshell,12302,261,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 05 01
15,480,Duriumshell,12303,261,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 05 01
16,512,Duriumshell,12304,261,00 00 00 00 00 00 00 00 00 00 00 00 10 30 05 01
17,544,Duriumshell,12305,261,00 00 00 00 00 00 00 00 00 00 00 00 11 30 05 01
18,576,Duriumshell,12306,261,00 00 00 00 00 00 00 00 00 00 00 00 12 30 05 01
19,608,Duriumshell,12307,261,00 00 00 00 00 00 00 00 00 00 00 00 13 30 05 01
20,640,Duriumshell,12308,261,00 00 00 00 00 00 00 00 00 00 00 00 14 30 05 01
21,672,Duriumshell,12309,261,00 00 00 00 00 00 00 00 00 00 00 00 15 30 05 01
22,704,Duriumshell,12310,261,00 00 00 00 00 00 00 00 00 00 00 00 16 30 05 01
23,736,Duriumshell,12311,261,00 00 00 00 00 00 00 00 00 00 00 00 17 30 05 01
24,768,Duriumshell,12312,261,00 00 00 00 00 00 00 00 00 00 00 00 18 30 05 01
25,800,Duriumshell,12313,261,00 00 00 00 00 00 00 00 00 00 00 00 19 30 05 01
26,832,Fierce Smilodon,12314,261,00 00 00 00 00 00 00 00 00 00 00 00 1a 30 05 01
27,864,Fierce Smilodon,12315,261,00 00 00 00 00 00 00 00 00 00 00 00 1b 30 05 01
28,896,Fierce Smilodon,12316,261,00 00 00 00 00 00 00 00 00 00 00 00 1c 30 05 01
29,928,Carrion Marabou,12317,261,00 00 00 00 00 00 00 00 00 00 00 00 1d 30 05 01
30,960,Carrion Marabou,12318,261,00 00 00 00 00 00 00 00 00 00 00 00 1e 30 05 01
31,992,Carrion Marabou,12319,261,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 05 01
32,1024,Carrion Marabou,12320,261,00 00 00 00 00 00 00 00 00 00 00 00 20 30 05 01
33,1056,Carrion Marabou,12321,261,00 00 00 00 00 00 00 00 00 00 00 00 21 30 05 01
34,1088,Carrion Marabou,12322,261,00 00 00 00 00 00 00 00 00 00 00 00 22 30 05 01
35,1120,Air Elemental,12323,261,00 00 00 00 00 00 00 00 00 00 00 00 23 30 05 01
36,1152,Fierce Smilodon,12324,261,00 00 00 00 00 00 00 00 00 00 00 00 24 30 05 01
37,1184,Fierce Smilodon,12325,261,00 00 00 00 00 00 00 00 00 00 00 00 25 30 05 01
38,1216,Fierce Smilodon,12326,261,00 00 00 00 00 00 00 00 00 00 00 00 26 30 05 01
39,1248,Carrion Marabou,12327,261,00 00 00 00 00 00 00 00 00 00 00 00 27 30 05 01
40,1280,Carrion Marabou,12328,261,00 00 00 00 00 00 00 00 00 00 00 00 28 30 05 01
41,1312,Carrion Marabou,12329,261,00 00 00 00 00 00 00 00 00 00 00 00 29 30 05 01
42,1344,Carrion Marabou,12330,261,00 00 00 00 00 00 00 00 00 00 00 00 2a 30 05 01
43,1376,Carrion Marabou,12331,261,00 00 00 00 00 00 00 00 00 00 00 00 2b 30 05 01
44,1408,Carrion Marabou,12332,261,00 00 00 00 00 00 00 00 00 00 00 00 2c 30 05 01
45,1440,Air Elemental,12333,261,00 00 00 00 00 00 00 00 00 00 00 00 2d 30 05 01
46,1472,Ignis Djinn,12334,261,00 00 00 00 00 00 00 00 00 00 00 00 2e 30 05 01
47,1504,Ignis Djinn,12335,261,00 00 00 00 00 00 00 00 00 00 00 00 2f 30 05 01
48,1536,Ignis Djinn,12336,261,00 00 00 00 00 00 00 00 00 00 00 00 30 30 05 01
49,1568,Ignis Djinn,12337,261,00 00 00 00 00 00 00 00 00 00 00 00 31 30 05 01
50,1600,Ignis Djinn,12338,261,00 00 00 00 00 00 00 00 00 00 00 00 32 30 05 01
51,1632,Ignis Djinn,12339,261,00 00 00 00 00 00 00 00 00 00 00 00 33 30 05 01
52,1664,Ignis Djinn,12340,261,00 00 00 00 00 00 00 00 00 00 00 00 34 30 05 01
53,1696,Ignis Djinn,12341,261,00 00 00 00 00 00 00 00 00 00 00 00 35 30 05 01
54,1728,Gigas Marine,12342,261,00 00 00 00 00 00 00 00 00 00 00 00 36 30 05 01
55,1760,Gigas Deckhand,12343,261,00 00 00 00 00 00 00 00 00 00 00 00 37 30 05 01
56,1792,Gigas Jack,12344,261,00 00 00 00 00 00 00 00 00 00 00 00 38 30 05 01
57,1824,Gigas Helmsman,12345,261,00 00 00 00 00 00 00 00 00 00 00 00 39 30 05 01
58,1856,Gigas's Tiger,12346,261,00 00 00 00 00 00 00 00 00 00 00 00 3a 30 05 01
59,1888,Gigas Marine,12347,261,00 00 00 00 00 00 00 00 00 00 00 00 3b 30 05 01
60,1920,Gigas Deckhand,12348,261,00 00 00 00 00 00 00 00 00 00 00 00 3c 30 05 01
61,1952,Gigas Jack,12349,261,00 00 00 00 00 00 00 00 00 00 00 00 3d 30 05 01
62,1984,Gigas Helmsman,12350,261,00 00 00 00 00 00 00 00 00 00 00 00 3e 30 05 01
63,2016,Gigas's Tiger,12351,261,00 00 00 00 00 00 00 00 00 00 00 00 3f 30 05 01
64,2048,Gigas Deckhand,12352,261,00 00 00 00 00 00 00 00 00 00 00 00 40 30 05 01
65,2080,Gigas Jack,12353,261,00 00 00 00 00 00 00 00 00 00 00 00 41 30 05 01
66,2112,Pallas,12354,261,00 00 00 00 00 00 00 00 00 00 00 00 42 30 05 01
67,2144,Pallas's Tiger,12355,261,00 00 00 00 00 00 00 00 00 00 00 00 43 30 05 01
68,2176,Pallas's Tiger,12356,261,00 00 00 00 00 00 00 00 00 00 00 00 44 30 05 01
69,2208,Pallas's Tiger,12357,261,00 00 00 00 00 00 00 00 00 00 00 00 45 30 05 01
70,2240,Goblin Flagman,12358,261,00 00 00 00 00 00 00 00 00 00 00 00 46 30 05 01
71,2272,Goblin Grenadier,12359,261,00 00 00 00 00 00 00 00 00 00 00 00 47 30 05 01
72,2304,Goblin Guerrilla,12360,261,00 00 00 00 00 00 00 00 00 00 00 00 48 30 05 01
73,2336,Goblin's Bat,12361,261,00 00 00 00 00 00 00 00 00 00 00 00 49 30 05 01
74,2368,Goblin Flagman,12362,261,00 00 00 00 00 00 00 00 00 00 00 00 4a 30 05 01
75,2400,Goblin Grenadier,12363,261,00 00 00 00 00 00 00 00 00 00 00 00 4b 30 05 01
76,2432,Goblin Toxophili,12364,261,74 65 00 00 00 00 00 00 00 00 00 00 4c 30 05 01
77,2464,Goblin Mine,12365,261,00 00 00 00 00 00 00 00 00 00 00 00 4d 30 05 01
78,2496,Goblin Flagman,12366,261,00 00 00 00 00 00 00 00 00 00 00 00 4e 30 05 01
79,2528,Goblin Grenadier,12367,261,00 00 00 00 00 00 00 00 00 00 00 00 4f 30 05 01
80,2560,Goblin Guerrilla,12368,261,00 00 00 00 00 00 00 00 00 00 00 00 50 30 05 01
81,2592,Goblin's Bat,12369,261,00 00 00 00 00 00 00 00 00 00 00 00 51 30 05 01
82,2624,Goblin Flagman,12370,261,00 00 00 00 00 00 00 00 00 00 00 00 52 30 05 01
83,2656,Goblin Grenadier,12371,261,00 00 00 00 00 00 00 00 00 00 00 00 53 30 05 01
84,2688,Goblin Toxophili,12372,261,74 65 00 00 00 00 00 00 00 00 00 00 54 30 05 01
85,2720,Goblin Mine,12373,261,00 00 00 00 00 00 00 00 00 00 00 00 55 30 05 01
86,2752,Goblin Guerrilla,12374,261,00 00 00 00 00 00 00 00 00 00 00 00 56 30 05 01
87,2784,Goblin's Bat,12375,261,00 00 00 00 00 00 00 00 00 00 00 00 57 30 05 01
88,2816,Doom Soldier,12376,261,00 00 00 00 00 00 00 00 00 00 00 00 58 30 05 01
89,2848,Doom Mage,12377,261,00 00 00 00 00 00 00 00 00 00 00 00 59 30 05 01
90,2880,Doom Soldier,12378,261,00 00 00 00 00 00 00 00 00 00 00 00 5a 30 05 01
91,2912,Doom Mage,12379,261,00 00 00 00 00 00 00 00 00 00 00 00 5b 30 05 01
92,2944,Doom Soldier,12380,261,00 00 00 00 00 00 00 00 00 00 00 00 5c 30 05 01
93,2976,Doom Mage,12381,261,00 00 00 00 00 00 00 00 00 00 00 00 5d 30 05 01
94,3008,Doom Soldier,12382,261,00 00 00 00 00 00 00 00 00 00 00 00 5e 30 05 01
95,3040,Doom Mage,12383,261,00 00 00 00 00 00 00 00 00 00 00 00 5f 30 05 01
96,3072,Ignis Djinn,12384,261,00 00 00 00 00 00 00 00 00 00 00 00 60 30 05 01
97,3104,Ignis Djinn,12385,261,00 00 00 00 00 00 00 00 00 00 00 00 61 30 05 01
98,3136,Ignis Djinn,12386,261,00 00 00 00 00 00 00 00 00 00 00 00 62 30 05 01
99,3168,Ignis Djinn,12387,261,00 00 00 00 00 00 00 00 00 00 00 00 63 30 05 01
100,3200,Ignis Djinn,12388,261,00 00 00 00 00 00 00 00 00 00 00 00 64 30 05 01
101,3232,Gigas Marine,12389,261,00 00 00 00 00 00 00 00 00 00 00 00 65 30 05 01
102,3264,Gigas Deckhand,12390,261,00 00 00 00 00 00 00 00 00 00 00 00 66 30 05 01
103,3296,Gigas Jack,12391,261,00 00 00 00 00 00 00 00 00 00 00 00 67 30 05 01
104,3328,Gigas Helmsman,12392,261,00 00 00 00 00 00 00 00 00 00 00 00 68 30 05 01
105,3360,Gigas's Tiger,12393,261,00 00 00 00 00 00 00 00 00 00 00 00 69 30 05 01
106,3392,Gigas Marine,12394,261,00 00 00 00 00 00 00 00 00 00 00 00 6a 30 05 01
107,3424,Gigas Deckhand,12395,261,00 00 00 00 00 00 00 00 00 00 00 00 6b 30 05 01
108,3456,Gigas Jack,12396,261,00 00 00 00 00 00 00 00 00 00 00 00 6c 30 05 01
109,3488,Gigas Deckhand,12397,261,00 00 00 00 00 00 00 00 00 00 00 00 6d 30 05 01
110,3520,Bugard,12398,261,00 00 00 00 00 00 00 00 00 00 00 00 6e 30 05 01
111,3552,Warabouc,12399,261,00 00 00 00 00 00 00 00 00 00 00 00 6f 30 05 01
112,3584,Bugard,12400,261,00 00 00 00 00 00 00 00 00 00 00 00 70 30 05 01
113,3616,Bugard,12401,261,00 00 00 00 00 00 00 00 00 00 00 00 71 30 05 01
114,3648,Bugard,12402,261,00 00 00 00 00 00 00 00 00 00 00 00 72 30 05 01
115,3680,Robber Crab,12403,261,00 00 00 00 00 00 00 00 00 00 00 00 73 30 05 01
116,3712,Robber Crab,12404,261,00 00 00 00 00 00 00 00 00 00 00 00 74 30 05 01
117,3744,Robber Crab,12405,261,00 00 00 00 00 00 00 00 00 00 00 00 75 30 05 01
118,3776,Robber Crab,12406,261,00 00 00 00 00 00 00 00 00 00 00 00 76 30 05 01
119,3808,Robber Crab,12407,261,00 00 00 00 00 00 00 00 00 00 00 00 77 30 05 01
120,3840,Robber Crab,12408,261,00 00 00 00 00 00 00 00 00 00 00 00 78 30 05 01
121,3872,Robber Crab,12409,261,00 00 00 00 00 00 00 00 00 00 00 00 79 30 05 01
122,3904,Robber Crab,12410,261,00 00 00 00 00 00 00 00 00 00 00 00 7a 30 05 01
123,3936,Robber Crab,12411,261,00 00 00 00 00 00 00 00 00 00 00 00 7b 30 05 01
124,3968,Robber Crab,12412,261,00 00 00 00 00 00 00 00 00 00 00 00 7c 30 05 01
125,4000,Robber Crab,12413,261,00 00 00 00 00 00 00 00 00 00 00 00 7d 30 05 01
126,4032,Robber Crab,12414,261,00 00 00 00 00 00 00 00 00 00 00 00 7e 30 05 01
