index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Snipper,16385,261,00 00 00 00 00 00 00 00 00 00 00 00 01 40 05 01
2,64,Land Pugil,16386,261,00 00 00 00 00 00 00 00 00 00 00 00 02 40 05 01
3,96,Cutter,16387,261,00 00 00 00 00 00 00 00 00 00 00 00 03 40 05 01
4,128,Greater Pugil,16388,261,00 00 00 00 00 00 00 00 00 00 00 00 04 40 05 01
5,160,Kraken,16389,261,00 00 00 00 00 00 00 00 00 00 00 00 05 40 05 01
6,192,Djinn,16390,261,00 00 00 00 00 00 00 00 00 00 00 00 06 40 05 01
7,224,Djinn,16391,261,00 00 00 00 00 00 00 00 00 00 00 00 07 40 05 01
8,256,Djinn,16392,261,00 00 00 00 00 00 00 00 00 00 00 00 08 40 05 01
9,288,Earth Elemental,16393,261,00 00 00 00 00 00 00 00 00 00 00 00 09 40 05 01
10,320,Sadfly,16394,261,00 00 00 00 00 00 00 00 00 00 00 00 0a 40 05 01
11,352,Sadfly,16395,261,00 00 00 00 00 00 00 00 00 00 00 00 0b 40 05 01
12,384,Sadfly,16396,261,00 00 00 00 00 00 00 00 00 00 00 00 0c 40 05 01
13,416,Sadfly,16397,261,00 00 00 00 00 00 00 00 00 00 00 00 0d 40 05 01
14,448,Sadfly,16398,261,00 00 00 00 00 00 00 00 00 00 00 00 0e 40 05 01
15,480,Sadfly,16399,261,00 00 00 00 00 00 00 00 00 00 00 00 0f 40 05 01
16,512,Sadfly,16400,261,00 00 00 00 00 00 00 00 00 00 00 00 10 40 05 01
17,544,Sadfly,16401,261,00 00 00 00 00 00 00 00 00 00 00 00 11 40 05 01
18,576,Sadfly,16402,261,00 00 00 00 00 00 00 00 00 00 00 00 12 40 05 01
19,608,Sadfly,16403,261,00 00 00 00 00 00 00 00 00 00 00 00 13 40 05 01
20,640,Goblin Freesword,16404,261,00 00 00 00 00 00 00 00 00 00 00 00 14 40 05 01
21,672,Goblin Corpsman,16405,261,00 00 00 00 00 00 00 00 00 00 00 00 15 40 05 01
22,704,Goblin Blastmast,16406,261,65 72 00 00 00 00 00 00 00 00 00 00 16 40 05 01
23,736,Goblin Freesword,16407,261,00 00 00 00 00 00 00 00 00 00 00 00 17 40 05 01
24,768,Goblin Corpsman,16408,261,00 00 00 00 00 00 00 00 00 00 00 00 18 40 05 01
25,800,Goblin Blastmast,16409,261,65 72 00 00 00 00 00 00 00 00 00 00 19 40 05 01
26,832,Goblin Pioneer,16410,261,00 00 00 00 00 00 00 00 00 00 00 00 1a 40 05 01
27,864,Goblin Mine,16411,261,00 00 00 00 00 00 00 00 00 00 00 00 1b 40 05 01
28,896,Goblin Freesword,16412,261,00 00 00 00 00 00 00 00 00 00 00 00 1c 40 05 01
29,928,Smilodon,16413,261,00 00 00 00 00 00 00 00 00 00 00 00 1d 40 05 01
30,960,Smilodon,16414,261,00 00 00 00 00 00 00 00 00 00 00 00 1e 40 05 01
31,992,Smilodon,16415,261,00 00 00 00 00 00 00 00 00 00 00 00 1f 40 05 01
32,1024,Smilodon,16416,261,00 00 00 00 00 00 00 00 00 00 00 00 20 40 05 01
33,1056,Smilodon,16417,261,00 00 00 00 00 00 00 00 00 00 00 00 21 40 05 01
34,1088,Smilodon,16418,261,00 00 00 00 00 00 00 00 00 00 00 00 22 40 05 01
35,1120,Smilodon,16419,261,00 00 00 00 00 00 00 00 00 00 00 00 23 40 05 01
36,1152,Wight,16420,261,00 00 00 00 00 00 00 00 00 00 00 00 24 40 05 01
37,1184,Wight,16421,261,00 00 00 00 00 00 00 00 00 00 00 00 25 40 05 01
38,1216,Goblin Corpsman,16422,261,00 00 00 00 00 00 00 00 00 00 00 00 26 40 05 01
39,1248,Goblin Blastmast,16423,261,65 72 00 00 00 00 00 00 00 00 00 00 27 40 05 01
40,1280,Goblin Freesword,16424,261,00 00 00 00 00 00 00 00 00 00 00 00 28 40 05 01
41,1312,Goblin Corpsman,16425,261,00 00 00 00 00 00 00 00 00 00 00 00 29 40 05 01
42,1344,Goblin Blastmast,16426,261,65 72 00 00 00 00 00 00 00 00 00 00 2a 40 05 01
43,1376,Smilodon,16427,261,00 00 00 00 00 00 00 00 00 00 00 00 2b 40 05 01
44,1408,Smilodon,16428,261,00 00 00 00 00 00 00 00 00 00 00 00 2c 40 05 01
45,1440,Smilodon,16429,261,00 00 00 00 00 00 00 00 00 00 00 00 2d 40 05 01
46,1472,Smilodon,16430,261,00 00 00 00 00 00 00 00 00 00 00 00 2e 40 05 01
47,1504,Smilodon,16431,261,00 00 00 00 00 00 00 00 00 00 00 00 2f 40 05 01
48,1536,Stalking Sapling,16432,261,00 00 00 00 00 00 00 00 00 00 00 00 30 40 05 01
49,1568,Stalking Sapling,16433,261,00 00 00 00 00 00 00 00 00 00 00 00 31 40 05 01
50,1600,Stalking Sapling,16434,261,00 00 00 00 00 00 00 00 00 00 00 00 32 40 05 01
51,1632,Stalking Sapling,16435,261,00 00 00 00 00 00 00 00 00 00 00 00 33 40 05 01
52,1664,Stalking Sapling,16436,261,00 00 00 00 00 00 00 00 00 00 00 00 34 40 05 01
53,1696,Stalking Sapling,16437,261,00 00 00 00 00 00 00 00 00 00 00 00 35 40 05 01
54,1728,Stalking Sapling,16438,261,00 00 00 00 00 00 00 00 00 00 00 00 36 40 05 01
55,1760,Stalking Sapling,16439,261,00 00 00 00 00 00 00 00 00 00 00 00 37 40 05 01
56,1792,Stalking Sapling,16440,261,00 00 00 00 00 00 00 00 00 00 00 00 38 40 05 01
57,1824,Stalking Sapling,16441,261,00 00 00 00 00 00 00 00 00 00 00 00 39 40 05 01
