npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
541,Royal Provisione,16925,261,7,156756,156936,-1509.1,141.33,-1351.19,95,-150910,14133,-135119,-150910 -135119 14133 364 -147555 -131670 11139 1148
542,Royal Provisione,16926,261,7,156784,156952,-1475.55,111.39,-1316.7,110,-147555,11139,-131670,-147555 -131670 11139 1148 -149310 -131899 10725 879
543,Royal Provisione,16927,261,7,156812,156952,-1475.55,111.39,-1316.7,110,-147555,11139,-131670,-147555 -131670 11139 1148 -149310 -131899 10725 879
772,???,17158,261,1,42076,42128,79.11,79.12,79.13,25,7911,7912,7913,7911 7913 7912 215 771825664 1853882424 2147483632 -258375679
776,Duskraven,17162,261,1,89068,89108,0.03,78.11,78.12,50,3,7811,7812,3 7812 7811 323 1107369984 507642144 2147483632 50331907
777,Ferreous Coffin,17163,261,1,89448,89472,78.13,78.14,0.0,30,7813,7814,0,7813 0 7814 2 3 7815 293 1107369984
778,Treasure Coffer,17165,261,1,204156,204188,83.2,0.86,0.01,65,8320,86,1,8320 1 86 768 16977922 51380992 268697602 83886851
801,Stone Monument,17203,261,1,8400,8432,77.39,77.41,77.4,65,7739,7741,7740,7739 7740 7741 27 -2147465216 -2147399645 -2147334109 -2147268573
802,"Myllue, R.K.",17204,261,28,8476,8640,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
803,"Granite Fist, L.",17205,261,28,16548,16712,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
804,"Rhu Arlohtt, M.C",17206,261,28,24620,24784,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
809,"Telford, C.A.",17211,261,1,32692,32712,1.23,0.04,71.98,30,123,4,7198,123 7198 4 0 7211 1 7212 2
810,_2c0,17212,261,2,204116,204188,83.2,0.86,0.01,65,8320,86,1,8320 1 86 768 16977922 51380992 268697602 83886851
821,Crypt Door,17223,261,3,38812,38840,0.07,0.01,77.34,15,7,1,7734,7 7734 1 0 200 60 19 217
822,Crypt Door,17224,261,1,39040,39056,0.07,0.01,77.34,15,7,1,7734,7 7734 1 0 200 60 19 217
823,Crypt Door,17225,261,1,39252,39268,0.07,0.01,77.34,15,7,1,7734,7 7734 1 0 200 60 19 217
824,Crypt Door,17226,261,1,39464,39480,0.07,0.01,77.34,15,7,1,7734,7 7734 1 0 200 60 19 217
825,Crypt Door,17227,261,1,39676,39692,0.07,0.01,77.34,15,7,1,7734,7 7734 1 0 200 60 19 217
826,Crypt Door,17228,261,1,39888,39904,0.07,0.01,77.34,15,7,1,7734,7 7734 1 0 200 60 19 217
