index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Ferocious Pugil,20481,261,00 00 00 00 00 00 00 00 00 00 00 00 01 50 05 01
2,64,Ogrish Pugil,20482,261,00 00 00 00 00 00 00 00 00 00 00 00 02 50 05 01
3,96,Greater Pugil,20483,261,00 00 00 00 00 00 00 00 00 00 00 00 03 50 05 01
4,128,Gloop,20484,261,00 00 00 00 00 00 00 00 00 00 00 00 04 50 05 01
5,160,Oil Spill,20485,261,00 00 00 00 00 00 00 00 00 00 00 00 05 50 05 01
6,192,Mariehene,20486,261,00 00 00 00 00 00 00 00 00 00 00 00 06 50 05 01
7,224,War Lizard,20487,261,00 00 00 00 00 00 00 00 00 00 00 00 07 50 05 01
8,256,Wolf Bat,20488,261,00 00 00 00 00 00 00 00 00 00 00 00 08 50 05 01
9,288,Wolf Bat,20489,261,00 00 00 00 00 00 00 00 00 00 00 00 09 50 05 01
10,320,Mariehene,20490,261,00 00 00 00 00 00 00 00 00 00 00 00 0a 50 05 01
11,352,Wood Bats,20491,261,00 00 00 00 00 00 00 00 00 00 00 00 0b 50 05 01
12,384,Orcish Veteran,20492,261,00 00 00 00 00 00 00 00 00 00 00 00 0c 50 05 01
13,416,Mariehene,20493,261,00 00 00 00 00 00 00 00 00 00 00 00 0d 50 05 01
14,448,Orcish Augur,20494,261,00 00 00 00 00 00 00 00 00 00 00 00 0e 50 05 01
15,480,Water Elemental,20495,261,00 00 00 00 00 00 00 00 00 00 00 00 0f 50 05 01
16,512,War Lizard,20496,261,00 00 00 00 00 00 00 00 00 00 00 00 10 50 05 01
17,544,Orcish Champion,20497,261,00 00 00 00 00 00 00 00 00 00 00 00 11 50 05 01
18,576,Mariehene,20498,261,00 00 00 00 00 00 00 00 00 00 00 00 12 50 05 01
19,608,Wood Bats,20499,261,00 00 00 00 00 00 00 00 00 00 00 00 13 50 05 01
20,640,Mariehene,20500,261,00 00 00 00 00 00 00 00 00 00 00 00 14 50 05 01
21,672,Mariehene,20501,261,00 00 00 00 00 00 00 00 00 00 00 00 15 50 05 01
22,704,Wolf Bat,20502,261,00 00 00 00 00 00 00 00 00 00 00 00 16 50 05 01
23,736,Orcish Augur,20503,261,00 00 00 00 00 00 00 00 00 00 00 00 17 50 05 01
24,768,Orcish Dragonbra,20504,261,6e 64 65 72 00 00 00 00 00 00 00 00 18 50 05 01
25,800,Wolf Bat,20505,261,00 00 00 00 00 00 00 00 00 00 00 00 19 50 05 01
26,832,Mariehene,20506,261,00 00 00 00 00 00 00 00 00 00 00 00 1a 50 05 01
27,864,Orcish Veteran,20507,261,00 00 00 00 00 00 00 00 00 00 00 00 1b 50 05 01
28,896,Orcish Champion,20508,261,00 00 00 00 00 00 00 00 00 00 00 00 1c 50 05 01
29,928,Mariehene,20509,261,00 00 00 00 00 00 00 00 00 00 00 00 1d 50 05 01
30,960,War Lizard,20510,261,00 00 00 00 00 00 00 00 00 00 00 00 1e 50 05 01
31,992,Mariehene,20511,261,00 00 00 00 00 00 00 00 00 00 00 00 1f 50 05 01
32,1024,Wood Bats,20512,261,00 00 00 00 00 00 00 00 00 00 00 00 20 50 05 01
33,1056,Mariehene,20513,261,00 00 00 00 00 00 00 00 00 00 00 00 21 50 05 01
34,1088,War Lizard,20514,261,00 00 00 00 00 00 00 00 00 00 00 00 22 50 05 01
35,1120,War Lizard,20515,261,00 00 00 00 00 00 00 00 00 00 00 00 23 50 05 01
36,1152,Orcish Veteran,20516,261,00 00 00 00 00 00 00 00 00 00 00 00 24 50 05 01
37,1184,Orcish Bowshoote,20517,261,72 00 00 00 00 00 00 00 00 00 00 00 25 50 05 01
38,1216,Mariehene,20518,261,00 00 00 00 00 00 00 00 00 00 00 00 26 50 05 01
39,1248,Orcish Augur,20519,261,00 00 00 00 00 00 00 00 00 00 00 00 27 50 05 01
40,1280,Orcish Dragonbra,20520,261,6e 64 65 72 00 00 00 00 00 00 00 00 28 50 05 01
41,1312,Mariehene,20521,261,00 00 00 00 00 00 00 00 00 00 00 00 29 50 05 01
42,1344,War Lizard,20522,261,00 00 00 00 00 00 00 00 00 00 00 00 2a 50 05 01
43,1376,Orcish Veteran,20523,261,00 00 00 00 00 00 00 00 00 00 00 00 2b 50 05 01
44,1408,Orcish Augur,20524,261,00 00 00 00 00 00 00 00 00 00 00 00 2c 50 05 01
45,1440,Mariehene,20525,261,00 00 00 00 00 00 00 00 00 00 00 00 2d 50 05 01
46,1472,War Lizard,20526,261,00 00 00 00 00 00 00 00 00 00 00 00 2e 50 05 01
47,1504,Orcish Dragonbra,20527,261,6e 64 65 72 00 00 00 00 00 00 00 00 2f 50 05 01
48,1536,Orcish Veteran,20528,261,00 00 00 00 00 00 00 00 00 00 00 00 30 50 05 01
49,1568,Mariehene,20529,261,00 00 00 00 00 00 00 00 00 00 00 00 31 50 05 01
50,1600,Orcish Bowshoote,20530,261,72 00 00 00 00 00 00 00 00 00 00 00 32 50 05 01
51,1632,Orcish Augur,20531,261,00 00 00 00 00 00 00 00 00 00 00 00 33 50 05 01
52,1664,War Lizard,20532,261,00 00 00 00 00 00 00 00 00 00 00 00 34 50 05 01
53,1696,War Lizard,20533,261,00 00 00 00 00 00 00 00 00 00 00 00 35 50 05 01
54,1728,Orcish Dragonbra,20534,261,6e 64 65 72 00 00 00 00 00 00 00 00 36 50 05 01
55,1760,Orcish Bowshoote,20535,261,72 00 00 00 00 00 00 00 00 00 00 00 37 50 05 01
56,1792,Mariehene,20536,261,00 00 00 00 00 00 00 00 00 00 00 00 38 50 05 01
57,1824,Hawkeyed Dnatbat,20537,261,00 00 00 00 00 00 00 00 00 00 00 00 39 50 05 01
58,1856,Seneschal Imp,20538,261,00 00 00 00 00 00 00 00 00 00 00 00 3a 50 05 01
59,1888,Orcish Dragonbra,20539,261,6e 64 65 72 00 00 00 00 00 00 00 00 3b 50 05 01
60,1920,Orcish Veteran,20540,261,00 00 00 00 00 00 00 00 00 00 00 00 3c 50 05 01
61,1952,Orcish Veteran,20541,261,00 00 00 00 00 00 00 00 00 00 00 00 3d 50 05 01
62,1984,Fighting Smilodo,20542,261,6e 00 00 00 00 00 00 00 00 00 00 00 3e 50 05 01
63,2016,Fighting Smilodo,20543,261,6e 00 00 00 00 00 00 00 00 00 00 00 3f 50 05 01
64,2048,Fighting Smilodo,20544,261,6e 00 00 00 00 00 00 00 00 00 00 00 40 50 05 01
65,2080,Orcish Bowshoote,20545,261,72 00 00 00 00 00 00 00 00 00 00 00 41 50 05 01
66,2112,Orcish Augur,20546,261,00 00 00 00 00 00 00 00 00 00 00 00 42 50 05 01
67,2144,Orcish Dragonbra,20547,261,6e 64 65 72 00 00 00 00 00 00 00 00 43 50 05 01
68,2176,Orcish Augur,20548,261,00 00 00 00 00 00 00 00 00 00 00 00 44 50 05 01
69,2208,Fighting Smilodo,20549,261,6e 00 00 00 00 00 00 00 00 00 00 00 45 50 05 01
70,2240,Thunder Elementa,20550,261,6c 00 00 00 00 00 00 00 00 00 00 00 46 50 05 01
71,2272,Seneschal Imp,20551,261,00 00 00 00 00 00 00 00 00 00 00 00 47 50 05 01
72,2304,Orcish Veteran,20552,261,00 00 00 00 00 00 00 00 00 00 00 00 48 50 05 01
73,2336,Orcish Firebelch,20553,261,65 72 00 00 00 00 00 00 00 00 00 00 49 50 05 01
74,2368,Orcish Augur,20554,261,00 00 00 00 00 00 00 00 00 00 00 00 4a 50 05 01
75,2400,Orcish Dragonbra,20555,261,6e 64 65 72 00 00 00 00 00 00 00 00 4b 50 05 01
76,2432,Ashmaker Gotblut,20556,261,00 00 00 00 00 00 00 00 00 00 00 00 4c 50 05 01
77,2464,Fighting Smilodo,20557,261,6e 00 00 00 00 00 00 00 00 00 00 00 4d 50 05 01
78,2496,Fighting Smilodo,20558,261,6e 00 00 00 00 00 00 00 00 00 00 00 4e 50 05 01
79,2528,Fighting Smilodo,20559,261,6e 00 00 00 00 00 00 00 00 00 00 00 4f 50 05 01
80,2560,Fighting Smilodo,20560,261,6e 00 00 00 00 00 00 00 00 00 00 00 50 50 05 01
81,2592,Fighting Smilodo,20561,261,6e 00 00 00 00 00 00 00 00 00 00 00 51 50 05 01
82,2624,Orcish Veteran,20562,261,00 00 00 00 00 00 00 00 00 00 00 00 52 50 05 01
83,2656,Orcish Champion,20563,261,00 00 00 00 00 00 00 00 00 00 00 00 53 50 05 01
84,2688,Orcish Augur,20564,261,00 00 00 00 00 00 00 00 00 00 00 00 54 50 05 01
85,2720,Orcish Dragonbra,20565,261,6e 64 65 72 00 00 00 00 00 00 00 00 55 50 05 01
86,2752,Orcish Veteran,20566,261,00 00 00 00 00 00 00 00 00 00 00 00 56 50 05 01
87,2784,Orcish Champion,20567,261,00 00 00 00 00 00 00 00 00 00 00 00 57 50 05 01
88,2816,Mariehene,20568,261,00 00 00 00 00 00 00 00 00 00 00 00 58 50 05 01
89,2848,Mariehene,20569,261,00 00 00 00 00 00 00 00 00 00 00 00 59 50 05 01
90,2880,Orcish Augur,20570,261,00 00 00 00 00 00 00 00 00 00 00 00 5a 50 05 01
91,2912,War Lizard,20571,261,00 00 00 00 00 00 00 00 00 00 00 00 5b 50 05 01
92,2944,Mariehene,20572,261,00 00 00 00 00 00 00 00 00 00 00 00 5c 50 05 01
93,2976,War Lizard,20573,261,00 00 00 00 00 00 00 00 00 00 00 00 5d 50 05 01
94,3008,Orcish Dragonbra,20574,261,6e 64 65 72 00 00 00 00 00 00 00 00 5e 50 05 01
95,3040,Orcish Veteran,20575,261,00 00 00 00 00 00 00 00 00 00 00 00 5f 50 05 01
