npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
700,"Framaraix, T.K.",21198,261,15,21436,21552,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
701,"Aloysius, I.M.",21199,261,15,29232,29352,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
702,"Flasco-Rasco, C.",21200,261,15,37028,37148,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
707,"Radnor, C.A.",21205,261,1,44824,44844,1.23,0.04,71.78,30,123,4,7178,123 7178 4 0 7191 1 7192 2
708,Village Gateway,21206,261,1,116428,116528,23.11,0.15,26.16,30,2311,15,2616,2311 2616 15 502 0 45 180 60
709,Reinforced Gatew,21211,261,3,116348,116528,23.11,0.15,26.16,30,2311,15,2616,2311 2616 15 502 0 45 180 60
710,Reinforced Gatew,21212,261,3,116388,116528,23.11,0.15,26.16,30,2311,15,2616,2311 2616 15 502 0 45 180 60
727,Allied Commissar,21230,261,208,50176,50316,0.82,-336.46,667.52,105,82,-33646,66752,82 66752 -33646 573 83 -192613 -281066 -40000
733,Ramblix,21236,261,2,72448,72572,81.24,0.6,2.0,70,8124,60,200,8124 200 60 485 1107369984 -266469342 1249902591 2147483632
738,Lilisette,21241,261,482,97732,97872,-1912.77,0.05,39.99,80,-191277,5,3999,-191277 3999 5 42 -443322 366596 -115999 -371027
739,Portia,21242,261,153,98276,98400,-1903.33,0.15,39.99,80,-190333,15,3999,-190333 3999 15 40 -442114 366082 -115999 -369788
740,Ragelise,21243,261,235,100804,100912,-1935.78,15.0,42.49,80,-193578,1500,4249,-193578 4249 1500 105 2228224 -524241 -127107073 8388607
741,Ragelise,21244,261,16,73308,73488,295.0,0.06,15.42,70,29500,6,1542,29500 1542 6 180 181 -2147445504 0 1393388544
742,Mayakov,21245,261,114,99436,99556,-1917.74,0.6,39.99,80,-191774,60,3999,-191774 3999 60 11 216595 -2710 -11 38
743,Haudrale,21246,261,119,73328,73488,295.0,0.06,15.42,70,29500,6,1542,29500 1542 6 180 181 -2147445504 0 1393388544
744,Aquila,21247,261,127,73288,73464,0.0,0.74,14.96,50,0,74,1496,0 1496 74 218 284119 236064 29500 1542
748,Eusmard,21251,261,51,100812,100912,-1935.78,15.0,42.49,80,-193578,1500,4249,-193578 4249 1500 105 2228224 -524241 -127107073 8388607
749,03,21252,261,60,101036,101196,-1900.2,10.24,-32.0,80,-190020,1024,-3200,-190020 -3200 1024 148 2228224 -524241 -127107073 8388607
750,Dionaste,21253,261,28,101360,101476,38.13,13.02,0.15,70,3813,1302,15,3813 15 1302 330 2228224 -524241 -127107073 8388607
752,Gallauciond,21255,261,56,101984,102092,-1932.1,0.45,39.99,40,-193210,45,3999,-193210 3999 45 1302 2 27 211 379
753,Merfanont,21256,261,65,102312,102496,13.02,0.12,0.03,70,1302,12,3,1302 3 12 428 2228224 -524241 -127107073 8388607
754,08,21257,261,22,102940,103056,4.76,1.5,18.11,85,476,150,1811,476 1811 150 2090 291083 -208668 180 20
755,09,21258,261,20,103344,103384,1310.71,0.0,0.03,5,131071,0,3,131071 3 0 1 128 69 2228224 -524241
756,Haudrale,21259,261,76,103480,103636,186.76,38.02,-1451.55,80,18676,3802,-145155,18676 -145155 3802 163 2228224 -524241 -127107073 8388607
757,Demon Ken,21260,261,56,103816,103900,-1980.73,7.96,39.99,80,-198073,796,3999,-198073 3999 796 42 280108 -218788 30 2225
758,Demon Kama,21261,261,43,104060,104144,39.99,0.05,9.93,70,3999,5,993,3999 993 5 40 279760 -216509 15 2225
759,Demon Tue,21262,261,62,104300,104380,-1929.1,26.0,39.99,80,-192910,2600,3999,-192910 3999 2600 11 277691 -220475 99 2228224
