index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Orcish Stormer,24577,261,00 00 00 00 00 00 00 00 00 00 00 00 01 60 05 01
2,64,Orcish Stormer,24578,261,00 00 00 00 00 00 00 00 00 00 00 00 02 60 05 01
3,96,Orcish Stormer,24579,261,00 00 00 00 00 00 00 00 00 00 00 00 03 60 05 01
4,128,Orcish Stormer,24580,261,00 00 00 00 00 00 00 00 00 00 00 00 04 60 05 01
5,160,Orcish Stormer,24581,261,00 00 00 00 00 00 00 00 00 00 00 00 05 60 05 01
6,192,Orcish Stormer,24582,261,00 00 00 00 00 00 00 00 00 00 00 00 06 60 05 01
7,224,Orcish Stormer,24583,261,00 00 00 00 00 00 00 00 00 00 00 00 07 60 05 01
8,256,Orcish Stormer,24584,261,00 00 00 00 00 00 00 00 00 00 00 00 08 60 05 01
9,288,Orcish Stormer,24585,261,00 00 00 00 00 00 00 00 00 00 00 00 09 60 05 01
10,320,Orcish Stormer,24586,261,00 00 00 00 00 00 00 00 00 00 00 00 0a 60 05 01
11,352,Orcish Stormer,24587,261,00 00 00 00 00 00 00 00 00 00 00 00 0b 60 05 01
12,384,Orcish Stormer,24588,261,00 00 00 00 00 00 00 00 00 00 00 00 0c 60 05 01
13,416,Orcish Stormer,24589,261,00 00 00 00 00 00 00 00 00 00 00 00 0d 60 05 01
14,448,Orcish Stormer,24590,261,00 00 00 00 00 00 00 00 00 00 00 00 0e 60 05 01
15,480,Orcish Stormer,24591,261,00 00 00 00 00 00 00 00 00 00 00 00 0f 60 05 01
16,512,Orcish Stormer,24592,261,00 00 00 00 00 00 00 00 00 00 00 00 10 60 05 01
17,544,Orcish Stormer,24593,261,00 00 00 00 00 00 00 00 00 00 00 00 11 60 05 01
18,576,Orcish Stormer,24594,261,00 00 00 00 00 00 00 00 00 00 00 00 12 60 05 01
19,608,Royal Garrison,24595,261,00 00 00 00 00 00 00 00 00 00 00 00 13 60 05 01
20,640,Royal Garrison,24596,261,00 00 00 00 00 00 00 00 00 00 00 00 14 60 05 01
21,672,Royal Garrison,24597,261,00 00 00 00 00 00 00 00 00 00 00 00 15 60 05 01
22,704,Royal Infantry,24598,261,00 00 00 00 00 00 00 00 00 00 00 00 16 60 05 01
23,736,Royal Infantry,24599,261,00 00 00 00 00 00 00 00 00 00 00 00 17 60 05 01
24,768,Royal Infantry,24600,261,00 00 00 00 00 00 00 00 00 00 00 00 18 60 05 01
25,800,Trained Crab,24601,261,00 00 00 00 00 00 00 00 00 00 00 00 19 60 05 01
26,832,Trained Bat,24602,261,00 00 00 00 00 00 00 00 00 00 00 00 1a 60 05 01
