npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
76,Pupil Palliator,24652,261,1,1228,1244,0.09,0.0,73.47,30,9,0,7347,9 7347 0 1 7348 2 3 4
77,Pupil Palliator,24653,261,1,1416,1432,0.09,0.0,73.47,30,9,0,7347,9 7347 0 1 7348 2 3 4
78,Pupil Palliator,24654,261,1,1604,1620,0.09,0.0,73.47,30,9,0,7347,9 7347 0 1 7348 2 3 4
155,Dawn Aureola,24732,261,1,964,980,0.04,0.01,73.34,15,4,1,7334,4 7334 1 0 2 47 604053504 -2147385344
156,Twilight Aureola,24733,261,1,1052,1068,0.04,0.01,73.34,15,4,1,7334,4 7334 1 0 2 47 604053504 -2147385344
157,Lacuna Whorl,24734,261,1,1140,1244,0.09,0.0,73.47,30,9,0,7347,9 7347 0 1 7348 2 3 4
159,???,24738,261,1,4268,4288,0.6,0.0,74.18,30,60,0,7418,60 7418 0 999 1 101 54 469835776
160,???,24739,261,1,4372,4496,73.34,0.0,0.01,90,7334,0,1,7334 1 0 30 -2147474432 -2147319807 268436005 419463170
239,???,24826,261,1,1792,1820,74.03,0.01,74.04,50,7403,1,7404,7403 7404 1 43 33767936 58720272 -2147414013 595591752
240,???,24827,261,1,1880,1904,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
241,???,24828,261,1,1956,1980,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
242,???,24829,261,1,2032,2056,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
243,???,24830,261,1,2108,2132,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
244,???,24831,261,1,2184,2208,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
245,???,24832,261,1,2260,2284,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
246,???,24833,261,1,2336,2360,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
247,???,24834,261,1,2412,2436,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
248,???,24835,261,1,2488,2512,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
249,???,24836,261,1,2564,2588,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
250,???,24837,261,1,2640,2664,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
251,???,24838,261,1,2716,2740,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
252,???,24839,261,1,2792,2816,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
253,???,24840,261,1,2868,2896,74.03,0.0,74.04,50,7403,0,7404,7403 7404 0 43 33767936 58720272 -2147414013 595591752
254,???,24841,261,1,2956,2980,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
255,???,24842,261,1,3032,3056,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
256,???,24843,261,1,3108,3132,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
257,???,24844,261,1,3184,3208,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
258,???,24845,261,1,3260,3284,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
259,???,24846,261,1,3336,3360,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
260,???,24847,261,1,3412,3436,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
261,???,24848,261,1,3488,3512,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
262,???,24849,261,1,3564,3588,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
263,???,24850,261,1,3640,3672,74.04,0.01,0.0,50,7404,1,0,7404 0 1 43 33767936 58720272 -2147414013 595591752
264,???,24851,261,1,3732,3756,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
265,???,24852,261,1,3808,3832,74.02,0.01,0.0,50,7402,1,0,7402 0 1 33 33767936 612368400 -2147319807 36012034
266,Switch,24853,261,1,3884,3908,74.07,0.01,74.08,50,7407,1,7408,7407 7408 1 38 33767936 1216348176 589529089 8389156
267,Switch,24854,261,1,3964,3988,74.07,0.0,74.08,50,7407,0,7408,7407 7408 0 38 33767936 1216348176 589529089 58720804
268,Switch,24855,261,1,4044,4072,74.08,0.01,0.0,50,7408,1,0,7408 0 1 38 33767936 1216348176 589529089 58720804
287,Cait Sith Naoi,24874,261,22,4128,4168,-38.43,0.0,107.92,35,-3843,0,10792,-3843 10792 0 1 128 120 42 -134114816
