offset,token
2345,fdo1
2370,main
2424,whi1
2451,sha0S
2464,sha0
2488,sha1S
2501,sha1
2523,fdo1
2540,fdo1F
2637,s030
2657,fdi1
2674,fdi1+
2697,s030E
2712,s031
2729,tlk0+
2760,tlk1R
2775,s031E
2790,s032
2839,s032E
2854,s033
2901,s033E
2916,s034
2947,s034E
2962,s081
2987,s081
3005,s035
3022,tlk0+
3045,tlk1R
3060,s035E
3075,s036
3102,s036E
3117,s037
3142,fdo1
3159,fdo1R
3203,fdi1
3273,fdo1
3290,fdo1F
3364,s038
3384,fdi1
3401,fdi1E
3416,nage
3447,s038E
3462,s039
3493,s039E
3508,s040
3533,s040E
3548,s041
3573,s041E
3588,s042
3639,s042E
3654,s043
3683,s043
3701,knag
3718,fdo1
3735,fdo1F
3755,fdi1
3780,fdo1
3797,fdo1F
3888,s044
3908,fdi1
3925,fdi1+
3948,s044E
3963,s045
3980,twb0+
4003,s045E
4018,s046
4035,twb1+
4058,s046E
4073,s047
4090,tlk0+
4113,tlk1R
4128,s047E
4143,s048
4173,fdo1
4190,fdo1R
4234,fdi1
4259,fdo1
4276,fdo1F
4385,s063
4405,fdi1
4422,fdi1f
4437,twb0+
4460,twb1R
4475,s063E
4490,s064
4505,twb1n
4540,s064E
4555,s065
4580,s065E
4595,s066
4644,s066E
4659,s067
4694,s067E
4709,s068
4738,twb0+
4761,twb1R
4776,s068E
4791,s069
4811,s069E
4826,s070
4843,twb0+
4866,twb1S
4879,twb1R
4894,s070E
4909,s071
4962,s071E
4977,s072
5014,s072E
5029,s071
5060,s071E
5075,s073
5112,s073E
5127,s071
5162,s071E
5177,s074
5222,s074E
5237,s075
5275,s075E
5290,s076
5319,twb0+
5350,s076E
5365,s077
5515,s077E
5530,s078
5573,s078E
5588,s079
5640,s079
5658,s080
5675,tlk0+
5698,tlk1'
5720,s080E
5735,s082
5766,tlk0+
5789,tlk1R
5804,s082E
5819,s083
5844,s083E
5859,s084
5876,twa0+
5899,twa1R
5914,s084E
5929,s085
5952,tlk0+
5975,tlk1R
5990,s085E
6005,s086
6047,fdo1
6064,fdo1R
6108,fdi1
6636,fdo1
6653,fdo1F
6769,s032
6789,fdi1
6806,fdi1H
6832,s032E
6847,s033
6884,s033E
6899,s034
6953,s034E
6968,s097
7012,s097E
7027,s035
7157,s035E
7172,s036
7221,s036E
7236,s037
7300,crs0R
7315,s037E
7330,s038
7356,crs0R
7371,s038E
7386,s039
7392,kidl0
7460,s039E
7475,s040
7492,tlk0y
7525,tlk1R
7540,s040E
7555,s041
7572,twb0+
7595,twb1R
7610,s041E
7625,s042
7663,s042E
7678,s043
7729,s043E
7744,s044
7773,twb0+
7796,fdo1
7813,fdo1R
7857,fdi1
7882,fdo1
7899,fdo1F
8114,s092
8134,fdi1
8151,fdi1
8169,s092E
8184,s093
8221,s093E
8236,s094
8276,tlk1N
8340,s094E
8355,s095
8418,s095E
8433,s096
8467,dan1
8485,s096E
8500,s097
8520,fdo1
8537,fdo1R
8552,s097kidl0#
8597,s098
8617,fdi1
8672,s098E
8687,s099
8735,tlk1R
8750,s099E
8765,s100
8829,s100E
8844,s101
8861,uto0
8879,uto0y
8910,uto0y
8938,s101E
8953,s102
9017,tlk1R
9032,s102E
9047,s103
9162,s103E
9177,s104
9194,aww0+#
9244,s104E
9259,s105
9309,s105E
9324,s106
9377,s106E
9392,s107
9428,s107E
9443,s108
9481,s108E
9496,s109
9521,fdo1
9538,fdo1R
9553,s109'
9604,fdi1
9643,fdo1
9660,fdo1F
9802,s110
9822,fdi1
9839,fdi1+#
9874,s110E
9889,s111
9924,s111E
9939,s112
9989,tlk1R
10004,s112E
10019,s113
10044,s113E
10059,s114
10122,s114E
10137,s115
10174,s115E
10189,s116
10229,s116E
10244,s117
10292,s117E
10307,s119
10324,tlk0
10352,tlk1R
10367,s119E
10382,s118
10407,s118E
10422,s120
10459,s120E
10474,s121
10519,s121E
10534,s122
10574,tlk1R
10589,s122E
10604,s123
10629,s123E
10644,s124
10694,s124E
10709,s125
10734,s125E
10749,s126
10766,tlk1+#
10789,s126E
10804,s127
10846,fdo1
10863,fdo1R
10907,fdi1
10934,sha0S
10947,sha0
10971,sha1S
10984,sha1J
11182,tlk0
11206,tlk1
11249,tlk0
11267,tlk1
11470,sha1S
11483,sha1
11658,atp0
11684,atp0
11710,atp0
11736,atp0
11762,atp0
11788,atp0
11814,atp0
11840,atp0
11899,pas0
12096,dak0
12122,dak0
12148,dak0
12174,dak0
12200,dak0
12226,dak0
12252,dak0
12278,dak0
12310,dak3
12336,dak3
12362,dak3
12375,S'fC
12388,dak3
12401,m'fD
12414,dak3
12440,dak3
12466,dak3
12492,dak3
12508,dak3
12736,sha0S
12749,sha0
12773,sha1S
12786,sha1
13052,fdo0
13069,fdo0
13147,fdi1
13268,fdo1
13285,fdo1F
13302,fdi2
14027,c089
14045,c089
15883,fdo1
15900,fdo1F
15952,z81b
16019,z82b
16086,z83b
16153,z84b
16287,z88b
16354,z89b
16421,z90b
16488,z91b
16622,z95b
16689,z96b
16756,z97b
16823,z98b
16999,fdi1
17016,fdi1
17333,fdo1
17350,fdo1N
17376,fdi2
22010,fdo1
23955,fdo1
23972,fdo1F
24024,z81b
24091,z82b
24158,z83b
24225,z84b
24359,z88b
24426,z89b
24493,z90b
24560,z91b
24694,z95b
24761,z96b
24828,z97b
24895,z98b
25071,fdi1
25088,fdi1
25405,fdo1
25422,fdo1N
25448,fdi2
30082,fdo1
32027,fdo1
32044,fdo1F
32096,z81b
32163,z82b
32230,z83b
32297,z84b
32431,z88b
32498,z89b
32565,z90b
32632,z91b
32766,z95b
32833,z96b
32900,z97b
32967,z98b
33143,fdi1
33160,fdi1
33477,fdo1
33494,fdo1N
33520,fdi2
38154,fdo1
42828,fdo1
44138,main
44206,main
44274,main
44342,main
44386,main
44417,fdo1
44660,tlk0
44690,tlk0
44720,tlk0
45383,fdo1
45420,fdi1
49030,main
49050,who1
49067,who1
49085,fdo1
49102,fdo1E
49117,whi1
66147,z80a
66175,z81a
66203,z82a
66231,z83a
66259,z84a
66287,z87a
66315,z88a
66343,z89a
66371,z90a
66399,z91a
66427,z94a
66455,z95a
66483,z96a
66511,z97a
66539,z98a
66567,d64a
66595,d71a
66623,d75a
67013,z80b
67041,z81b
67069,z82b
67097,z83b
67125,z84b
67153,z87b
67181,z88b
67209,z89b
67237,z90b
67265,z91b
67293,z94b
67321,z95b
67349,z96b
67377,z97b
67405,z98b
67433,d64b
67461,d71b
67489,d75b
68465,fdi2
68487,fdi0
68504,fdi0
68520,fdo0
68537,fdo0
68553,fdi1
68570,fdi1
68586,fdo1
68603,fdo1
68619,whi1
68636,whi1
68652,who1
68669,who1
68685,who2
68702,who2
68718,who3
68735,who3
68751,main
68771,fdo1
68788,fdo1
68804,fdi1
68821,main
68841,fdi1
68857,blon
68874,blon
68892,whi0
68909,whi0
68925,who0
68942,who0
68958,efon
68975,efon
68991,fdis
69009,fdos
69026,fdos
69042,fdif
69060,fdof
69077,fdof
69093,fdip
69111,fdop
69128,fdop
70576,frst
70596,ok00
74764,frst
74784,ok00
78952,frst
78972,ok00
83140,frst
83160,ok00
98412,Pixy2
98522,Lysithea
98547,Lysithea
98594,Lysithea
98799,Lysithea
100901,Adrasteia
100958,Adrasteia
101040,pas0
101058,s000
101075,pik0
101119,Adrasteia
102993,dr00
103037,swp0
103054,st01
103074,dr00E
103089,dr01
103115,dr01E
103130,dr02
103147,swp1
103164,st02
103184,swp2
103201,st03
103227,dr02
103242,kila
103259,a128
103428,mai2
103452,dr10
103481,dr10E
103496,dr11
103524,dr11E
103539,dr12
103581,dr12E
103596,dr13
103665,dr13E
103680,dr16
103724,ulb0
103742,dr16E
103757,dr14
103804,ulb0
103819,kila
103839,dr14E
103882,fdi2
104183,mai2
104222,wn00
104245,mai2
104262,wn00E
