index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,River Crab,36865,261,00 00 00 00 00 00 00 00 00 00 00 00 01 90 05 01
2,64,Pug Pugil,36866,261,00 00 00 00 00 00 00 00 00 00 00 00 02 90 05 01
3,96,Hill Crab,36867,261,00 00 00 00 00 00 00 00 00 00 00 00 03 90 05 01
4,128,Fighting Pugil,36868,261,00 00 00 00 00 00 00 00 00 00 00 00 04 90 05 01
5,160,Gill Pugil,36869,261,00 00 00 00 00 00 00 00 00 00 00 00 05 90 05 01
6,192,Rock Eater,36870,261,00 00 00 00 00 00 00 00 00 00 00 00 06 90 05 01
7,224,Rock Eater,36871,261,00 00 00 00 00 00 00 00 00 00 00 00 07 90 05 01
8,256,Rock Eater,36872,261,00 00 00 00 00 00 00 00 00 00 00 00 08 90 05 01
9,288,Rock Eater,36873,261,00 00 00 00 00 00 00 00 00 00 00 00 09 90 05 01
10,320,Rock Eater,36874,261,00 00 00 00 00 00 00 00 00 00 00 00 0a 90 05 01
11,352,War Lizard,36875,261,00 00 00 00 00 00 00 00 00 00 00 00 0b 90 05 01
12,384,War Lizard,36876,261,00 00 00 00 00 00 00 00 00 00 00 00 0c 90 05 01
13,416,Air Elemental,36877,261,00 00 00 00 00 00 00 00 00 00 00 00 0d 90 05 01
14,448,War Lizard,36878,261,00 00 00 00 00 00 00 00 00 00 00 00 0e 90 05 01
15,480,War Lizard,36879,261,00 00 00 00 00 00 00 00 00 00 00 00 0f 90 05 01
16,512,Wandering Saplin,36880,261,67 00 00 00 00 00 00 00 00 00 00 00 10 90 05 01
17,544,Wandering Saplin,36881,261,67 00 00 00 00 00 00 00 00 00 00 00 11 90 05 01
18,576,Rock Eater,36882,261,00 00 00 00 00 00 00 00 00 00 00 00 12 90 05 01
19,608,Rock Eater,36883,261,00 00 00 00 00 00 00 00 00 00 00 00 13 90 05 01
20,640,Rock Eater,36884,261,00 00 00 00 00 00 00 00 00 00 00 00 14 90 05 01
21,672,War Lizard,36885,261,00 00 00 00 00 00 00 00 00 00 00 00 15 90 05 01
22,704,War Lizard,36886,261,00 00 00 00 00 00 00 00 00 00 00 00 16 90 05 01
23,736,Rock Eater,36887,261,00 00 00 00 00 00 00 00 00 00 00 00 17 90 05 01
24,768,Rock Eater,36888,261,00 00 00 00 00 00 00 00 00 00 00 00 18 90 05 01
25,800,Rock Eater,36889,261,00 00 00 00 00 00 00 00 00 00 00 00 19 90 05 01
26,832,War Lizard,36890,261,00 00 00 00 00 00 00 00 00 00 00 00 1a 90 05 01
27,864,War Lizard,36891,261,00 00 00 00 00 00 00 00 00 00 00 00 1b 90 05 01
28,896,Rock Eater,36892,261,00 00 00 00 00 00 00 00 00 00 00 00 1c 90 05 01
29,928,Rock Eater,36893,261,00 00 00 00 00 00 00 00 00 00 00 00 1d 90 05 01
30,960,War Lizard,36894,261,00 00 00 00 00 00 00 00 00 00 00 00 1e 90 05 01
31,992,War Lizard,36895,261,00 00 00 00 00 00 00 00 00 00 00 00 1f 90 05 01
32,1024,Wandering Saplin,36896,261,67 00 00 00 00 00 00 00 00 00 00 00 20 90 05 01
33,1056,Wandering Saplin,36897,261,67 00 00 00 00 00 00 00 00 00 00 00 21 90 05 01
34,1088,Black Wolf,36898,261,00 00 00 00 00 00 00 00 00 00 00 00 22 90 05 01
35,1120,War Lizard,36899,261,00 00 00 00 00 00 00 00 00 00 00 00 23 90 05 01
36,1152,Wandering Saplin,36900,261,67 00 00 00 00 00 00 00 00 00 00 00 24 90 05 01
37,1184,Wandering Saplin,36901,261,67 00 00 00 00 00 00 00 00 00 00 00 25 90 05 01
38,1216,Wandering Saplin,36902,261,67 00 00 00 00 00 00 00 00 00 00 00 26 90 05 01
39,1248,Wandering Saplin,36903,261,67 00 00 00 00 00 00 00 00 00 00 00 27 90 05 01
40,1280,Rock Eater,36904,261,00 00 00 00 00 00 00 00 00 00 00 00 28 90 05 01
41,1312,Rock Eater,36905,261,00 00 00 00 00 00 00 00 00 00 00 00 29 90 05 01
42,1344,War Lizard,36906,261,00 00 00 00 00 00 00 00 00 00 00 00 2a 90 05 01
43,1376,War Lizard,36907,261,00 00 00 00 00 00 00 00 00 00 00 00 2b 90 05 01
44,1408,War Lizard,36908,261,00 00 00 00 00 00 00 00 00 00 00 00 2c 90 05 01
45,1440,War Lizard,36909,261,00 00 00 00 00 00 00 00 00 00 00 00 2d 90 05 01
46,1472,Wingrats,36910,261,00 00 00 00 00 00 00 00 00 00 00 00 2e 90 05 01
47,1504,Wingrats,36911,261,00 00 00 00 00 00 00 00 00 00 00 00 2f 90 05 01
48,1536,War Lizard,36912,261,00 00 00 00 00 00 00 00 00 00 00 00 30 90 05 01
49,1568,War Lizard,36913,261,00 00 00 00 00 00 00 00 00 00 00 00 31 90 05 01
50,1600,Wingrats,36914,261,00 00 00 00 00 00 00 00 00 00 00 00 32 90 05 01
51,1632,Wingrats,36915,261,00 00 00 00 00 00 00 00 00 00 00 00 33 90 05 01
52,1664,War Lizard,36916,261,00 00 00 00 00 00 00 00 00 00 00 00 34 90 05 01
53,1696,War Lizard,36917,261,00 00 00 00 00 00 00 00 00 00 00 00 35 90 05 01
54,1728,Wandering Saplin,36918,261,67 00 00 00 00 00 00 00 00 00 00 00 36 90 05 01
55,1760,Wandering Saplin,36919,261,67 00 00 00 00 00 00 00 00 00 00 00 37 90 05 01
56,1792,War Lizard,36920,261,00 00 00 00 00 00 00 00 00 00 00 00 38 90 05 01
57,1824,War Lizard,36921,261,00 00 00 00 00 00 00 00 00 00 00 00 39 90 05 01
58,1856,Wivre,36922,261,00 00 00 00 00 00 00 00 00 00 00 00 3a 90 05 01
59,1888,Wandering Saplin,36923,261,67 00 00 00 00 00 00 00 00 00 00 00 3b 90 05 01
60,1920,Wandering Saplin,36924,261,67 00 00 00 00 00 00 00 00 00 00 00 3c 90 05 01
61,1952,War Lizard,36925,261,00 00 00 00 00 00 00 00 00 00 00 00 3d 90 05 01
62,1984,War Lizard,36926,261,00 00 00 00 00 00 00 00 00 00 00 00 3e 90 05 01
63,2016,Wandering Saplin,36927,261,67 00 00 00 00 00 00 00 00 00 00 00 3f 90 05 01
64,2048,Wandering Saplin,36928,261,67 00 00 00 00 00 00 00 00 00 00 00 40 90 05 01
65,2080,Wandering Saplin,36929,261,67 00 00 00 00 00 00 00 00 00 00 00 41 90 05 01
66,2112,Wandering Saplin,36930,261,67 00 00 00 00 00 00 00 00 00 00 00 42 90 05 01
67,2144,Wandering Saplin,36931,261,67 00 00 00 00 00 00 00 00 00 00 00 43 90 05 01
68,2176,Wandering Saplin,36932,261,67 00 00 00 00 00 00 00 00 00 00 00 44 90 05 01
69,2208,Black Wolf,36933,261,00 00 00 00 00 00 00 00 00 00 00 00 45 90 05 01
70,2240,Knotty Treant,36934,261,00 00 00 00 00 00 00 00 00 00 00 00 46 90 05 01
71,2272,Goblin Freesword,36935,261,00 00 00 00 00 00 00 00 00 00 00 00 47 90 05 01
72,2304,Goblin Corpsman,36936,261,00 00 00 00 00 00 00 00 00 00 00 00 48 90 05 01
73,2336,Knotty Treant,36937,261,00 00 00 00 00 00 00 00 00 00 00 00 49 90 05 01
74,2368,Knotty Treant,36938,261,00 00 00 00 00 00 00 00 00 00 00 00 4a 90 05 01
75,2400,Black Wolf,36939,261,00 00 00 00 00 00 00 00 00 00 00 00 4b 90 05 01
76,2432,Feyweald Sapling,36940,261,00 00 00 00 00 00 00 00 00 00 00 00 4c 90 05 01
77,2464,Feyweald Sapling,36941,261,00 00 00 00 00 00 00 00 00 00 00 00 4d 90 05 01
78,2496,Feyweald Sapling,36942,261,00 00 00 00 00 00 00 00 00 00 00 00 4e 90 05 01
79,2528,Feyweald Sapling,36943,261,00 00 00 00 00 00 00 00 00 00 00 00 4f 90 05 01
80,2560,Feyweald Sapling,36944,261,00 00 00 00 00 00 00 00 00 00 00 00 50 90 05 01
81,2592,Feyweald Sapling,36945,261,00 00 00 00 00 00 00 00 00 00 00 00 51 90 05 01
82,2624,Feyweald Sapling,36946,261,00 00 00 00 00 00 00 00 00 00 00 00 52 90 05 01
83,2656,Feyweald Sapling,36947,261,00 00 00 00 00 00 00 00 00 00 00 00 53 90 05 01
84,2688,Feyweald Sapling,36948,261,00 00 00 00 00 00 00 00 00 00 00 00 54 90 05 01
85,2720,Feyweald Sapling,36949,261,00 00 00 00 00 00 00 00 00 00 00 00 55 90 05 01
86,2752,Feyweald Sapling,36950,261,00 00 00 00 00 00 00 00 00 00 00 00 56 90 05 01
87,2784,Feyweald Sapling,36951,261,00 00 00 00 00 00 00 00 00 00 00 00 57 90 05 01
88,2816,Feyweald Sapling,36952,261,00 00 00 00 00 00 00 00 00 00 00 00 58 90 05 01
