npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
466,Republic Supplie,37330,261,7,97292,97416,77.13,77.17,77.15,45,7713,7717,7715,7713 7715 7717 80 -261209600 8388607 -1009280 151224319
467,Republic Supplie,37331,261,7,97320,97416,77.13,77.17,77.15,45,7713,7717,7715,7713 7715 7717 80 -261209600 8388607 -1009280 151224319
468,Republic Supplie,37332,261,7,97348,97416,77.13,77.17,77.15,45,7713,7717,7715,7713 7715 7717 80 -261209600 8388607 -1009280 151224319
693,???,37559,261,1,46476,46528,78.21,78.22,78.23,25,7821,7822,7823,7821 7823 7822 215 771825664 1853882424 2147483632 -258375679
697,Areuhat,37563,261,24,45124,45216,1.8,2.05,78.05,65,180,205,7805,180 7805 205 768 16977922 51380992 268697602 83886851
698,Fay Spring,37564,261,1,45148,45216,1.8,2.05,78.05,65,180,205,7805,180 7805 205 768 16977922 51380992 268697602 83886851
699,Treasure Coffer,37566,261,1,223000,223032,82.04,0.86,0.01,65,8204,86,1,8204 1 86 768 16977922 51380992 268697602 83886851
722,Stone Monument,37604,261,1,14052,14084,77.21,77.23,77.22,65,7721,7723,7722,7721 7722 7723 27 -2147465216 -2147399645 -2147334109 -2147268573
723,"Ulaciont, R.K.",37605,261,28,14128,14292,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
724,"Polished Fang, L",37606,261,28,22200,22364,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
725,"Myuhn Rohli, M.C",37607,261,28,30272,30436,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
730,"Xenia, C.A.",37612,261,1,38344,38364,1.23,0.04,71.78,30,123,4,7178,123 7178 4 0 7191 1 7192 2
734,Beastman Ensign,37616,261,1,46760,46828,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 7699 7700
736,Emmerich,37618,261,1,44432,44588,77.49,77.63,77.48,90,7749,7763,7748,7749 7748 7763 13 -310467 -513729 16249 40
737,Vanja,37619,261,1,44480,44588,77.49,77.63,77.48,90,7749,7763,7748,7749 7748 7763 13 -310467 -513729 16249 40
738,Childerich,37620,261,114,44528,44588,77.49,77.63,77.48,90,7749,7763,7748,7749 7748 7763 13 -310467 -513729 16249 40
744,Ramblix,37626,261,2,43804,43928,77.29,0.6,2.0,70,7729,60,200,7729 200 60 485 1107369984 -266469342 1249902591 2147483632
753,Gate Sentry,37635,261,1,63188,63296,78.71,78.72,0.11,50,7871,7872,11,7871 11 7872 302 1107369984 595591197 2162720 54657312
757,Allied Commissar,37639,261,208,63616,63756,0.82,-336.46,667.52,105,82,-33646,66752,82 66752 -33646 573 83 -192613 -281066 -40000
764,Republic Supplie,37646,261,1,85916,85944,0.02,72.3,74.57,30,2,7230,7457,2 7457 7230 8 7459 255 3 4
765,Republic Supplie,37647,261,1,89708,89736,0.02,72.3,74.57,30,2,7230,7457,2 7457 7230 8 7459 255 3 4
766,Republic Supplie,37648,261,1,93500,93528,0.02,72.3,74.57,30,2,7230,7457,2 7457 7230 8 7459 255 3 4
767,Harvesting Point,37650,261,1,97376,97416,77.13,77.17,77.15,45,7713,7717,7715,7713 7715 7717 80 -261209600 8388607 -1009280 151224319
783,Laila,37667,261,44,98357,98489,736.0,0.0,1.8,15,73600,0,180,73600 180 0 0 0 0 181 46080
789,Fey Blossoms,37673,261,10,101148,101300,79.28,0.0,79.29,30,7928,0,7929,7928 7929 0 40 100 7930 60 7931
790,Riverbed,37674,261,1,101268,101408,79.38,0.12,0.08,85,7938,12,8,7938 8 12 505 18891264 -4022 -1921 695234431
791,???,37675,261,20,101932,102080,-394.36,11.29,-217.0,90,-39436,1129,-21700,-39436 -21700 1129 0 120 128 15 10
795,Schultz,37679,261,79,109980,110080,-388.04,40.82,-227.0,90,-38804,4082,-22700,-38804 -22700 4082 114 2228224 -524241 -127107073 8388607
797,Carrel,37681,261,15,110412,110516,-279.67,0.05,-230.84,90,-27967,5,-23084,-27967 -23084 5 2 10 9 70 140
798,Dillon,37682,261,15,110888,110968,-210.71,0.75,-238.25,105,-21071,75,-23825,-21071 -23825 75 863 111 2228224 -524241 -127107073
807,Indescript Marki,37691,261,1,173292,173360,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 7699 7700
813,Volker,37698,261,46,192832,192960,5.91,1.2,3.0,-5,591,120,300,591 300 120 5 19 15 -524342 235034
816,Timeworn Altar,37701,261,1,215588,215740,-251.74,2.14,0.02,90,-25174,214,2,-25174 2 214 43 -169922 -350159 -25654 42
817,Areuhat,37702,261,246,215620,215740,-251.74,2.14,0.02,90,-25174,214,2,-25174 2 214 43 -169922 -350159 -25654 42
818,Odzmanouk,37703,261,81,215968,216036,-349.99,2.1,-1446.99,95,-34999,210,-144699,-34999 -144699 210 280 85 3460 1 -147626
820,Zharijarl,37705,261,166,217228,217384,-239.77,2.02,0.05,90,-23977,202,5,-23977 5 202 56 -161886 -355086 -24405 -160832
821,Emissary01,37706,261,114,217636,217756,-238.14,2.02,0.05,90,-23814,202,5,-23814 5 202 56 -163828 -355787 -25146 -162491
822,Emissary02,37707,261,101,217976,218096,-237.22,2.02,0.05,90,-23722,202,5,-23722 5 202 56 -165147 -352893 -24802 -158699
823,Small Box,37708,261,57,218316,218416,0.13,6.71,6.52,70,13,671,652,13 652 671 10 -133240 -352748 -18471 -165061
824,Quadav Leader,37709,261,43,218380,218416,0.13,6.71,6.52,70,13,671,652,13 652 671 10 -133240 -352748 -18471 -165061
825,Quadav001,37710,261,37,218532,218572,0.17,21.19,6.52,70,17,2119,652,17 652 2119 10 -133240 -352748 -18471 -165061
826,Quadav002,37711,261,37,218716,218756,0.17,21.19,6.52,70,17,2119,652,17 652 2119 10 -133240 -352748 -18471 -165061
827,Quadav003,37712,261,49,218900,218940,0.17,21.19,6.52,70,17,2119,652,17 652 2119 10 -133240 -352748 -18471 -165061
828,Quadav004,37713,261,49,219084,219124,0.17,21.19,6.52,70,17,2119,652,17 652 2119 10 -133240 -352748 -18471 -165061
829,Quadav005,37714,261,63,219268,219332,1063.41,21.19,-474.83,80,106341,2119,-47483,106341 -47483 2119 10 -133240 -352748 -18471 -165061
830,Quadav006,37715,261,61,219496,219560,950.34,21.19,-479.52,90,95034,2119,-47952,95034 -47952 2119 10 -133240 -352748 -18471 -165061
831,Quadav007,37716,261,61,219724,219788,946.29,21.19,-478.6,90,94629,2119,-47860,94629 -47860 2119 10 -133240 -352748 -18471 -165061
832,Quadav008,37717,261,62,219952,220016,884.13,21.19,-473.62,90,88413,2119,-47362,88413 -47362 2119 10 -133240 -352748 -18471 -165061
834,Shredded Label,37719,261,1,223132,223156,81.98,0.0,0.01,50,8198,0,1,8198 1 0 48 4735488 19145600 58720896 140672
835,Watchful Pixie,37720,261,1,223220,223328,0.1,81.69,81.68,45,10,8169,8168,10 8168 8169 999 201 8170 101 202
836,Jubilant Pixie,37721,261,1,224540,224588,0.1,185.05,81.79,65,10,18505,8179,10 8179 18505 2 18764 3 18870 4
837,Callisto,37722,261,1,225420,225536,82.1,82.12,82.11,20,8210,8212,8211,8210 8211 8212 999 8230 8231 8232 8233
838,Planar Rift,37723,261,1,112512,112580,84.52,0.02,0.01,45,8452,2,1,8452 1 2 1539 8453 8454 8455 8456
839,Planar Rift,37724,261,1,131340,131408,0.04,0.02,84.52,45,4,2,8452,4 8452 2 1539 8453 8454 8455 8456
840,Planar Rift,37725,261,1,150168,150236,0.04,0.01,84.52,45,4,1,8452,4 8452 1 1539 8453 8454 8455 8456
841,Riftworn Pyxis,37726,261,1,168996,169136,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
842,Riftworn Pyxis,37727,261,1,170428,170568,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
843,Riftworn Pyxis,37728,261,1,171860,172000,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
846,Cait Sith,37731,261,543,247960,248132,-73.81,0.64,0.03,105,-7381,64,3,-7381 3 64 2048 40 -135612 580341 -6750
847,Cavernous Maw,37732,261,48,248824,248856,0.02,0.52,22.79,50,2,52,2279,2 2279 52 40 26345472 2147483640 -2147483466 16823808
850,Veridical Conflu,37735,261,41,249232,249292,0.06,0.0,83.85,15,6,0,8385,6 8385 0 79 150 40 99 85
852,???,37737,261,3,249548,249672,20.0,0.1,0.0,50,2000,10,0,2000 0 10 2859 541 -140334 583023 -141252
855,Survival Guide,37740,261,2,276408,276540,-0.02,93.35,93.2,50,-2,9335,9320,-2 9320 9335 26 27 9334 8 15
859,???,37744,261,1,286416,286432,0.06,0.0,83.85,15,6,0,8385,6 8385 0 79 150 40 99 60
