index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Snipper,45057,261,00 00 00 00 00 00 00 00 00 00 00 00 01 b0 05 01
2,64,Big Jaw,45058,261,00 00 00 00 00 00 00 00 00 00 00 00 02 b0 05 01
3,96,Horrid Fluke,45059,261,00 00 00 00 00 00 00 00 00 00 00 00 03 b0 05 01
4,128,Greater Pugil,45060,261,00 00 00 00 00 00 00 00 00 00 00 00 04 b0 05 01
5,160,Big Leech,45061,261,00 00 00 00 00 00 00 00 00 00 00 00 05 b0 05 01
6,192,Lycopodium,45062,261,00 00 00 00 00 00 00 00 00 00 00 00 06 b0 05 01
7,224,Lycopodium,45063,261,00 00 00 00 00 00 00 00 00 00 00 00 07 b0 05 01
8,256,Lycopodium,45064,261,00 00 00 00 00 00 00 00 00 00 00 00 08 b0 05 01
9,288,Lycopodium,45065,261,00 00 00 00 00 00 00 00 00 00 00 00 09 b0 05 01
10,320,Lycopodium,45066,261,00 00 00 00 00 00 00 00 00 00 00 00 0a b0 05 01
11,352,Death Wasp,45067,261,00 00 00 00 00 00 00 00 00 00 00 00 0b b0 05 01
12,384,Death Wasp,45068,261,00 00 00 00 00 00 00 00 00 00 00 00 0c b0 05 01
13,416,Lycopodium,45069,261,00 00 00 00 00 00 00 00 00 00 00 00 0d b0 05 01
14,448,Lycopodium,45070,261,00 00 00 00 00 00 00 00 00 00 00 00 0e b0 05 01
15,480,Lycopodium,45071,261,00 00 00 00 00 00 00 00 00 00 00 00 0f b0 05 01
16,512,Lycopodium,45072,261,00 00 00 00 00 00 00 00 00 00 00 00 10 b0 05 01
17,544,Death Wasp,45073,261,00 00 00 00 00 00 00 00 00 00 00 00 11 b0 05 01
18,576,Death Wasp,45074,261,00 00 00 00 00 00 00 00 00 00 00 00 12 b0 05 01
19,608,Death Wasp,45075,261,00 00 00 00 00 00 00 00 00 00 00 00 13 b0 05 01
20,640,Lycopodium,45076,261,00 00 00 00 00 00 00 00 00 00 00 00 14 b0 05 01
21,672,Lycopodium,45077,261,00 00 00 00 00 00 00 00 00 00 00 00 15 b0 05 01
22,704,Lycopodium,45078,261,00 00 00 00 00 00 00 00 00 00 00 00 16 b0 05 01
23,736,Death Wasp,45079,261,00 00 00 00 00 00 00 00 00 00 00 00 17 b0 05 01
24,768,Death Wasp,45080,261,00 00 00 00 00 00 00 00 00 00 00 00 18 b0 05 01
25,800,Death Wasp,45081,261,00 00 00 00 00 00 00 00 00 00 00 00 19 b0 05 01
26,832,Death Wasp,45082,261,00 00 00 00 00 00 00 00 00 00 00 00 1a b0 05 01
27,864,Lycopodium,45083,261,00 00 00 00 00 00 00 00 00 00 00 00 1b b0 05 01
28,896,Lycopodium,45084,261,00 00 00 00 00 00 00 00 00 00 00 00 1c b0 05 01
29,928,Lycopodium,45085,261,00 00 00 00 00 00 00 00 00 00 00 00 1d b0 05 01
30,960,Lycopodium,45086,261,00 00 00 00 00 00 00 00 00 00 00 00 1e b0 05 01
31,992,Lycopodium,45087,261,00 00 00 00 00 00 00 00 00 00 00 00 1f b0 05 01
32,1024,Death Wasp,45088,261,00 00 00 00 00 00 00 00 00 00 00 00 20 b0 05 01
33,1056,Death Wasp,45089,261,00 00 00 00 00 00 00 00 00 00 00 00 21 b0 05 01
34,1088,Lamina,45090,261,00 00 00 00 00 00 00 00 00 00 00 00 22 b0 05 01
35,1120,Death Wasp,45091,261,00 00 00 00 00 00 00 00 00 00 00 00 23 b0 05 01
36,1152,Death Wasp,45092,261,00 00 00 00 00 00 00 00 00 00 00 00 24 b0 05 01
37,1184,Death Wasp,45093,261,00 00 00 00 00 00 00 00 00 00 00 00 25 b0 05 01
38,1216,Death Wasp,45094,261,00 00 00 00 00 00 00 00 00 00 00 00 26 b0 05 01
39,1248,Death Wasp,45095,261,00 00 00 00 00 00 00 00 00 00 00 00 27 b0 05 01
40,1280,Death Wasp,45096,261,00 00 00 00 00 00 00 00 00 00 00 00 28 b0 05 01
41,1312,Goobbue Farmer,45097,261,00 00 00 00 00 00 00 00 00 00 00 00 29 b0 05 01
42,1344,Death Wasp,45098,261,00 00 00 00 00 00 00 00 00 00 00 00 2a b0 05 01
43,1376,Death Wasp,45099,261,00 00 00 00 00 00 00 00 00 00 00 00 2b b0 05 01
44,1408,Goobbue Farmer,45100,261,00 00 00 00 00 00 00 00 00 00 00 00 2c b0 05 01
45,1440,Goobbue Farmer,45101,261,00 00 00 00 00 00 00 00 00 00 00 00 2d b0 05 01
46,1472,Fire Elemental,45102,261,00 00 00 00 00 00 00 00 00 00 00 00 2e b0 05 01
47,1504,Death Wasp,45103,261,00 00 00 00 00 00 00 00 00 00 00 00 2f b0 05 01
48,1536,Death Wasp,45104,261,00 00 00 00 00 00 00 00 00 00 00 00 30 b0 05 01
49,1568,Goobbue Farmer,45105,261,00 00 00 00 00 00 00 00 00 00 00 00 31 b0 05 01
50,1600,Goobbue Farmer,45106,261,00 00 00 00 00 00 00 00 00 00 00 00 32 b0 05 01
51,1632,Goobbue Farmer,45107,261,00 00 00 00 00 00 00 00 00 00 00 00 33 b0 05 01
52,1664,Chigoe,45108,261,00 00 00 00 00 00 00 00 00 00 00 00 34 b0 05 01
53,1696,Chigoe,45109,261,00 00 00 00 00 00 00 00 00 00 00 00 35 b0 05 01
54,1728,Chigoe,45110,261,00 00 00 00 00 00 00 00 00 00 00 00 36 b0 05 01
55,1760,Chigoe,45111,261,00 00 00 00 00 00 00 00 00 00 00 00 37 b0 05 01
56,1792,Chigoe,45112,261,00 00 00 00 00 00 00 00 00 00 00 00 38 b0 05 01
57,1824,Chigoe,45113,261,00 00 00 00 00 00 00 00 00 00 00 00 39 b0 05 01
58,1856,Goobbue Farmer,45114,261,00 00 00 00 00 00 00 00 00 00 00 00 3a b0 05 01
59,1888,Goobbue Farmer,45115,261,00 00 00 00 00 00 00 00 00 00 00 00 3b b0 05 01
60,1920,Moon Bat,45116,261,00 00 00 00 00 00 00 00 00 00 00 00 3c b0 05 01
61,1952,Moon Bat,45117,261,00 00 00 00 00 00 00 00 00 00 00 00 3d b0 05 01
62,1984,Wight,45118,261,00 00 00 00 00 00 00 00 00 00 00 00 3e b0 05 01
63,2016,Wight,45119,261,00 00 00 00 00 00 00 00 00 00 00 00 3f b0 05 01
