offset,token
1235,fdo1
2899,main
2916,ovl1
2986,whi1
3003,blof
3020,fdi0
3100,fdo1
3117,fdo1
3506,whi1
3523,blof
3635,whi1
3652,blof
3669,fdo1
3686,fdo1l
4083,main
4100,fdi2
4305,fdi2
4341,whi1
4358,blof
4442,fdo1
4459,fdo1
4760,whi1
4777,blof
4870,b92a
4903,fdo1
4953,main
4972,fdi2
5003,fdo2
5020,fdo2
5056,fdi2
5073,main
5140,fdi1
5170,fdo1
5213,main
5232,fdi2
5282,fdi2
5299,main
5334,back
5352,fdi0
5369,fdi0
5385,fdo0
5402,fdo0
5418,fdi1
5435,fdi1
5451,fdo1
5468,fdo1
5484,whi1
5501,whi1
5517,who1
5534,who1
5550,who2
5567,who2
5583,who3
5600,who3
5616,main
5636,fdo1
5653,fdo1
5669,fdi1
5686,main
5706,fdi1
5722,blon
5739,blon
5757,whi0
5774,whi0
5790,who0
5807,who0
5823,efon
5840,efon
5856,fdis
5874,fdos
5891,fdos
5907,fdif
5925,fdof
5942,fdof
5958,fdip
5976,fdop
5993,fdop
7602,fdo1
7619,fdo1F
7671,z81b
7738,z82b
7805,z83b
7872,z84b
8006,z88b
8073,z89b
8140,z90b
8207,z91b
8341,z95b
8408,z96b
8475,z97b
8542,z98b
8718,fdi1
8735,fdi1
9052,fdo1
9069,fdo1N
9095,fdi2
13728,fdo1
15398,fdo1
15415,fdo1F
15467,z81b
15534,z82b
15601,z83b
15668,z84b
15802,z88b
15869,z89b
15936,z90b
16003,z91b
16137,z95b
16204,z96b
16271,z97b
16338,z98b
16514,fdi1
16531,fdi1
16848,fdo1
16865,fdo1N
16891,fdi2
21524,fdo1
23194,fdo1
23211,fdo1F
23263,z81b
23330,z82b
23397,z83b
23464,z84b
23598,z88b
23665,z89b
23732,z90b
23799,z91b
23933,z95b
24000,z96b
24067,z97b
24134,z98b
24310,fdi1
24327,fdi1
24644,fdo1
24661,fdo1N
24687,fdi2
29320,fdo1
33996,fdo1
37395,z80a
37423,z81a
37451,z82a
37479,z83a
37507,z84a
37535,z87a
37563,z88a
37591,z89a
37619,z90a
37647,z91a
37675,z94a
37703,z95a
37731,z96a
37759,z97a
37787,z98a
37815,d64a
37843,d71a
37871,d75a
38261,z80b
38289,z81b
38317,z82b
38345,z83b
38373,z84b
38401,z87b
38429,z88b
38457,z89b
38485,z90b
38513,z91b
38541,z94b
38569,z95b
38597,z96b
38625,z97b
38653,z98b
38681,d64b
38709,d71b
38737,d75b
39713,fdi2
39735,fdi0
39752,fdi0
39768,fdo0
39785,fdo0
39801,fdi1
39818,fdi1
39834,fdo1
39851,fdo1
39867,whi1
39884,whi1
39900,who1
39917,who1
39933,who2
39950,who2
39966,who3
39983,who3
39999,main
40019,fdo1
40036,fdo1
40052,fdi1
40069,main
40089,fdi1
40105,blon
40122,blon
40140,whi0
40157,whi0
40173,who0
40190,who0
40206,efon
40223,efon
40239,fdis
40257,fdos
40274,fdos
40290,fdif
40308,fdof
40325,fdof
40341,fdip
40359,fdop
40376,fdop
41824,frst
41844,ok00
46012,frst
46032,ok00
50200,frst
50220,ok00
54388,frst
54408,ok00
57550,main
57618,main
57686,main
57754,main
57798,main
57829,fdo1
57968,fdi0
57985,fdi0
58001,fdo0
58018,fdo0
58034,fdi1
58051,fdi1
58067,fdo1
58084,fdo1
58100,whi1
58117,whi1
58133,who1
58150,who1
58166,who2
58183,who2
58199,who3
58216,who3
58232,main
58252,fdo1
58269,fdo1
58285,fdi1
58302,main
58322,fdi1
58338,blon
58355,blon
58373,whi0
58390,whi0
58406,who0
58423,who0
58439,efon
58456,efon
58472,fdis
58490,fdos
58507,fdos
58523,fdif
58541,fdof
58558,fdof
58574,fdip
58592,fdop
58609,fdop
60011,deadJ+
60060,eudl
60078,s05a2
60101,s05aE1
60116,s05b2
60136,s05bE1
60151,s05c2
60171,s05cE1
60186,s0562
60251,s056E1
60266,s05d2
60308,eud1
60350,s05dE1
60365,s0582
60398,s058E1
60445,tyo0
60515,ukel
60548,uke0
60637,uke1
60713,blof2
60730,s0592
60743,kidl0#
60786,s059E1
60801,s0572
60886,s057E1
60944,blof2
60961,s05e2
61030,s05eE1
61045,s05f2
61098,s05fE1
61113,s05g2
61172,eud0
61314,s05gE1
61329,s05h2
61346,eud1
61364,s05hE1
61379,s05i2
61477,s05l2
61505,s05l2
61533,s05m2
61589,s05n2
61617,s05n2
61645,s05l2
61673,s05m2
61704,s05lR1
61719,s05mR1
61734,s05nR1
61764,s05j2
61803,eud0#R1
61819,s05jE1
61834,s05k2
61859,s05kE1
61874,s05o2
61891,eud1+#
62051,in00fn
62096,eudlw2
62119,s05oE1
62149,dead
62167,out0'
62280,eud1
62436,s05p2
62482,s05pE1
62497,s05q2
62537,s05q
62591,s05qE1
62606,s05r2
62641,s05rE1
62656,s05s2
62735,s05sE1
62750,s05t2
62770,s05tE1
62785,s0552
62826,s055E1
62841,s05u2
62891,s05uE1
62906,s05w2
62951,s05wE1
62966,s05v2
63059,thk2
63091,s05vE1
63106,s05x2
63190,s05xE1
63288,tlk1f2
63303,thb1
63358,s05y2
63382,twb0f2
63397,thb2
63432,twb1f2
63473,s05yE1
63542,s05z2
63566,thk1
63598,s05zE1
63613,s0502
63648,s050E1
63663,s0512
63680,thk2f
63695,twa0
63736,s051E1
63751,s0532
63802,s053E1
63817,s0542
63875,s054E1
63890,s0522
63938,ten0
63959,s052F
63976,fdi22
63995,fdi02
64012,fdi0
64028,fdo02
64045,fdo0
64061,fdi12
64078,fdi1
64094,fdo12
64111,fdo1
64127,whi12
64144,whi1
64160,who12
64177,who1
64193,who22
64210,who2
64226,who32
64243,who3
64259,main2
64279,fdo12
64296,fdo1
64312,fdi12
64329,main2
64349,fdi1
64365,blon2
64382,blon2
64400,whi02
64417,whi0
64433,who02
64450,who0
64466,efon2
64483,efon
64499,fdis2
64517,fdos2
64534,fdos
64550,fdif2
64568,fdof2
64585,fdof
64601,fdip2
64619,fdop2
64636,fdop
64796,kba2
64849,thk1
