index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Quadav Carrier,53249,261,00 00 00 00 00 00 00 00 00 00 00 00 01 d0 05 01
2,64,Quadav Guard,53250,261,00 00 00 00 00 00 00 00 00 00 00 00 02 d0 05 01
3,96,Quadav Guard,53251,261,00 00 00 00 00 00 00 00 00 00 00 00 03 d0 05 01
4,128,Quadav Carrier,53252,261,00 00 00 00 00 00 00 00 00 00 00 00 04 d0 05 01
5,160,Quadav Guard,53253,261,00 00 00 00 00 00 00 00 00 00 00 00 05 d0 05 01
6,192,Quadav Guard,53254,261,00 00 00 00 00 00 00 00 00 00 00 00 06 d0 05 01
7,224,Quadav Carrier,53255,261,00 00 00 00 00 00 00 00 00 00 00 00 07 d0 05 01
8,256,Quadav Guard,53256,261,00 00 00 00 00 00 00 00 00 00 00 00 08 d0 05 01
9,288,Quadav Guard,53257,261,00 00 00 00 00 00 00 00 00 00 00 00 09 d0 05 01
10,320,Quadav Carrier,53258,261,00 00 00 00 00 00 00 00 00 00 00 00 0a d0 05 01
11,352,Quadav Guard,53259,261,00 00 00 00 00 00 00 00 00 00 00 00 0b d0 05 01
12,384,Quadav Guard,53260,261,00 00 00 00 00 00 00 00 00 00 00 00 0c d0 05 01
13,416,Quadav Carrier,53261,261,00 00 00 00 00 00 00 00 00 00 00 00 0d d0 05 01
14,448,Quadav Guard,53262,261,00 00 00 00 00 00 00 00 00 00 00 00 0e d0 05 01
15,480,Quadav Guard,53263,261,00 00 00 00 00 00 00 00 00 00 00 00 0f d0 05 01
16,512,Quadav Guard,53264,261,00 00 00 00 00 00 00 00 00 00 00 00 10 d0 05 01
17,544,Quadav Guard,53265,261,00 00 00 00 00 00 00 00 00 00 00 00 11 d0 05 01
18,576,Quadav Guard,53266,261,00 00 00 00 00 00 00 00 00 00 00 00 12 d0 05 01
19,608,Quadav Guard,53267,261,00 00 00 00 00 00 00 00 00 00 00 00 13 d0 05 01
20,640,Republican Infan,53268,261,74 72 79 00 00 00 00 00 00 00 00 00 14 d0 05 01
21,672,Republican Infan,53269,261,74 72 79 00 00 00 00 00 00 00 00 00 15 d0 05 01
22,704,Republican Infan,53270,261,74 72 79 00 00 00 00 00 00 00 00 00 16 d0 05 01
23,736,Trained Crab,53271,261,00 00 00 00 00 00 00 00 00 00 00 00 17 d0 05 01
24,768,Trained Bat,53272,261,00 00 00 00 00 00 00 00 00 00 00 00 18 d0 05 01
25,800,Trained Scorpion,53273,261,00 00 00 00 00 00 00 00 00 00 00 00 19 d0 05 01
26,832,Quadav Stormer,53274,261,00 00 00 00 00 00 00 00 00 00 00 00 1a d0 05 01
27,864,Quadav Stormer,53275,261,00 00 00 00 00 00 00 00 00 00 00 00 1b d0 05 01
28,896,Quadav Stormer,53276,261,00 00 00 00 00 00 00 00 00 00 00 00 1c d0 05 01
29,928,Quadav Stormer,53277,261,00 00 00 00 00 00 00 00 00 00 00 00 1d d0 05 01
30,960,Quadav Stormer,53278,261,00 00 00 00 00 00 00 00 00 00 00 00 1e d0 05 01
31,992,Quadav Stormer,53279,261,00 00 00 00 00 00 00 00 00 00 00 00 1f d0 05 01
32,1024,Quadav Stormer,53280,261,00 00 00 00 00 00 00 00 00 00 00 00 20 d0 05 01
33,1056,Quadav Stormer,53281,261,00 00 00 00 00 00 00 00 00 00 00 00 21 d0 05 01
34,1088,Quadav Stormer,53282,261,00 00 00 00 00 00 00 00 00 00 00 00 22 d0 05 01
35,1120,Quadav Stormer,53283,261,00 00 00 00 00 00 00 00 00 00 00 00 23 d0 05 01
36,1152,Quadav Stormer,53284,261,00 00 00 00 00 00 00 00 00 00 00 00 24 d0 05 01
37,1184,Quadav Stormer,53285,261,00 00 00 00 00 00 00 00 00 00 00 00 25 d0 05 01
38,1216,Quadav Stormer,53286,261,00 00 00 00 00 00 00 00 00 00 00 00 26 d0 05 01
39,1248,Quadav Stormer,53287,261,00 00 00 00 00 00 00 00 00 00 00 00 27 d0 05 01
40,1280,Quadav Stormer,53288,261,00 00 00 00 00 00 00 00 00 00 00 00 28 d0 05 01
41,1312,Quadav Stormer,53289,261,00 00 00 00 00 00 00 00 00 00 00 00 29 d0 05 01
42,1344,Quadav Stormer,53290,261,00 00 00 00 00 00 00 00 00 00 00 00 2a d0 05 01
43,1376,Quadav Stormer,53291,261,00 00 00 00 00 00 00 00 00 00 00 00 2b d0 05 01
44,1408,Republic Garriso,53292,261,6e 00 00 00 00 00 00 00 00 00 00 00 2c d0 05 01
45,1440,Republic Garriso,53293,261,6e 00 00 00 00 00 00 00 00 00 00 00 2d d0 05 01
46,1472,Republic Garriso,53294,261,6e 00 00 00 00 00 00 00 00 00 00 00 2e d0 05 01
47,1504,Ulbrecht,53295,261,00 00 00 00 00 00 00 00 00 00 00 00 2f d0 05 01
48,1536,Sapphirine Quada,53296,261,76 00 00 00 00 00 00 00 00 00 00 00 30 d0 05 01
49,1568,Sapphirine Quada,53297,261,76 00 00 00 00 00 00 00 00 00 00 00 31 d0 05 01
50,1600,Sapphirine Quada,53298,261,76 00 00 00 00 00 00 00 00 00 00 00 32 d0 05 01
51,1632,Sapphirine Quada,53299,261,76 00 00 00 00 00 00 00 00 00 00 00 33 d0 05 01
52,1664,Sapphirine Quada,53300,261,76 00 00 00 00 00 00 00 00 00 00 00 34 d0 05 01
53,1696,Sapphirine Quada,53301,261,76 00 00 00 00 00 00 00 00 00 00 00 35 d0 05 01
54,1728,Sapphirine Quada,53302,261,76 00 00 00 00 00 00 00 00 00 00 00 36 d0 05 01
55,1760,Sapphirine Quada,53303,261,76 00 00 00 00 00 00 00 00 00 00 00 37 d0 05 01
56,1792,Sapphirine Quada,53304,261,76 00 00 00 00 00 00 00 00 00 00 00 38 d0 05 01
57,1824,Sapphire Quadav,53305,261,00 00 00 00 00 00 00 00 00 00 00 00 39 d0 05 01
58,1856,Guivre,53306,261,00 00 00 00 00 00 00 00 00 00 00 00 3a d0 05 01
59,1888,Lambton Worm,53307,261,00 00 00 00 00 00 00 00 00 00 00 00 3b d0 05 01
60,1920,Brass Quadav,53308,261,00 00 00 00 00 00 00 00 00 00 00 00 3c d0 05 01
