index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Kayeel-Payeel,57345,261,00 00 00 00 00 00 00 00 00 00 00 00 01 e0 05 01
2,64,Ice Fiend,57346,261,00 00 00 00 00 00 00 00 00 00 00 00 02 e0 05 01
3,96,Thunder Fiend,57347,261,00 00 00 00 00 00 00 00 00 00 00 00 03 e0 05 01
4,128,Aquarian Caster,57348,261,00 00 00 00 00 00 00 00 00 00 00 00 04 e0 05 01
5,160,Aquarian Caster,57349,261,00 00 00 00 00 00 00 00 00 00 00 00 05 e0 05 01
6,192,Aquarian Caster,57350,261,00 00 00 00 00 00 00 00 00 00 00 00 06 e0 05 01
7,224,Aquarian Caster,57351,261,00 00 00 00 00 00 00 00 00 00 00 00 07 e0 05 01
8,256,Aquarian Caster,57352,261,00 00 00 00 00 00 00 00 00 00 00 00 08 e0 05 01
9,288,Aquarian Caster,57353,261,00 00 00 00 00 00 00 00 00 00 00 00 09 e0 05 01
10,320,Aquarian Caster,57354,261,00 00 00 00 00 00 00 00 00 00 00 00 0a e0 05 01
11,352,Aquarian Caster,57355,261,00 00 00 00 00 00 00 00 00 00 00 00 0b e0 05 01
12,384,Aquarian Caster,57356,261,00 00 00 00 00 00 00 00 00 00 00 00 0c e0 05 01
13,416,Gariri,57357,261,00 00 00 00 00 00 00 00 00 00 00 00 0d e0 05 01
14,448,Flame Giant,57358,261,00 00 00 00 00 00 00 00 00 00 00 00 0e e0 05 01
15,480,Scorpion Caster,57359,261,00 00 00 00 00 00 00 00 00 00 00 00 0f e0 05 01
16,512,Scorpion Caster,57360,261,00 00 00 00 00 00 00 00 00 00 00 00 10 e0 05 01
17,544,Scorpion Caster,57361,261,00 00 00 00 00 00 00 00 00 00 00 00 11 e0 05 01
18,576,Scorpion Caster,57362,261,00 00 00 00 00 00 00 00 00 00 00 00 12 e0 05 01
