offset,token
1481,sha0S
1494,sha0
1518,sha1S
1531,sha1
1555,sit0S
1568,sit0
1592,sit1S
1605,sit1
1637,main
1657,fdo1
2027,tlk0
2051,tlk1
2397,nya1
2415,nya1
2448,nya1
2466,nya1
2484,nya1
3167,fdo1
3192,main
3246,whi1
3269,main
3346,fdo0
3363,fdo0
3441,fdi1
3562,fdo1
3579,fdo1F
3596,fdi2
4321,c095
4339,c095
6175,fdo1
6192,fdo1F
6244,z81b
6311,z82b
6378,z83b
6445,z84b
6579,z88b
6646,z89b
6713,z90b
6780,z91b
6914,z95b
6981,z96b
7048,z97b
7115,z98b
7291,fdi1
7308,fdi1
7625,fdo1
7642,fdo1N
7668,fdi2
12302,fdo1
14247,fdo1
14264,fdo1F
14316,z81b
14383,z82b
14450,z83b
14517,z84b
14651,z88b
14718,z89b
14785,z90b
14852,z91b
14986,z95b
15053,z96b
15120,z97b
15187,z98b
15363,fdi1
15380,fdi1
15697,fdo1
15714,fdo1N
15740,fdi2
20374,fdo1
22319,fdo1
22336,fdo1F
22388,z81b
22455,z82b
22522,z83b
22589,z84b
22723,z88b
22790,z89b
22857,z90b
22924,z91b
23058,z95b
23125,z96b
23192,z97b
23259,z98b
23435,fdi1
23452,fdi1
23769,fdo1
23786,fdo1N
23812,fdi2
28446,fdo1
33120,fdo1
34239,fdo1
34269,at14
34286,fdi1
34309,blon
34326,blon
34343,ovl1
34360,warp
34384,blof
34460,fdo1
34490,at14
34507,fdi1
34527,blon
34544,blon
34561,ovl1
34578,warp
34602,blof
34699,fdo1
34729,at14
34746,fdi1
34766,blon
34783,blon
34800,ovl1
34817,warp
34841,blof
34883,fdo1
34913,at14
34930,fdi1
34950,blon
34967,blon
34984,ovl1
35001,warp
35025,blof
36253,fdo1
36270,fdo1F
36423,twr0
36446,xxxx
36463,fdi1
36488,xxxxE
36503,x000
36531,x000E
36546,x016
36583,x016E
36598,x017
36631,x017E
36646,x001
36674,x001E
36689,x018
36717,x018E
36732,x019
36763,x019E
36778,boff
36795,x003
36827,twr1
36874,fd00R
36889,x003E
36904,x004
36932,x004E
36947,x005
36987,x005E
37002,x020
37038,x020E
37053,x006
37088,twr2+R
37111,x006E
37126,x021
37143,twr1+T
37182,cha0
37200,x021E
37215,tobi
37221,kidl0T
37253,tobiE
37268,ori6
37298,cha1
37331,chs2
37346,st01
37366,ori6E
37381,x022
37398,s000
37415,mus0
37448,f000R
37463,x022E
37478,x023
37498,fb01+R
37521,fb00R
37536,x023E
37551,x007
37595,x007E
37610,x008
37627,fb01+R
37650,fb00
37696,nge0E
37711,x009
37731,x009E
37746,knif
37766,s001
37791,mus1R
37806,knifE
37821,nani
37849,naniE
37864,x010
37901,fb01+R
37924,fb00R
37939,x010E
37954,x011
37986,nge1+R
38022,fb00
38040,x011E
38055,x012
38088,x012E
38103,tumi
38131,tumiE
38146,x024
38173,x024E
38188,x013
38216,f000+R
38245,x013E
38260,x014
38304,x014E
38319,x015
38365,x015E
38380,x025
38410,tla0
38452,tla1SR
38465,tla1R
38480,x025E
38495,s006
38533,thb0+R
38564,thb1
38582,s006E
38597,x026
38624,fd01+R
38685,x026E
38700,x027
38732,fi00+R
38767,hras
38782,st01
38802,x027E
38817,x028
38847,x028E
38862,x029
38907,x029E
38922,x030
38939,boff
38987,fe00R
39002,x030E
39017,x033
39069,x033E
39084,x031
39104,fe01+R
39127,fe00R
39142,x031E
39157,x032
39174,fe01+R
39205,fe00
39223,fdo1
39240,fdo1R
39281,fdi2
39301,fdo1
39318,fdo1F
39471,towr
39499,towr
39527,towr
39555,towr
39583,twrt
39611,twrt
39639,towr
39667,towr
39687,fdi1
39717,towrR
39732,towtE
39747,twr2
39767,st01
39784,zri0
39802,twr2E
39817,v000
39852,zri0
39867,st02
39884,zri1R
39899,v000E
39914,v001
39934,v001E
39949,v002
40019,v014
40047,v014
40075,larg
40103,larg
40131,taru
40159,taru
40187,v014
40215,larg
40323,zri1R
40338,taruR
40353,largR
40368,v014E
40383,v003
40400,inu0
40415,st03
40460,v003
40483,v014
40511,v014
40539,larg
40567,larg
40595,taru
40623,taru
40651,v014
