index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Savanna Crab,61441,261,00 00 00 00 00 00 00 00 00 00 00 00 01 f0 05 01
2,64,Mugger Crab,61442,261,00 00 00 00 00 00 00 00 00 00 00 00 02 f0 05 01
3,96,Mud Pugil,61443,261,00 00 00 00 00 00 00 00 00 00 00 00 03 f0 05 01
4,128,Pug Pugil,61444,261,00 00 00 00 00 00 00 00 00 00 00 00 04 f0 05 01
5,160,Fighting Pugil,61445,261,00 00 00 00 00 00 00 00 00 00 00 00 05 f0 05 01
6,192,Mad Fox,61446,261,00 00 00 00 00 00 00 00 00 00 00 00 06 f0 05 01
7,224,Mad Fox,61447,261,00 00 00 00 00 00 00 00 00 00 00 00 07 f0 05 01
8,256,Rafflesia,61448,261,00 00 00 00 00 00 00 00 00 00 00 00 08 f0 05 01
9,288,Rafflesia,61449,261,00 00 00 00 00 00 00 00 00 00 00 00 09 f0 05 01
10,320,Bumblebee,61450,261,00 00 00 00 00 00 00 00 00 00 00 00 0a f0 05 01
11,352,Bumblebee,61451,261,00 00 00 00 00 00 00 00 00 00 00 00 0b f0 05 01
12,384,Carrion Crow,61452,261,00 00 00 00 00 00 00 00 00 00 00 00 0c f0 05 01
13,416,Carrion Crow,61453,261,00 00 00 00 00 00 00 00 00 00 00 00 0d f0 05 01
14,448,Carrion Crow,61454,261,00 00 00 00 00 00 00 00 00 00 00 00 0e f0 05 01
15,480,Carrion Crow,61455,261,00 00 00 00 00 00 00 00 00 00 00 00 0f f0 05 01
16,512,Carrion Crow,61456,261,00 00 00 00 00 00 00 00 00 00 00 00 10 f0 05 01
17,544,Savanna Dhalmel,61457,261,00 00 00 00 00 00 00 00 00 00 00 00 11 f0 05 01
18,576,Savanna Dhalmel,61458,261,00 00 00 00 00 00 00 00 00 00 00 00 12 f0 05 01
19,608,Savanna Dhalmel,61459,261,00 00 00 00 00 00 00 00 00 00 00 00 13 f0 05 01
20,640,Savanna Dhalmel,61460,261,00 00 00 00 00 00 00 00 00 00 00 00 14 f0 05 01
21,672,Savanna Dhalmel,61461,261,00 00 00 00 00 00 00 00 00 00 00 00 15 f0 05 01
22,704,Savanna Dhalmel,61462,261,00 00 00 00 00 00 00 00 00 00 00 00 16 f0 05 01
23,736,Savanna Dhalmel,61463,261,00 00 00 00 00 00 00 00 00 00 00 00 17 f0 05 01
24,768,Savanna Dhalmel,61464,261,00 00 00 00 00 00 00 00 00 00 00 00 18 f0 05 01
25,800,Savanna Dhalmel,61465,261,00 00 00 00 00 00 00 00 00 00 00 00 19 f0 05 01
26,832,Savanna Dhalmel,61466,261,00 00 00 00 00 00 00 00 00 00 00 00 1a f0 05 01
27,864,Savanna Dhalmel,61467,261,00 00 00 00 00 00 00 00 00 00 00 00 1b f0 05 01
28,896,Savanna Dhalmel,61468,261,00 00 00 00 00 00 00 00 00 00 00 00 1c f0 05 01
29,928,Savanna Dhalmel,61469,261,00 00 00 00 00 00 00 00 00 00 00 00 1d f0 05 01
30,960,Savanna Dhalmel,61470,261,00 00 00 00 00 00 00 00 00 00 00 00 1e f0 05 01
31,992,Savanna Dhalmel,61471,261,00 00 00 00 00 00 00 00 00 00 00 00 1f f0 05 01
32,1024,Savanna Dhalmel,61472,261,00 00 00 00 00 00 00 00 00 00 00 00 20 f0 05 01
33,1056,Savanna Dhalmel,61473,261,00 00 00 00 00 00 00 00 00 00 00 00 21 f0 05 01
34,1088,Savanna Dhalmel,61474,261,00 00 00 00 00 00 00 00 00 00 00 00 22 f0 05 01
35,1120,Rafflesia,61475,261,00 00 00 00 00 00 00 00 00 00 00 00 23 f0 05 01
36,1152,Rafflesia,61476,261,00 00 00 00 00 00 00 00 00 00 00 00 24 f0 05 01
37,1184,Bumblebee,61477,261,00 00 00 00 00 00 00 00 00 00 00 00 25 f0 05 01
38,1216,Bumblebee,61478,261,00 00 00 00 00 00 00 00 00 00 00 00 26 f0 05 01
39,1248,Rafflesia,61479,261,00 00 00 00 00 00 00 00 00 00 00 00 27 f0 05 01
40,1280,Rafflesia,61480,261,00 00 00 00 00 00 00 00 00 00 00 00 28 f0 05 01
41,1312,Bumblebee,61481,261,00 00 00 00 00 00 00 00 00 00 00 00 29 f0 05 01
42,1344,Bumblebee,61482,261,00 00 00 00 00 00 00 00 00 00 00 00 2a f0 05 01
43,1376,Rafflesia,61483,261,00 00 00 00 00 00 00 00 00 00 00 00 2b f0 05 01
44,1408,Rafflesia,61484,261,00 00 00 00 00 00 00 00 00 00 00 00 2c f0 05 01
45,1440,Bumblebee,61485,261,00 00 00 00 00 00 00 00 00 00 00 00 2d f0 05 01
46,1472,Bumblebee,61486,261,00 00 00 00 00 00 00 00 00 00 00 00 2e f0 05 01
47,1504,Rafflesia,61487,261,00 00 00 00 00 00 00 00 00 00 00 00 2f f0 05 01
48,1536,Rafflesia,61488,261,00 00 00 00 00 00 00 00 00 00 00 00 30 f0 05 01
49,1568,Bumblebee,61489,261,00 00 00 00 00 00 00 00 00 00 00 00 31 f0 05 01
50,1600,Bumblebee,61490,261,00 00 00 00 00 00 00 00 00 00 00 00 32 f0 05 01
51,1632,Crawler,61491,261,00 00 00 00 00 00 00 00 00 00 00 00 33 f0 05 01
52,1664,Crawler,61492,261,00 00 00 00 00 00 00 00 00 00 00 00 34 f0 05 01
53,1696,Crawler,61493,261,00 00 00 00 00 00 00 00 00 00 00 00 35 f0 05 01
