offset,token
1153,fdo1
1178,main
1232,whi1
1404,fdo0
1421,fdo0
1499,fdi1
1620,fdo1
1637,fdo1F
1654,fdi2
2379,c096
2397,c096
2421,sit0S
2434,sit0
2458,sit1S
2471,sit1
2495,sha0S
2508,sha0
2532,sha1S
2545,sha1
2717,tlk0
2741,tlk1
2917,ec00
3149,pas0
5471,fdo1
5488,fdo1F
5540,z81b
5607,z82b
5674,z83b
5741,z84b
5875,z88b
5942,z89b
6009,z90b
6076,z91b
6210,z95b
6277,z96b
6344,z97b
6411,z98b
6587,fdi1
6604,fdi1
6921,fdo1
6938,fdo1N
6964,fdi2
11598,fdo1
13543,fdo1
13560,fdo1F
13612,z81b
13679,z82b
13746,z83b
13813,z84b
13947,z88b
14014,z89b
14081,z90b
14148,z91b
14282,z95b
14349,z96b
14416,z97b
14483,z98b
14659,fdi1
14676,fdi1
14993,fdo1
15010,fdo1N
15036,fdi2
19670,fdo1
21615,fdo1
21632,fdo1F
21684,z81b
21751,z82b
21818,z83b
21885,z84b
22019,z88b
22086,z89b
22153,z90b
22220,z91b
22354,z95b
22421,z96b
22488,z97b
22555,z98b
22731,fdi1
22748,fdi1
23065,fdo1
23082,fdo1N
23108,fdi2
27742,fdo1
32416,fdo1
33452,tlk0+
33552,tlk0+
33748,thk1+
34008,tlk0+
34404,tlk0+
34660,tlk0+
34760,thk1+
34940,tlk0+
35120,tlk0+
35224,tlk0+
35416,tlk0+
35520,tlk0+
35628,tlk0+
35724,tlk0+
35816,tlk0+
35916,tlk0+
36096,tlk0+
36978,main
37046,main
37114,main
37182,main
37226,main
37257,fdo1
41745,fdo1
41762,fdo1F
42406,zzza
42423,fdi1
42451,zzzaEM
42466,zzzz
42546,zzzzEM
42561,zzzb
42610,gud0+
42633,zzzbEM
42648,zzze
42681,zzzeEM
42696,zzzc
42745,zzzcEM
42760,zzzf
42820,zzzd
42837,zzzf+
42860,gud1+
42893,fdo1
42910,fdo1RM
42925,zzzdN
43042,gen0
43060,g000
43077,fdi1
43108,g000EM
43123,yag2
43217,ovl2
43234,yag2EM
43249,yag1
43269,ovl2
43286,yag1EM
43301,yag4
43321,gen0EM
43336,kill
43353,yag4EM
43368,c035
43411,c035EM
43426,c012
43578,gaku'
43600,c012EM
43615,te02
43743,te02EM
43758,c040
43775,gud1+
43838,c040EM
43853,c013
43947,c013EM
43962,c014
43982,gud0+
44013,c014EM
44028,c037
44204,nya0
44222,c037EM
44237,g002
44262,stb1S
44275,stb1RM
44290,g002EM
44305,c015
44360,nya1
44378,c015EM
44393,nyaa
44425,nya1
44473,nya1
44491,sta1RM
44506,nyaaEM
44521,c033
44556,sta0+
44579,c033EM
44594,c032
44627,c032EM
44642,c034
44673,fdo1
44690,fdo1RM
44705,c034N
44876,yag0
44893,fdi1
45199,bow0f
45214,bow0f
45229,bow0f
45244,bow0f
45259,bow0f
45274,bow0f
45322,tee0
45340,yag0EM
45355,c038
45390,c038EM
45405,test
45422,bow1f
45437,bow1f
45452,bow1f
45467,bow1f
45482,bow1f
45497,bow1f
45512,bow1+
45646,testEM
45661,c005
45773,c005EM
45788,tai0
45808,tai0EM
45823,tes1
45840,stf1
45858,wnd1
45876,wnd1
45894,wnd1
45912,wnd1
45930,wnd1
45948,wnd1
45966,wnd1
45984,tes1EM
45999,c027
46024,c027EM
46039,c008
46064,c008EM
46079,kill
46096,c000
46113,bow2f
46128,bow2f
46143,bow2f
46158,bow2f
46173,bow2f
46188,bow2f
46203,bow2
46221,c000EM
46236,c028
46274,c028EM
46289,te03
46306,gya0
46324,te03
46339,str0
46356,yag3
46455,tee1
46478,yag3
46493,kill
46510,c018
46590,bow3f
46605,bow3f
46620,bow3f
46635,bow3f
46650,bow3f
46665,bow3f
46680,bow3RM
46695,c018EM
46710,kill
46727,c001
46789,c001EM
46804,c002
46821,s000
46950,c002EM
46965,c003
46999,str0
47016,s001
47036,kill
47057,dead
47086,dead
47104,rbt0
47122,c003EM
47137,kill
47154,c004
47179,c004EM
47194,cccc
47211,rgo0+
47291,cccc
47306,str0
47323,cccd
47430,kidl0
47439,kidl0
47448,kidl0
47457,kidl0
47466,kidl0
47475,kidl0
47516,cccd
47531,kill
47548,kill
47565,c010
47593,c010'
47615,c029
47681,wnd1RM
47696,c029EM
47711,c011
47731,st00
47835,c011EM
47850,c024
47870,c024EM
47885,c016
47997,kidl0
48006,kidl0
48015,kidl0
48024,kidl0
48033,kidl0
48165,c016
48180,str0
48197,c006
48474,lbtm
48492,c006
48507,kill
48524,ty00
48541,vsmt
48566,kidl0
48667,ty00EM
48682,a005
48741,bow1f
48756,bow1f
48771,bow1f
48786,bow1f
48816,kkmtRM
48831,a005EM
48846,kill
48868,c042
49062,c042EM
49077,kill
49094,c043
49111,bow2f
49126,bow2f
49314,corpf
49329,fki0f
49344,fki0f
49359,fki0f
49374,fki0
49402,sc00
49419,mg00
49437,c043EM
49452,c045
49472,st00
49492,c045EM
49507,c007
49527,str0
49544,fkiaf
49559,fkicf
49574,fkicf
49589,fkia
49604,kill
