index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Vorpal Bunny,1,262,00 00 00 00 00 00 00 00 00 00 00 00 01 00 06 01
2,64,Vorpal Bunny,2,262,00 00 00 00 00 00 00 00 00 00 00 00 02 00 06 01
3,96,Wandering Saplin,3,262,67 00 00 00 00 00 00 00 00 00 00 00 03 00 06 01
4,128,Wandering Saplin,4,262,67 00 00 00 00 00 00 00 00 00 00 00 04 00 06 01
5,160,Lycopodium,5,262,00 00 00 00 00 00 00 00 00 00 00 00 05 00 06 01
6,192,Wandering Saplin,6,262,67 00 00 00 00 00 00 00 00 00 00 00 06 00 06 01
7,224,Lycopodium,7,262,00 00 00 00 00 00 00 00 00 00 00 00 07 00 06 01
8,256,Vorpal Bunny,8,262,00 00 00 00 00 00 00 00 00 00 00 00 08 00 06 01
9,288,Vorpal Bunny,9,262,00 00 00 00 00 00 00 00 00 00 00 00 09 00 06 01
10,320,Lycopodium,10,262,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 06 01
11,352,Vorpal Bunny,11,262,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 06 01
12,384,Vorpal Bunny,12,262,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 06 01
13,416,Wandering Saplin,13,262,67 00 00 00 00 00 00 00 00 00 00 00 0d 00 06 01
14,448,Wandering Saplin,14,262,67 00 00 00 00 00 00 00 00 00 00 00 0e 00 06 01
15,480,Lycopodium,15,262,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 06 01
16,512,Lycopodium,16,262,00 00 00 00 00 00 00 00 00 00 00 00 10 00 06 01
17,544,Vorpal Bunny,17,262,00 00 00 00 00 00 00 00 00 00 00 00 11 00 06 01
18,576,Wandering Saplin,18,262,67 00 00 00 00 00 00 00 00 00 00 00 12 00 06 01
19,608,Wandering Saplin,19,262,67 00 00 00 00 00 00 00 00 00 00 00 13 00 06 01
20,640,Lycopodium,20,262,00 00 00 00 00 00 00 00 00 00 00 00 14 00 06 01
21,672,Vorpal Bunny,21,262,00 00 00 00 00 00 00 00 00 00 00 00 15 00 06 01
22,704,Vorpal Bunny,22,262,00 00 00 00 00 00 00 00 00 00 00 00 16 00 06 01
23,736,Vorpal Bunny,23,262,00 00 00 00 00 00 00 00 00 00 00 00 17 00 06 01
24,768,Wandering Saplin,24,262,67 00 00 00 00 00 00 00 00 00 00 00 18 00 06 01
25,800,Wandering Saplin,25,262,67 00 00 00 00 00 00 00 00 00 00 00 19 00 06 01
26,832,Wandering Saplin,26,262,67 00 00 00 00 00 00 00 00 00 00 00 1a 00 06 01
27,864,Wandering Saplin,27,262,67 00 00 00 00 00 00 00 00 00 00 00 1b 00 06 01
28,896,Lycopodium,28,262,00 00 00 00 00 00 00 00 00 00 00 00 1c 00 06 01
29,928,Lycopodium,29,262,00 00 00 00 00 00 00 00 00 00 00 00 1d 00 06 01
30,960,Lycopodium,30,262,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 06 01
31,992,Lycopodium,31,262,00 00 00 00 00 00 00 00 00 00 00 00 1f 00 06 01
32,1024,Lycopodium,32,262,00 00 00 00 00 00 00 00 00 00 00 00 20 00 06 01
33,1056,Wandering Saplin,33,262,67 00 00 00 00 00 00 00 00 00 00 00 21 00 06 01
34,1088,Wandering Saplin,34,262,67 00 00 00 00 00 00 00 00 00 00 00 22 00 06 01
35,1120,Wandering Saplin,35,262,67 00 00 00 00 00 00 00 00 00 00 00 23 00 06 01
36,1152,Lycopodium,36,262,00 00 00 00 00 00 00 00 00 00 00 00 24 00 06 01
37,1184,Lycopodium,37,262,00 00 00 00 00 00 00 00 00 00 00 00 25 00 06 01
38,1216,Lycopodium,38,262,00 00 00 00 00 00 00 00 00 00 00 00 26 00 06 01
39,1248,Lycopodium,39,262,00 00 00 00 00 00 00 00 00 00 00 00 27 00 06 01
40,1280,Vorpal Bunny,40,262,00 00 00 00 00 00 00 00 00 00 00 00 28 00 06 01
41,1312,Vorpal Bunny,41,262,00 00 00 00 00 00 00 00 00 00 00 00 29 00 06 01
42,1344,Vorpal Bunny,42,262,00 00 00 00 00 00 00 00 00 00 00 00 2a 00 06 01
43,1376,Ratatoskr,43,262,00 00 00 00 00 00 00 00 00 00 00 00 2b 00 06 01
44,1408,Lycopodium,44,262,00 00 00 00 00 00 00 00 00 00 00 00 2c 00 06 01
45,1440,Vorpal Bunny,45,262,00 00 00 00 00 00 00 00 00 00 00 00 2d 00 06 01
46,1472,Vorpal Bunny,46,262,00 00 00 00 00 00 00 00 00 00 00 00 2e 00 06 01
47,1504,Lycopodium,47,262,00 00 00 00 00 00 00 00 00 00 00 00 2f 00 06 01
