npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
343,Federation Dispe,343,262,7,160368,160488,82.11,82.13,82.12,45,8211,8213,8212,8211 8212 8213 109 -1040896 1933311 2171776 -1040830
344,Federation Dispe,344,262,7,160396,160488,82.11,82.13,82.12,45,8211,8213,8212,8211 8212 8213 109 -1040896 1933311 2171776 -1040830
345,Federation Dispe,345,262,7,160424,160488,82.11,82.13,82.12,45,8211,8213,8212,8211 8212 8213 109 -1040896 1933311 2171776 -1040830
575,Rongo-Nango,576,262,1,3268,3316,77.1,0.29,77.09,50,7710,29,7709,7710 7709 29 305 1107369984 50331907 131856 50532356
576,???,577,262,1,36360,36412,77.48,77.49,77.5,25,7748,7749,7750,7748 7750 7749 215 771825664 1853882424 2147483632 -258375679
580,Treasure Coffer,582,262,1,231248,231280,82.63,0.86,0.01,65,8263,86,1,8263 1 86 768 16977922 51380992 268697602 83886851
603,Stone Monument,620,262,1,3640,3672,78.23,78.25,78.24,65,7823,7825,7824,7823 7824 7825 27 -2147465216 -2147399645 -2147334109 -2147268573
604,"Caulaise, R.K.",621,262,28,3716,3880,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
605,"Marianne, I.M.",622,262,28,11788,11952,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
606,"Lamurara, C.C.",623,262,28,19860,20024,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
611,"Wren, C.A.",628,262,1,27932,27952,1.23,0.04,71.78,30,123,4,7178,123 7178 4 0 7191 1 7192 2
613,Phosphorous Ward,630,262,2,231128,231280,82.63,0.86,0.01,65,8263,86,1,8263 1 86 768 16977922 51380992 268697602 83886851
643,Painted Wooden D,660,262,2,231088,231272,0.6,82.63,82.62,15,60,8263,8262,60 8262 8263 1 86 768 16977922 51380992
646,Painted Wooden D,663,262,2,231168,231280,82.63,0.86,0.01,65,8263,86,1,8263 1 86 768 16977922 51380992 268697602 83886851
661,Painted Wooden D,678,262,2,231208,231280,82.63,0.86,0.01,65,8263,86,1,8263 1 86 768 16977922 51380992 268697602 83886851
664,Beastman Ensign,681,262,1,109836,109904,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 7715 7716
666,Ramblix,683,262,2,36644,36768,77.35,0.6,2.0,70,7735,60,200,7735 200 60 485 1107369984 -266469342 1249902591 2147483632
669,Eirmomo,686,262,1,33392,33416,0.49,81.46,81.45,70,49,8146,8145,49 8145 8146 57 -1040896 1867775 -2147391872 2147483640
670,Quirro-Niiro,687,262,1,33492,33516,0.49,81.6,81.59,70,49,8160,8159,49 8159 8160 57 -1040896 1867775 -2147391872 2147483640
671,Aurhi Rhatelo,688,262,1,33592,33620,81.84,81.85,0.12,70,8184,8185,12,8184 12 8185 52 -1040896 1867775 -513152 -2147385345
672,Kahs Dekahsell,689,262,1,33688,33712,0.59,82.04,82.03,70,59,8204,8203,59 8203 8204 57 -1040896 1867775 -2147391872 2147483640
673,Mhiu Raaghott,690,262,1,33788,33812,0.36,81.36,81.35,70,36,8136,8135,36 8135 8136 39 -1040896 1867775 -496000 -2147385345
674,Mortimer,691,262,1,33868,33892,81.51,81.52,0.26,70,8151,8152,26,8151 26 8152 39 -1040896 1867775 -513152 -2147385345
675,Fekko-Krakko,692,262,1,33948,33972,0.49,81.48,81.47,70,49,8148,8147,49 8147 8148 57 -1040896 1867775 -2147391872 2147483640
676,Porlco-Glaico,693,262,1,34048,34228,81.43,81.44,0.26,90,8143,8144,26,8143 26 8144 36 -1040896 -131366913 8388607 -126999680
