npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
412,Federation Dispe,8604,262,7,203196,203356,88.45,0.06,1.8,70,8845,6,180,8845 180 6 13 365248 -228186 8269 366738
413,Federation Dispe,8605,262,7,203224,203356,88.45,0.06,1.8,70,8845,6,180,8845 180 6 13 365248 -228186 8269 366738
414,Federation Dispe,8606,262,7,203252,203356,88.45,0.06,1.8,70,8845,6,180,8845 180 6 13 365248 -228186 8269 366738
642,???,8835,262,1,135516,135568,81.79,81.8,81.81,25,8179,8180,8181,8179 8181 8180 215 771825664 1853882424 2147483632 -258375679
646,Kagetora,8839,262,1,135800,135856,80.75,80.76,80.77,45,8075,8076,8077,8075 8077 8076 337 1107369984 -4066 66431 33755139
647,Dalzakk,8840,262,15,136212,136304,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 7618 7619
648,Treasure Coffer,8842,262,1,313248,313280,85.4,0.86,0.01,65,8540,86,1,8540 1 86 768 16977922 51380992 268697602 83886851
671,Stone Monument,8880,262,1,6884,6916,77.35,77.37,77.36,65,7735,7737,7736,7735 7736 7737 27 -2147465216 -2147399645 -2147334109 -2147268573
672,"Alreage, R.K.",8881,262,28,6960,7124,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
673,"Dancing Thunder,",8882,262,28,15028,15192,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
674,"Hdya Mhirako, M.",8883,262,28,23096,23260,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
679,"Marius, C.A.",8888,262,1,31164,31184,1.23,0.04,70.97,30,123,4,7097,123 7097 4 0 7110 1 7111 2
685,_2q5,8894,262,1,120996,121160,0.84,0.59,8.63,-5,84,59,863,84 863 59 60 369 150 30 8004
686,Ebon Door,8895,262,1,36624,36640,0.07,0.01,77.38,15,7,1,7738,7 7738 1 0 200 60 19 217
687,Ebon Door,8896,262,1,36836,36852,0.07,0.01,77.38,15,7,1,7738,7 7738 1 0 200 60 19 217
