offset,token
1818,fdo1
3482,main
3499,ovl1
3569,whi1
3586,blof
3603,fdi0
3683,fdo1
3700,fdo1
4089,whi1
4106,blof
4218,whi1
4235,blof
4252,fdo1
4269,fdo1l
4666,main
4683,fdi2
4888,fdi2
4924,whi1
4941,blof
5025,fdo1
5042,fdo1
5343,whi1
5360,blof
5497,b99a
5602,b99a
5755,main
5774,fdi2
5838,fdo2
5855,fdo2
5908,fdo2
5925,fdo2
5945,fdo2
5962,fdo2
5998,fdi2
6015,main
6085,fdi1
6129,main
6148,fdi2
6198,fdi2
6215,main
6250,back
6268,fdi0
6285,fdi0
6301,fdo0
6318,fdo0
6334,fdi1
6351,fdi1
6367,fdo1
6384,fdo1
6400,whi1
6417,whi1
6433,who1
6450,who1
6466,who2
6483,who2
6499,who3
6516,who3
6532,main
6552,fdo1
6569,fdo1
6585,fdi1
6602,main
6622,fdi1
6638,blon
6655,blon
6673,whi0
6690,whi0
6706,who0
6723,who0
6739,efon
6756,efon
6772,fdis
6790,fdos
6807,fdos
6823,fdif
6841,fdof
6858,fdof
6874,fdip
6892,fdop
6909,fdop
7113,sha0S
7126,sha0
7150,sha1S
7163,sha1
7335,tlk0
7359,tlk1
7497,sit0S
7510,sit0
7534,sit1S
7547,sit1
7571,tlk0
7589,tlk1
7633,llz0S
7646,llz0
7675,kak0
7975,atp0
9690,fdo1
9707,fdo1F
9759,z81b
9826,z82b
9893,z83b
9960,z84b
10094,z88b
10161,z89b
10228,z90b
10295,z91b
10429,z95b
10496,z96b
10563,z97b
10630,z98b
10806,fdi1
10823,fdi1
11140,fdo1
11157,fdo1N
11183,fdi2
15816,fdo1
17486,fdo1
17503,fdo1F
17555,z81b
17622,z82b
17689,z83b
17756,z84b
17890,z88b
17957,z89b
18024,z90b
18091,z91b
18225,z95b
18292,z96b
18359,z97b
18426,z98b
18602,fdi1
18619,fdi1
18936,fdo1
18953,fdo1N
18979,fdi2
23612,fdo1
25282,fdo1
25299,fdo1F
25351,z81b
25418,z82b
25485,z83b
25552,z84b
25686,z88b
25753,z89b
25820,z90b
25887,z91b
26021,z95b
26088,z96b
26155,z97b
26222,z98b
26398,fdi1
26415,fdi1
26732,fdo1
26749,fdo1N
26775,fdi2
31408,fdo1
36084,fdo1
37205,fdo1
37222,fdo1F
37309,a000
37329,fdi1
37346,fdi1
37394,a000
37417,a001
37445,a001
37465,a002
37535,a003
37580,a004
37597,tlk0+S3
37620,tlk1
37668,a005
37711,a006
37778,a007
37784,kidl0S3
37845,a008
37888,a009
37928,a011
37977,a010
38004,fdo1
38036,a010
38104,a012
38121,fdi1
38138,fdi1
38182,a013
38230,a014
38247,tlk0+T3
38308,a015
38333,fdo1
38365,a015F
38382,fdi2
38402,fdo1
38419,fdo1F
38535,a016
38562,fdi1
38579,fdi1
38620,a017
38645,pas0
38663,s000
38680,yag0
38718,pas1
38733,s001
38750,yag1
38785,a018
38833,a019
38871,fdo1
38903,a019
38921,fdi2
38941,fdo1
38958,fdo1F
39047,a016
39074,fdi1
39112,tlk0+T3
39135,tlk1+T3
39173,a020
39198,fdo1
39230,a020F
39247,fdi2
41787,z80a
41815,z81a
41843,z82a
41871,z83a
41899,z84a
41927,z87a
41955,z88a
41983,z89a
42011,z90a
42039,z91a
42067,z94a
42095,z95a
42123,z96a
42151,z97a
42179,z98a
42207,d64a
42235,d71a
42263,d75a
42653,z80b
42681,z81b
42709,z82b
42737,z83b
42765,z84b
42793,z87b
42821,z88b
42849,z89b
42877,z90b
42905,z91b
42933,z94b
42961,z95b
42989,z96b
43017,z97b
43045,z98b
43073,d64b
43101,d71b
43129,d75b
44105,fdi2
44127,fdi0
44144,fdi0
44160,fdo0
44177,fdo0
44193,fdi1
44210,fdi1
44226,fdo1
44243,fdo1
44259,whi1
44276,whi1
44292,who1
44309,who1
44325,who2
44342,who2
44358,who3
44375,who3
44391,main
44411,fdo1
44428,fdo1
44444,fdi1
44461,main
44481,fdi1
44497,blon
44514,blon
44532,whi0
44549,whi0
44565,who0
44582,who0
44598,efon
44615,efon
44631,fdis
44649,fdos
44666,fdos
44682,fdif
44700,fdof
44717,fdof
44733,fdip
44751,fdop
44768,fdop
46216,frst
46236,ok00
50404,frst
50424,ok00
54592,frst
54612,ok00
