index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Odontotyrannus,12289,262,00 00 00 00 00 00 00 00 00 00 00 00 01 30 06 01
2,64,Yagudo Sentinel,12290,262,00 00 00 00 00 00 00 00 00 00 00 00 02 30 06 01
3,96,Yagudo Knight Te,12291,262,6d 70 6c 61 72 00 00 00 00 00 00 00 03 30 06 01
4,128,Bastion Bats,12292,262,00 00 00 00 00 00 00 00 00 00 00 00 04 30 06 01
5,160,Bastion Bats,12293,262,00 00 00 00 00 00 00 00 00 00 00 00 05 30 06 01
6,192,Yagudo Eradicato,12294,262,72 00 00 00 00 00 00 00 00 00 00 00 06 30 06 01
7,224,Yagudo Sentinel,12295,262,00 00 00 00 00 00 00 00 00 00 00 00 07 30 06 01
8,256,Yagudo High Prie,12296,262,73 74 00 00 00 00 00 00 00 00 00 00 08 30 06 01
9,288,Yagudo Prelate,12297,262,00 00 00 00 00 00 00 00 00 00 00 00 09 30 06 01
10,320,Bastion Bats,12298,262,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 06 01
11,352,Bastion Bats,12299,262,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 06 01
12,384,Yagudo Chanter,12300,262,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 06 01
13,416,Yagudo Prioress,12301,262,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 06 01
14,448,Yagudo's Element,12302,262,61 6c 00 00 00 00 00 00 00 00 00 00 0e 30 06 01
15,480,Yagudo High Prie,12303,262,73 74 00 00 00 00 00 00 00 00 00 00 0f 30 06 01
16,512,Yagudo Prelate,12304,262,00 00 00 00 00 00 00 00 00 00 00 00 10 30 06 01
17,544,Yagudo Chanter,12305,262,00 00 00 00 00 00 00 00 00 00 00 00 11 30 06 01
18,576,Yagudo Knight Te,12306,262,6d 70 6c 61 72 00 00 00 00 00 00 00 12 30 06 01
19,608,Yagudo Eradicato,12307,262,72 00 00 00 00 00 00 00 00 00 00 00 13 30 06 01
20,640,Yagudo Sentinel,12308,262,00 00 00 00 00 00 00 00 00 00 00 00 14 30 06 01
21,672,Yagudo Eradicato,12309,262,72 00 00 00 00 00 00 00 00 00 00 00 15 30 06 01
22,704,Yagudo Sentinel,12310,262,00 00 00 00 00 00 00 00 00 00 00 00 16 30 06 01
23,736,Yagudo High Prie,12311,262,73 74 00 00 00 00 00 00 00 00 00 00 17 30 06 01
