npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
579,Treasure Casket,33353,262,1,189224,189304,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
580,Treasure Casket,33354,262,1,191032,191112,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
581,Treasure Casket,33355,262,1,192840,192920,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
582,Treasure Casket,33356,262,1,194648,194728,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
583,Treasure Casket,33357,262,1,196456,196536,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
584,Treasure Casket,33358,262,1,198264,198344,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
585,Treasure Casket,33359,262,1,200072,200152,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
586,Treasure Casket,33360,262,1,201880,201960,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
587,Treasure Casket,33361,262,1,203688,203768,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
588,Treasure Casket,33362,262,1,205496,205576,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
589,Treasure Casket,33363,262,1,207304,207384,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
590,Treasure Casket,33364,262,1,209112,209192,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
591,Treasure Casket,33365,262,1,210920,211000,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
592,Treasure Casket,33366,262,1,212728,212808,86.85,0.15,86.61,30,8685,15,8661,8685 8661 15 16 31 8660 8662 8667
