index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Mist Lizard,49153,262,00 00 00 00 00 00 00 00 00 00 00 00 01 c0 06 01
2,64,Mist Lizard,49154,262,00 00 00 00 00 00 00 00 00 00 00 00 02 c0 06 01
3,96,Mist Lizard,49155,262,00 00 00 00 00 00 00 00 00 00 00 00 03 c0 06 01
4,128,Mist Lizard,49156,262,00 00 00 00 00 00 00 00 00 00 00 00 04 c0 06 01
5,160,Mist Lizard,49157,262,00 00 00 00 00 00 00 00 00 00 00 00 05 c0 06 01
6,192,Mist Lizard,49158,262,00 00 00 00 00 00 00 00 00 00 00 00 06 c0 06 01
7,224,Strolling Saplin,49159,262,67 00 00 00 00 00 00 00 00 00 00 00 07 c0 06 01
8,256,Strolling Saplin,49160,262,67 00 00 00 00 00 00 00 00 00 00 00 08 c0 06 01
9,288,Strolling Saplin,49161,262,67 00 00 00 00 00 00 00 00 00 00 00 09 c0 06 01
10,320,Strolling Saplin,49162,262,67 00 00 00 00 00 00 00 00 00 00 00 0a c0 06 01
11,352,Strolling Saplin,49163,262,67 00 00 00 00 00 00 00 00 00 00 00 0b c0 06 01
12,384,Strolling Saplin,49164,262,67 00 00 00 00 00 00 00 00 00 00 00 0c c0 06 01
13,416,Rock Eater,49165,262,00 00 00 00 00 00 00 00 00 00 00 00 0d c0 06 01
14,448,Rock Eater,49166,262,00 00 00 00 00 00 00 00 00 00 00 00 0e c0 06 01
15,480,Rock Eater,49167,262,00 00 00 00 00 00 00 00 00 00 00 00 0f c0 06 01
16,512,Rock Eater,49168,262,00 00 00 00 00 00 00 00 00 00 00 00 10 c0 06 01
17,544,Rock Eater,49169,262,00 00 00 00 00 00 00 00 00 00 00 00 11 c0 06 01
18,576,Rock Eater,49170,262,00 00 00 00 00 00 00 00 00 00 00 00 12 c0 06 01
19,608,Goblin Thug,49171,262,00 00 00 00 00 00 00 00 00 00 00 00 13 c0 06 01
20,640,Goblin Ambusher,49172,262,00 00 00 00 00 00 00 00 00 00 00 00 14 c0 06 01
21,672,Goblin Weaver,49173,262,00 00 00 00 00 00 00 00 00 00 00 00 15 c0 06 01
22,704,Goblin Butcher,49174,262,00 00 00 00 00 00 00 00 00 00 00 00 16 c0 06 01
23,736,Goblin Thug,49175,262,00 00 00 00 00 00 00 00 00 00 00 00 17 c0 06 01
24,768,Goblin Weaver,49176,262,00 00 00 00 00 00 00 00 00 00 00 00 18 c0 06 01
25,800,Goblin Butcher,49177,262,00 00 00 00 00 00 00 00 00 00 00 00 19 c0 06 01
26,832,Mist Lizard,49178,262,00 00 00 00 00 00 00 00 00 00 00 00 1a c0 06 01
27,864,Mist Lizard,49179,262,00 00 00 00 00 00 00 00 00 00 00 00 1b c0 06 01
28,896,Mist Lizard,49180,262,00 00 00 00 00 00 00 00 00 00 00 00 1c c0 06 01
29,928,Mist Lizard,49181,262,00 00 00 00 00 00 00 00 00 00 00 00 1d c0 06 01
30,960,Mist Lizard,49182,262,00 00 00 00 00 00 00 00 00 00 00 00 1e c0 06 01
31,992,Strolling Saplin,49183,262,67 00 00 00 00 00 00 00 00 00 00 00 1f c0 06 01
