index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Swamp Leech,53249,262,00 00 00 00 00 00 00 00 00 00 00 00 01 d0 06 01
2,64,Stag Crab,53250,262,00 00 00 00 00 00 00 00 00 00 00 00 02 d0 06 01
3,96,Swamp Pugil,53251,262,00 00 00 00 00 00 00 00 00 00 00 00 03 d0 06 01
4,128,Thread Leech,53252,262,00 00 00 00 00 00 00 00 00 00 00 00 04 d0 06 01
5,160,Snipper,53253,262,00 00 00 00 00 00 00 00 00 00 00 00 05 d0 06 01
6,192,Gadfly,53254,262,00 00 00 00 00 00 00 00 00 00 00 00 06 d0 06 01
7,224,Gadfly,53255,262,00 00 00 00 00 00 00 00 00 00 00 00 07 d0 06 01
8,256,Gadfly,53256,262,00 00 00 00 00 00 00 00 00 00 00 00 08 d0 06 01
9,288,Bog Bunny,53257,262,00 00 00 00 00 00 00 00 00 00 00 00 09 d0 06 01
10,320,Bog Bunny,53258,262,00 00 00 00 00 00 00 00 00 00 00 00 0a d0 06 01
11,352,Bog Bunny,53259,262,00 00 00 00 00 00 00 00 00 00 00 00 0b d0 06 01
12,384,Bog Bunny,53260,262,00 00 00 00 00 00 00 00 00 00 00 00 0c d0 06 01
13,416,Night Bats,53261,262,00 00 00 00 00 00 00 00 00 00 00 00 0d d0 06 01
14,448,Night Bats,53262,262,00 00 00 00 00 00 00 00 00 00 00 00 0e d0 06 01
15,480,Night Bats,53263,262,00 00 00 00 00 00 00 00 00 00 00 00 0f d0 06 01
16,512,Night Bats,53264,262,00 00 00 00 00 00 00 00 00 00 00 00 10 d0 06 01
17,544,Black Bat,53265,262,00 00 00 00 00 00 00 00 00 00 00 00 11 d0 06 01
18,576,Black Bat,53266,262,00 00 00 00 00 00 00 00 00 00 00 00 12 d0 06 01
19,608,Bog Dog,53267,262,00 00 00 00 00 00 00 00 00 00 00 00 13 d0 06 01
20,640,Gadfly,53268,262,00 00 00 00 00 00 00 00 00 00 00 00 14 d0 06 01
21,672,Gadfly,53269,262,00 00 00 00 00 00 00 00 00 00 00 00 15 d0 06 01
22,704,Bog Bunny,53270,262,00 00 00 00 00 00 00 00 00 00 00 00 16 d0 06 01
23,736,Bog Bunny,53271,262,00 00 00 00 00 00 00 00 00 00 00 00 17 d0 06 01
24,768,Snipper,53272,262,00 00 00 00 00 00 00 00 00 00 00 00 18 d0 06 01
25,800,Snipper,53273,262,00 00 00 00 00 00 00 00 00 00 00 00 19 d0 06 01
26,832,Snipper,53274,262,00 00 00 00 00 00 00 00 00 00 00 00 1a d0 06 01
27,864,Night Bats,53275,262,00 00 00 00 00 00 00 00 00 00 00 00 1b d0 06 01
28,896,Night Bats,53276,262,00 00 00 00 00 00 00 00 00 00 00 00 1c d0 06 01
29,928,Night Bats,53277,262,00 00 00 00 00 00 00 00 00 00 00 00 1d d0 06 01
30,960,Night Bats,53278,262,00 00 00 00 00 00 00 00 00 00 00 00 1e d0 06 01
31,992,Black Bat,53279,262,00 00 00 00 00 00 00 00 00 00 00 00 1f d0 06 01
32,1024,Black Bat,53280,262,00 00 00 00 00 00 00 00 00 00 00 00 20 d0 06 01
33,1056,Thread Leech,53281,262,00 00 00 00 00 00 00 00 00 00 00 00 21 d0 06 01
34,1088,Thread Leech,53282,262,00 00 00 00 00 00 00 00 00 00 00 00 22 d0 06 01
35,1120,Thread Leech,53283,262,00 00 00 00 00 00 00 00 00 00 00 00 23 d0 06 01
36,1152,Land Pugil,53284,262,00 00 00 00 00 00 00 00 00 00 00 00 24 d0 06 01
37,1184,Land Pugil,53285,262,00 00 00 00 00 00 00 00 00 00 00 00 25 d0 06 01
38,1216,Land Pugil,53286,262,00 00 00 00 00 00 00 00 00 00 00 00 26 d0 06 01
39,1248,Snipper,53287,262,00 00 00 00 00 00 00 00 00 00 00 00 27 d0 06 01
40,1280,Snipper,53288,262,00 00 00 00 00 00 00 00 00 00 00 00 28 d0 06 01
41,1312,Snipper,53289,262,00 00 00 00 00 00 00 00 00 00 00 00 29 d0 06 01
42,1344,Bogy,53290,262,00 00 00 00 00 00 00 00 00 00 00 00 2a d0 06 01
43,1376,Water Elemental,53291,262,00 00 00 00 00 00 00 00 00 00 00 00 2b d0 06 01
44,1408,Gadfly,53292,262,00 00 00 00 00 00 00 00 00 00 00 00 2c d0 06 01
45,1440,Gadfly,53293,262,00 00 00 00 00 00 00 00 00 00 00 00 2d d0 06 01
46,1472,Gadfly,53294,262,00 00 00 00 00 00 00 00 00 00 00 00 2e d0 06 01
47,1504,Bog Bunny,53295,262,00 00 00 00 00 00 00 00 00 00 00 00 2f d0 06 01
48,1536,Bog Bunny,53296,262,00 00 00 00 00 00 00 00 00 00 00 00 30 d0 06 01
49,1568,Night Bats,53297,262,00 00 00 00 00 00 00 00 00 00 00 00 31 d0 06 01
50,1600,Night Bats,53298,262,00 00 00 00 00 00 00 00 00 00 00 00 32 d0 06 01
51,1632,Night Bats,53299,262,00 00 00 00 00 00 00 00 00 00 00 00 33 d0 06 01
52,1664,Night Bats,53300,262,00 00 00 00 00 00 00 00 00 00 00 00 34 d0 06 01
53,1696,Black Bat,53301,262,00 00 00 00 00 00 00 00 00 00 00 00 35 d0 06 01
54,1728,Black Bat,53302,262,00 00 00 00 00 00 00 00 00 00 00 00 36 d0 06 01
55,1760,Bog Dog,53303,262,00 00 00 00 00 00 00 00 00 00 00 00 37 d0 06 01
56,1792,Goobbue,53304,262,00 00 00 00 00 00 00 00 00 00 00 00 38 d0 06 01
57,1824,Goobbue,53305,262,00 00 00 00 00 00 00 00 00 00 00 00 39 d0 06 01
58,1856,Malboro,53306,262,00 00 00 00 00 00 00 00 00 00 00 00 3a d0 06 01
59,1888,Old Quadav,53307,262,00 00 00 00 00 00 00 00 00 00 00 00 3b d0 06 01
60,1920,Veteran Quadav,53308,262,00 00 00 00 00 00 00 00 00 00 00 00 3c d0 06 01
61,1952,Greater Quadav,53309,262,00 00 00 00 00 00 00 00 00 00 00 00 3d d0 06 01
62,1984,Copper Quadav,53310,262,00 00 00 00 00 00 00 00 00 00 00 00 3e d0 06 01
63,2016,Brass Quadav,53311,262,00 00 00 00 00 00 00 00 00 00 00 00 3f d0 06 01
64,2048,Onyx Quadav,53312,262,00 00 00 00 00 00 00 00 00 00 00 00 40 d0 06 01
65,2080,Ghoul,53313,262,00 00 00 00 00 00 00 00 00 00 00 00 41 d0 06 01
66,2112,Zombie,53314,262,00 00 00 00 00 00 00 00 00 00 00 00 42 d0 06 01
67,2144,Thunder Elementa,53315,262,6c 00 00 00 00 00 00 00 00 00 00 00 43 d0 06 01
68,2176,Gadfly,53316,262,00 00 00 00 00 00 00 00 00 00 00 00 44 d0 06 01
69,2208,Gadfly,53317,262,00 00 00 00 00 00 00 00 00 00 00 00 45 d0 06 01
70,2240,Gadfly,53318,262,00 00 00 00 00 00 00 00 00 00 00 00 46 d0 06 01
71,2272,Bog Bunny,53319,262,00 00 00 00 00 00 00 00 00 00 00 00 47 d0 06 01
72,2304,Bog Bunny,53320,262,00 00 00 00 00 00 00 00 00 00 00 00 48 d0 06 01
73,2336,Night Bats,53321,262,00 00 00 00 00 00 00 00 00 00 00 00 49 d0 06 01
74,2368,Night Bats,53322,262,00 00 00 00 00 00 00 00 00 00 00 00 4a d0 06 01
75,2400,Night Bats,53323,262,00 00 00 00 00 00 00 00 00 00 00 00 4b d0 06 01
76,2432,Night Bats,53324,262,00 00 00 00 00 00 00 00 00 00 00 00 4c d0 06 01
77,2464,Black Bat,53325,262,00 00 00 00 00 00 00 00 00 00 00 00 4d d0 06 01
78,2496,Black Bat,53326,262,00 00 00 00 00 00 00 00 00 00 00 00 4e d0 06 01
79,2528,Carnivorous Craw,53327,262,6c 65 72 00 00 00 00 00 00 00 00 00 4f d0 06 01
80,2560,Carnivorous Craw,53328,262,6c 65 72 00 00 00 00 00 00 00 00 00 50 d0 06 01
81,2592,Gadfly,53329,262,00 00 00 00 00 00 00 00 00 00 00 00 51 d0 06 01
82,2624,Gadfly,53330,262,00 00 00 00 00 00 00 00 00 00 00 00 52 d0 06 01
83,2656,Gadfly,53331,262,00 00 00 00 00 00 00 00 00 00 00 00 53 d0 06 01
84,2688,Bog Bunny,53332,262,00 00 00 00 00 00 00 00 00 00 00 00 54 d0 06 01
85,2720,Bog Bunny,53333,262,00 00 00 00 00 00 00 00 00 00 00 00 55 d0 06 01
86,2752,Night Bats,53334,262,00 00 00 00 00 00 00 00 00 00 00 00 56 d0 06 01
87,2784,Night Bats,53335,262,00 00 00 00 00 00 00 00 00 00 00 00 57 d0 06 01
88,2816,Night Bats,53336,262,00 00 00 00 00 00 00 00 00 00 00 00 58 d0 06 01
89,2848,Night Bats,53337,262,00 00 00 00 00 00 00 00 00 00 00 00 59 d0 06 01
90,2880,Black Bat,53338,262,00 00 00 00 00 00 00 00 00 00 00 00 5a d0 06 01
91,2912,Black Bat,53339,262,00 00 00 00 00 00 00 00 00 00 00 00 5b d0 06 01
92,2944,Bog Dog,53340,262,00 00 00 00 00 00 00 00 00 00 00 00 5c d0 06 01
93,2976,Water Wasp,53341,262,00 00 00 00 00 00 00 00 00 00 00 00 5d d0 06 01
94,3008,Water Wasp,53342,262,00 00 00 00 00 00 00 00 00 00 00 00 5e d0 06 01
95,3040,Water Wasp,53343,262,00 00 00 00 00 00 00 00 00 00 00 00 5f d0 06 01
96,3072,Water Wasp,53344,262,00 00 00 00 00 00 00 00 00 00 00 00 60 d0 06 01
97,3104,Gadfly,53345,262,00 00 00 00 00 00 00 00 00 00 00 00 61 d0 06 01
98,3136,Gadfly,53346,262,00 00 00 00 00 00 00 00 00 00 00 00 62 d0 06 01
99,3168,Bog Bunny,53347,262,00 00 00 00 00 00 00 00 00 00 00 00 63 d0 06 01
100,3200,Bog Bunny,53348,262,00 00 00 00 00 00 00 00 00 00 00 00 64 d0 06 01
101,3232,Night Bats,53349,262,00 00 00 00 00 00 00 00 00 00 00 00 65 d0 06 01
102,3264,Night Bats,53350,262,00 00 00 00 00 00 00 00 00 00 00 00 66 d0 06 01
103,3296,Night Bats,53351,262,00 00 00 00 00 00 00 00 00 00 00 00 67 d0 06 01
104,3328,Black Bat,53352,262,00 00 00 00 00 00 00 00 00 00 00 00 68 d0 06 01
105,3360,Goobbue,53353,262,00 00 00 00 00 00 00 00 00 00 00 00 69 d0 06 01
