index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Snipper,57345,262,00 00 00 00 00 00 00 00 00 00 00 00 01 e0 06 01
2,64,Big Jaw,57346,262,00 00 00 00 00 00 00 00 00 00 00 00 02 e0 06 01
3,96,Horrid Fluke,57347,262,00 00 00 00 00 00 00 00 00 00 00 00 03 e0 06 01
4,128,Greater Pugil,57348,262,00 00 00 00 00 00 00 00 00 00 00 00 04 e0 06 01
5,160,Big Leech,57349,262,00 00 00 00 00 00 00 00 00 00 00 00 05 e0 06 01
6,192,Silk Caterpillar,57350,262,00 00 00 00 00 00 00 00 00 00 00 00 06 e0 06 01
7,224,Death Wasp,57351,262,00 00 00 00 00 00 00 00 00 00 00 00 07 e0 06 01
8,256,Death Wasp,57352,262,00 00 00 00 00 00 00 00 00 00 00 00 08 e0 06 01
9,288,Death Wasp,57353,262,00 00 00 00 00 00 00 00 00 00 00 00 09 e0 06 01
10,320,Death Wasp,57354,262,00 00 00 00 00 00 00 00 00 00 00 00 0a e0 06 01
11,352,Moon Bat,57355,262,00 00 00 00 00 00 00 00 00 00 00 00 0b e0 06 01
12,384,Moon Bat,57356,262,00 00 00 00 00 00 00 00 00 00 00 00 0c e0 06 01
13,416,Moon Bat,57357,262,00 00 00 00 00 00 00 00 00 00 00 00 0d e0 06 01
14,448,Goobbue Farmer,57358,262,00 00 00 00 00 00 00 00 00 00 00 00 0e e0 06 01
15,480,Berry Grub,57359,262,00 00 00 00 00 00 00 00 00 00 00 00 0f e0 06 01
16,512,Berry Grub,57360,262,00 00 00 00 00 00 00 00 00 00 00 00 10 e0 06 01
17,544,Berry Grub,57361,262,00 00 00 00 00 00 00 00 00 00 00 00 11 e0 06 01
18,576,Berry Grub,57362,262,00 00 00 00 00 00 00 00 00 00 00 00 12 e0 06 01
19,608,Death Wasp,57363,262,00 00 00 00 00 00 00 00 00 00 00 00 13 e0 06 01
20,640,Death Wasp,57364,262,00 00 00 00 00 00 00 00 00 00 00 00 14 e0 06 01
21,672,Death Wasp,57365,262,00 00 00 00 00 00 00 00 00 00 00 00 15 e0 06 01
22,704,Death Wasp,57366,262,00 00 00 00 00 00 00 00 00 00 00 00 16 e0 06 01
