npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
541,Treasure Casket,57889,262,1,36352,36432,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
542,Treasure Casket,57890,262,1,38160,38240,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
543,Treasure Casket,57891,262,1,39968,40048,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
544,Treasure Casket,57892,262,1,41776,41856,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
545,Treasure Casket,57893,262,1,43584,43664,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
546,Treasure Casket,57894,262,1,45392,45472,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
547,Treasure Casket,57895,262,1,47200,47280,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
548,Treasure Casket,57896,262,1,49008,49088,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
549,Treasure Casket,57897,262,1,50816,50896,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
550,Treasure Casket,57898,262,1,52624,52704,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
551,Treasure Casket,57899,262,1,54432,54512,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
552,Treasure Casket,57900,262,1,56240,56320,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
553,Treasure Casket,57901,262,1,58048,58128,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
554,Treasure Casket,57902,262,1,59856,59936,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
555,Treasure Casket,57903,262,1,61664,61744,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
556,Treasure Casket,57904,262,1,63472,63552,76.27,0.15,76.03,30,7627,15,7603,7627 7603 15 16 31 7602 7604 7609
557,Treasure Coffer,57905,262,1,73756,73912,0.23,76.76,76.75,30,23,7676,7675,23 7675 7676 1 0 830 8 15
570,Stone Monument,57924,262,1,3880,3912,74.29,74.31,74.3,65,7429,7431,7430,7429 7430 7431 27 -2147465216 -2147399645 -2147334109 -2147268573
572,EFFECTER,57927,262,33,3956,4020,0.5,74.45,74.44,50,50,7445,7444,50 7444 7445 137 6422528 115492736 115492609 1767992577
573,Carbuncle,57928,262,16,4176,4320,0.5,74.45,74.44,65,50,7445,7444,50 7444 7445 714 1107379712 21168195 1049602 3145856
574,Talking Doll,57929,262,1,5052,5092,74.48,0.0,2.0,50,7448,0,200,7448 200 0 77 1851904 1124090752 -2147476479 595591496
