npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
306,Treasure Casket,61750,262,1,235924,236004,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
307,Treasure Casket,61751,262,1,237732,237812,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
308,Treasure Casket,61752,262,1,239540,239620,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
309,Treasure Casket,61753,262,1,241348,241428,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
310,Treasure Casket,61754,262,1,243156,243236,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
311,Treasure Casket,61755,262,1,244964,245044,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
312,Treasure Casket,61756,262,1,246772,246852,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
313,Treasure Casket,61757,262,1,248580,248660,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
314,Treasure Casket,61758,262,1,250388,250468,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
315,Treasure Casket,61759,262,1,252196,252276,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
316,Treasure Casket,61760,262,1,254004,254084,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
317,Treasure Casket,61761,262,1,255812,255892,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
318,Treasure Casket,61762,262,1,257620,257700,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
319,Treasure Casket,61763,262,1,259428,259508,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
320,Treasure Casket,61764,262,1,261236,261316,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
321,Treasure Casket,61765,262,1,263044,263124,86.04,0.15,85.8,30,8604,15,8580,8604 8580 15 16 31 8579 8581 8586
322,Treasure Coffer,61766,262,1,268168,268324,0.23,86.53,86.52,30,23,8653,8652,23 8652 8653 1 0 833 8 15
325,Mirror Pond,61774,262,1,29788,29840,0.3,74.45,74.44,45,30,7445,7444,30 7444 7445 3017 7446 7447 7448 7449
326,Dariah,61775,262,39,30640,30816,0.3,82.56,82.55,30,30,8256,8255,30 8255 8256 40 8257 8258 50 8259
335,"Parledaire, R.K.",61785,262,1,30772,30956,76.48,76.3,76.07,35,7648,7630,7607,7648 7607 7630 201 -1 7512 7637 7638
336,"Akane, I.M.",61786,262,1,46036,46220,76.48,76.3,76.07,35,7648,7630,7607,7648 7607 7630 201 -1 7512 7637 7638
337,"Ryunchi-Pauchi,",61787,262,1,61304,61488,76.48,76.3,76.07,35,7648,7630,7607,7648 7607 7630 201 -1 7512 7637 7638
342,"Leaufetie, R.K.",61792,262,1,77304,77424,76.48,76.3,76.07,35,7648,7630,7607,7648 7607 7630 201 -1 7512 7637 7638
343,"Rattling Rain, I",61793,262,1,92392,92512,76.48,76.3,76.07,35,7648,7630,7607,7648 7607 7630 201 -1 7512 7637 7638
344,"Chopapa, W.W.",61794,262,1,107480,107600,76.48,76.3,76.07,35,7648,7630,7607,7648 7607 7630 201 -1 7512 7637 7638
