index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Greater Pugil,8193,263,00 00 00 00 00 00 00 00 00 00 00 00 01 20 07 01
2,64,Cutter,8194,263,00 00 00 00 00 00 00 00 00 00 00 00 02 20 07 01
3,96,Ironshell,8195,263,00 00 00 00 00 00 00 00 00 00 00 00 03 20 07 01
4,128,Makara,8196,263,00 00 00 00 00 00 00 00 00 00 00 00 04 20 07 01
5,160,Bigclaw,8197,263,00 00 00 00 00 00 00 00 00 00 00 00 05 20 07 01
6,192,Giant Spider,8198,263,00 00 00 00 00 00 00 00 00 00 00 00 06 20 07 01
7,224,Giant Spider,8199,263,00 00 00 00 00 00 00 00 00 00 00 00 07 20 07 01
8,256,Giant Spider,8200,263,00 00 00 00 00 00 00 00 00 00 00 00 08 20 07 01
9,288,Desert Dhalmel,8201,263,00 00 00 00 00 00 00 00 00 00 00 00 09 20 07 01
10,320,Giant Spider,8202,263,00 00 00 00 00 00 00 00 00 00 00 00 0a 20 07 01
11,352,Giant Spider,8203,263,00 00 00 00 00 00 00 00 00 00 00 00 0b 20 07 01
12,384,Sand Beetle,8204,263,00 00 00 00 00 00 00 00 00 00 00 00 0c 20 07 01
13,416,Desert Dhalmel,8205,263,00 00 00 00 00 00 00 00 00 00 00 00 0d 20 07 01
14,448,Giant Spider,8206,263,00 00 00 00 00 00 00 00 00 00 00 00 0e 20 07 01
15,480,Sand Beetle,8207,263,00 00 00 00 00 00 00 00 00 00 00 00 0f 20 07 01
16,512,Sand Beetle,8208,263,00 00 00 00 00 00 00 00 00 00 00 00 10 20 07 01
17,544,Antican Auxiliar,8209,263,69 75 73 00 00 00 00 00 00 00 00 00 11 20 07 01
18,576,Antican Auxiliar,8210,263,69 75 73 00 00 00 00 00 00 00 00 00 12 20 07 01
19,608,Giant Spider,8211,263,00 00 00 00 00 00 00 00 00 00 00 00 13 20 07 01
20,640,Sand Beetle,8212,263,00 00 00 00 00 00 00 00 00 00 00 00 14 20 07 01
21,672,Sand Beetle,8213,263,00 00 00 00 00 00 00 00 00 00 00 00 15 20 07 01
22,704,Antican Auxiliar,8214,263,69 75 73 00 00 00 00 00 00 00 00 00 16 20 07 01
23,736,Antican Auxiliar,8215,263,69 75 73 00 00 00 00 00 00 00 00 00 17 20 07 01
24,768,Giant Spider,8216,263,00 00 00 00 00 00 00 00 00 00 00 00 18 20 07 01
25,800,Sand Beetle,8217,263,00 00 00 00 00 00 00 00 00 00 00 00 19 20 07 01
26,832,Antican Auxiliar,8218,263,69 75 73 00 00 00 00 00 00 00 00 00 1a 20 07 01
27,864,Giant Spider,8219,263,00 00 00 00 00 00 00 00 00 00 00 00 1b 20 07 01
28,896,Sand Beetle,8220,263,00 00 00 00 00 00 00 00 00 00 00 00 1c 20 07 01
29,928,Antican Auxiliar,8221,263,69 75 73 00 00 00 00 00 00 00 00 00 1d 20 07 01
