npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
429,Treasure Casket,8627,263,1,94912,94992,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
430,Treasure Casket,8628,263,1,96720,96800,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
431,Treasure Casket,8629,263,1,98528,98608,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
432,Treasure Casket,8630,263,1,100336,100416,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
433,Treasure Casket,8631,263,1,102144,102224,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
434,Treasure Casket,8632,263,1,103952,104032,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
435,Treasure Casket,8633,263,1,105760,105840,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
436,Treasure Casket,8634,263,1,107568,107648,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
437,Treasure Casket,8635,263,1,109376,109456,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
438,Treasure Casket,8636,263,1,111184,111264,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
439,Treasure Casket,8637,263,1,112992,113072,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
440,Treasure Casket,8638,263,1,114800,114880,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
441,Treasure Casket,8639,263,1,116608,116688,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
442,Treasure Casket,8640,263,1,118416,118496,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
443,Treasure Casket,8641,263,1,120224,120304,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
444,Treasure Casket,8642,263,1,122032,122112,78.05,0.15,77.81,30,7805,15,7781,7805 7781 15 16 31 7780 7782 7787
445,Treasure Coffer,8643,263,1,134896,135052,0.23,78.54,78.53,30,23,7854,7853,23 7853 7854 1 0 836 8 15
449,Dimensional Port,8652,263,1,1820,1956,110.89,0.01,110.9,30,11089,1,11090,11089 11090 1 0 11091 11100 4080 60
450,Shattered Telepo,8653,263,1,1884,2064,110.97,110.99,110.98,60,11097,11099,11098,11097 11098 11099 779 -1040896 1886355455 -125829029 -125829121
452,EFFECTER,8655,263,33,384,448,0.5,76.76,76.75,50,50,7676,7675,50 7675 7676 137 6422528 119656320 119656193 1767992577
453,Carbuncle,8656,263,16,604,748,0.5,76.76,76.75,65,50,7676,7675,50 7675 7676 714 1107379712 21168195 1049602 3145856
454,Talking Doll,8657,263,1,1480,1520,76.79,0.0,2.0,50,7679,0,200,7679 200 0 77 1851904 1124090752 -2147476479 595591496
456,"Eaulevisat, R.K.",8659,263,1,2860,3044,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
457,"Lindgard, I.M.",8660,263,1,18124,18308,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
458,"Variko-Njariko,",8661,263,1,33392,33576,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
463,"Laimeve, R.K.",8666,263,1,49392,49512,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
464,"Daborn, I.M.",8667,263,1,64480,64600,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
465,"Sahgygy, W.W.",8668,263,1,79568,79688,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
466,Sowande,8669,263,1,48660,48752,73.22,0.06,73.19,65,7322,6,7319,7322 7319 6 622 66304 33755138 504365824 2147483632
481,Eulaclaire,8686,263,1,94656,94680,-0.04,0.0,77.74,90,-4,0,7774,-4 7774 0 201 -1 138 7768 7771
483,Lokpix,8688,263,1,1912,2064,110.97,110.99,110.98,60,11097,11099,11098,11097 11098 11099 779 -1040896 1886355455 -125829029 -125829121
484,Field Manual,8689,263,1,123840,123956,89.43,109.96,0.06,45,8943,10996,6,8943 6 10996 1116 1117 1118 1119 1120
485,Field Manual,8690,263,1,126420,126536,89.43,109.96,0.06,45,8943,10996,6,8943 6 10996 1116 1117 1118 1119 1120
486,Field Manual,8691,263,1,129000,129116,89.43,109.96,0.06,45,8943,10996,6,8943 6 10996 1116 1117 1118 1119 1120
487,Field Parchment,8692,263,1,131580,131628,0.6,78.8,78.79,45,60,7880,7879,60 7879 7880 1126 7881 7882 7883 7884
488,Ethereal Junctio,8693,263,1,135032,135052,0.23,78.54,78.53,30,23,7854,7853,23 7853 7854 1 0 836 8 15
489,Ethereal Junctio,8694,263,1,136396,136416,0.23,78.54,78.53,30,23,7854,7853,23 7853 7854 1 0 836 8 15
490,Ethereal Junctio,8695,263,1,137760,137780,0.23,78.54,78.53,30,23,7854,7853,23 7853 7854 1 0 836 8 15
496,Survival Guide,8701,263,2,148300,148432,-0.02,111.26,111.11,50,-2,11126,11111,-2 11111 11126 26 27 11125 8 15
