index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Palm Crab,12289,263,00 00 00 00 00 00 00 00 00 00 00 00 01 30 07 01
2,64,Savanna Crab,12290,263,00 00 00 00 00 00 00 00 00 00 00 00 02 30 07 01
3,96,Land Crab,12291,263,00 00 00 00 00 00 00 00 00 00 00 00 03 30 07 01
4,128,Mugger Crab,12292,263,00 00 00 00 00 00 00 00 00 00 00 00 04 30 07 01
5,160,Passage Crab,12293,263,00 00 00 00 00 00 00 00 00 00 00 00 05 30 07 01
6,192,Tiny Mandragora,12294,263,00 00 00 00 00 00 00 00 00 00 00 00 06 30 07 01
7,224,Tiny Mandragora,12295,263,00 00 00 00 00 00 00 00 00 00 00 00 07 30 07 01
8,256,Tiny Mandragora,12296,263,00 00 00 00 00 00 00 00 00 00 00 00 08 30 07 01
9,288,Tiny Mandragora,12297,263,00 00 00 00 00 00 00 00 00 00 00 00 09 30 07 01
10,320,Tiny Mandragora,12298,263,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 07 01
11,352,Tiny Mandragora,12299,263,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 07 01
12,384,Bumblebee,12300,263,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 07 01
13,416,Bumblebee,12301,263,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 07 01
14,448,Bumblebee,12302,263,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 07 01
15,480,Bumblebee,12303,263,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 07 01
16,512,Savanna Rarab,12304,263,00 00 00 00 00 00 00 00 00 00 00 00 10 30 07 01
17,544,Savanna Rarab,12305,263,00 00 00 00 00 00 00 00 00 00 00 00 11 30 07 01
18,576,Tiny Mandragora,12306,263,00 00 00 00 00 00 00 00 00 00 00 00 12 30 07 01
19,608,Tiny Mandragora,12307,263,00 00 00 00 00 00 00 00 00 00 00 00 13 30 07 01
20,640,Tiny Mandragora,12308,263,00 00 00 00 00 00 00 00 00 00 00 00 14 30 07 01
21,672,Tiny Mandragora,12309,263,00 00 00 00 00 00 00 00 00 00 00 00 15 30 07 01
22,704,Tiny Mandragora,12310,263,00 00 00 00 00 00 00 00 00 00 00 00 16 30 07 01
23,736,Bumblebee,12311,263,00 00 00 00 00 00 00 00 00 00 00 00 17 30 07 01
24,768,Bumblebee,12312,263,00 00 00 00 00 00 00 00 00 00 00 00 18 30 07 01
25,800,Bumblebee,12313,263,00 00 00 00 00 00 00 00 00 00 00 00 19 30 07 01
26,832,Savanna Rarab,12314,263,00 00 00 00 00 00 00 00 00 00 00 00 1a 30 07 01
27,864,Savanna Rarab,12315,263,00 00 00 00 00 00 00 00 00 00 00 00 1b 30 07 01
28,896,Tiny Mandragora,12316,263,00 00 00 00 00 00 00 00 00 00 00 00 1c 30 07 01
29,928,Tiny Mandragora,12317,263,00 00 00 00 00 00 00 00 00 00 00 00 1d 30 07 01
30,960,Tiny Mandragora,12318,263,00 00 00 00 00 00 00 00 00 00 00 00 1e 30 07 01
31,992,Tiny Mandragora,12319,263,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 07 01
32,1024,Tiny Mandragora,12320,263,00 00 00 00 00 00 00 00 00 00 00 00 20 30 07 01
33,1056,Tiny Mandragora,12321,263,00 00 00 00 00 00 00 00 00 00 00 00 21 30 07 01
34,1088,Bumblebee,12322,263,00 00 00 00 00 00 00 00 00 00 00 00 22 30 07 01
35,1120,Bumblebee,12323,263,00 00 00 00 00 00 00 00 00 00 00 00 23 30 07 01
36,1152,Bumblebee,12324,263,00 00 00 00 00 00 00 00 00 00 00 00 24 30 07 01
37,1184,River Crab,12325,263,00 00 00 00 00 00 00 00 00 00 00 00 25 30 07 01
38,1216,River Crab,12326,263,00 00 00 00 00 00 00 00 00 00 00 00 26 30 07 01
39,1248,River Crab,12327,263,00 00 00 00 00 00 00 00 00 00 00 00 27 30 07 01
40,1280,Crawler,12328,263,00 00 00 00 00 00 00 00 00 00 00 00 28 30 07 01
41,1312,Crawler,12329,263,00 00 00 00 00 00 00 00 00 00 00 00 29 30 07 01
42,1344,Savanna Rarab,12330,263,00 00 00 00 00 00 00 00 00 00 00 00 2a 30 07 01
43,1376,Savanna Rarab,12331,263,00 00 00 00 00 00 00 00 00 00 00 00 2b 30 07 01
44,1408,Savanna Rarab,12332,263,00 00 00 00 00 00 00 00 00 00 00 00 2c 30 07 01
45,1440,Savanna Rarab,12333,263,00 00 00 00 00 00 00 00 00 00 00 00 2d 30 07 01
46,1472,Carrion Crow,12334,263,00 00 00 00 00 00 00 00 00 00 00 00 2e 30 07 01
47,1504,Carrion Crow,12335,263,00 00 00 00 00 00 00 00 00 00 00 00 2f 30 07 01
48,1536,Carrion Crow,12336,263,00 00 00 00 00 00 00 00 00 00 00 00 30 30 07 01
49,1568,Goblin Thug,12337,263,00 00 00 00 00 00 00 00 00 00 00 00 31 30 07 01
50,1600,Goblin Thug,12338,263,00 00 00 00 00 00 00 00 00 00 00 00 32 30 07 01
51,1632,Crawler,12339,263,00 00 00 00 00 00 00 00 00 00 00 00 33 30 07 01
52,1664,Crawler,12340,263,00 00 00 00 00 00 00 00 00 00 00 00 34 30 07 01
53,1696,Crawler,12341,263,00 00 00 00 00 00 00 00 00 00 00 00 35 30 07 01
54,1728,Crawler,12342,263,00 00 00 00 00 00 00 00 00 00 00 00 36 30 07 01
55,1760,Savanna Rarab,12343,263,00 00 00 00 00 00 00 00 00 00 00 00 37 30 07 01
56,1792,Savanna Rarab,12344,263,00 00 00 00 00 00 00 00 00 00 00 00 38 30 07 01
57,1824,Savanna Rarab,12345,263,00 00 00 00 00 00 00 00 00 00 00 00 39 30 07 01
58,1856,Savanna Rarab,12346,263,00 00 00 00 00 00 00 00 00 00 00 00 3a 30 07 01
