npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
508,Treasure Casket,12801,263,1,104696,104776,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
509,Treasure Casket,12802,263,1,106504,106584,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
510,Treasure Casket,12803,263,1,108312,108392,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
511,Treasure Casket,12804,263,1,110120,110200,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
512,Treasure Casket,12805,263,1,111928,112008,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
513,Treasure Casket,12806,263,1,113736,113816,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
514,Treasure Casket,12807,263,1,115544,115624,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
515,Treasure Casket,12808,263,1,117352,117432,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
516,Treasure Casket,12809,263,1,119160,119240,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
517,Treasure Casket,12810,263,1,120968,121048,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
518,Treasure Casket,12811,263,1,122776,122856,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
519,Treasure Casket,12812,263,1,124584,124664,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
520,Treasure Casket,12813,263,1,126392,126472,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
521,Treasure Casket,12814,263,1,128200,128280,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
522,Treasure Casket,12815,263,1,130008,130088,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
523,Treasure Casket,12816,263,1,131816,131896,79.01,0.15,78.77,30,7901,15,7877,7901 7877 15 16 31 7876 7878 7883
524,Treasure Coffer,12817,263,1,136940,136964,79.5,79.49,0.0,15,7950,7949,0,7950 0 7949 1 2 86 768 16977922
525,Achieve Master,12818,263,1,241672,241696,0.06,0.07,124.08,15,6,7,12408,6 12408 7 1 5 2 16 31
527,DIRECTOR,12825,263,4,1768,1836,74.42,0.12,0.11,35,7442,12,11,7442 11 12 300 284 -2147474432 -2147385343 268436005
528,Ipupu,12826,263,7,2300,2412,0.4,74.16,74.15,70,40,7416,7415,40 7415 7416 54 -2147457536 2147483640 2147483640 812346484
529,Maata-Ulaata,12827,263,1,2360,2412,0.4,74.16,74.15,70,40,7416,7415,40 7415 7416 54 -2147457536 2147483640 2147483640 812346484
530,Fuahah,12828,263,3,2384,2412,0.4,74.16,74.15,70,40,7416,7415,40 7415 7416 54 -2147457536 2147483640 2147483640 812346484
546,Signpost,12844,263,1,2844,3020,74.48,74.5,74.49,65,7448,7450,7449,7448 7449 7450 27 -2147465216 -2147399645 -2147334109 -2147268573
547,Signpost,12845,263,1,2868,3020,74.48,74.5,74.49,65,7448,7450,7449,7448 7449 7450 27 -2147465216 -2147399645 -2147334109 -2147268573
548,Signpost,12846,263,1,2892,3020,74.48,74.5,74.49,65,7448,7450,7449,7448 7449 7450 27 -2147465216 -2147399645 -2147334109 -2147268573
549,Twinkle Tree,12847,263,1,2916,3020,74.48,74.5,74.49,65,7448,7450,7449,7448 7449 7450 27 -2147465216 -2147399645 -2147334109 -2147268573
550,Paore-Kuore,12848,263,1,2940,3020,74.48,74.5,74.49,65,7448,7450,7449,7448 7449 7450 27 -2147465216 -2147399645 -2147334109 -2147268573
551,Kolapo-Oilapo,12849,263,1,2964,3020,74.48,74.5,74.49,65,7448,7450,7449,7448 7449 7450 27 -2147465216 -2147399645 -2147334109 -2147268573
552,Stone Monument,12850,263,1,2988,3020,74.48,74.5,74.49,65,7448,7450,7449,7448 7449 7450 27 -2147465216 -2147399645 -2147334109 -2147268573
553,Battle_Royal,12852,263,1,1688,1712,78.29,0.0,0.01,70,7829,0,1,7829 1 0 39 -1040896 1886355455 1048835 -2147408768
562,"Naguipeillont, R",12862,263,1,3064,3248,76.19,76.01,75.78,35,7619,7601,7578,7619 7578 7601 201 -1 7483 7608 7609
563,"Ryokei, I.M.",12863,263,1,18328,18512,76.19,76.01,75.78,35,7619,7601,7578,7619 7578 7601 201 -1 7483 7608 7609
564,Roshina-Kuleshun,12864,263,1,33596,33780,76.19,76.01,75.78,35,7619,7601,7578,7619 7578 7601 201 -1 7483 7608 7609
569,"Banege, R.K.",12869,263,1,49596,49716,76.19,76.01,75.78,35,7619,7601,7578,7619 7578 7601 201 -1 7483 7608 7609
570,"Slow Axe, I.M.",12870,263,1,64684,64804,76.19,76.01,75.78,35,7619,7601,7578,7619 7578 7601 201 -1 7483 7608 7609
571,"Darumomo, W.W.",12871,263,1,79772,79892,76.19,76.01,75.78,35,7619,7601,7578,7619 7578 7601 201 -1 7483 7608 7609
572,Mahien-Uhien,12872,263,1,48864,48956,75.6,0.06,75.57,65,7560,6,7557,7560 7557 6 622 66304 33755138 504365824 2147483632
578,Harvesting Point,12878,263,1,94860,94900,74.64,74.68,74.66,45,7464,7468,7466,7464 7466 7468 80 -261209600 8388607 -1009280 151224319
584,EFFECTER,12884,263,33,94996,95060,0.5,78.22,78.21,50,50,7822,7821,50 7821 7822 137 6422528 120738944 120738817 1767992577
585,Carbuncle,12885,263,16,95216,95360,0.5,78.22,78.21,65,50,7822,7821,50 7821 7822 714 1107379712 21168195 1049602 3145856
586,Talking Doll,12886,263,1,96092,96132,78.25,0.0,2.0,50,7825,0,200,7825 200 0 77 1851904 1124090752 -2147476479 595591496
587,Cavernous Maw,12888,263,2,96228,96292,28.43,0.02,73.51,65,2843,2,7351,2843 7351 2 645 1208033280 52658176 -2147414014 58720804
588,Field Manual,12889,263,1,96956,97072,91.83,112.36,0.06,45,9183,11236,6,9183 6 11236 1116 1117 1118 1119 1120
589,Field Manual,12890,263,1,99536,99652,91.83,112.36,0.06,45,9183,11236,6,9183 6 11236 1116 1117 1118 1119 1120
590,Field Manual,12891,263,1,102116,102232,91.83,112.36,0.06,45,9183,11236,6,9183 6 11236 1116 1117 1118 1119 1120
591,Field Parchment,12892,263,1,133624,133672,0.6,79.54,79.53,45,60,7954,7953,60 7953 7954 1126 7955 7956 7957 7958
594,Ramblix,12895,263,2,137076,137200,113.33,0.6,2.0,70,11333,60,200,11333 200 60 485 1107369984 -266469342 1249902591 2147483632
