offset,token
1079,fdo0N
1211,tlk0+
1242,tlk1
1316,pas0+
1339,s002E.
1371,fdo1F
1551,fdo1
1588,fdi1
1936,tlk0
1974,thk1
1988,thk1
2004,thk2
2018,thk2
2034,poi0
2048,poi0
2064,pas0
2078,pas0
2094,zit0
2132,moj0
2170,shk0
2184,shk0
2200,gkr0
2760,kaa0
2774,kaa0
2790,kaa1
2804,kaa1
2820,kab0
2834,kab0
2850,kab1
2864,kab1
2880,kac0
2894,kac0
2910,kac1
2924,kac0
2940,ybi0
2954,ybi0
2970,yks0
2984,yks0
3000,yks1
3014,yks1
3030,ded0
3044,ded0
3276,kaa0
3290,kaa0
3306,kaa1
3320,kaa1
3336,kab0
3350,kab0
3366,kab1
3380,kab1
3396,kac0
3410,kac0
3426,kac1
3440,kac0
3456,ybi0
3470,ybi0
3486,yks0
3500,yks0
3516,yks1
3530,yks1
3788,kaa0
3802,kaa0
3818,kaa1
3832,kaa1
3848,kab0
3862,kab0
3878,kab1
3892,kab1
3908,kac0
3922,kac0
3938,kac1
3952,kac0
3968,ybi0
3982,ybi0
3998,yks0
4012,yks0
4028,yks1
4042,yks1
4155,s000
4172,fdi1
4189,s000E
4204,s001
4263,s003
4294,s002
4346,s002E
4361,s004
4411,s004E
4426,s005
4516,s013
4536,s006
4613,s007
4677,fdo1
4715,s008
4735,fdi1
4802,s008E
4817,s009
4873,s009E
4888,s010
4962,s010J
5015,s014
5035,s011
5075,fdo1
5097,fdi1
5853,main
5870,s006
5887,whi1
5967,who1
6175,fdi1
6254,s006
6271,fdi1
6296,main
6324,main
6352,main
6380,main
6408,main
6436,main
6464,main
6492,main
6520,main
6548,main
6576,main
6604,main
6632,main
6656,who1
6684,main
6701,s006
6718,whi1
6791,who1
6820,s006F
6837,whi1
6979,fdi1
7326,main
7394,main
7462,main
7530,main
7574,main
7605,fdo1
52735,fdi2
54421,fdi0
54438,fdi0
54454,fdo0
54471,fdo0
54487,fdi1
54504,fdi1
54520,fdo1
54537,fdo1
54553,whi1
54570,whi1
54586,who1
54603,who1
54619,whi0
54636,whi0
54652,who0
54669,who0
54685,efon
54702,efon
54887,fwa0
54903,dl60
54919,dl61
55203,latl
55219,lat1
55235,lat2
55251,lat3
55267,lat4
55283,seil
55299,sei0
55318,dl60
55334,dl61
55353,hro0
55371,st01
55389,st02
55409,hro1
55428,hro2
55446,st01
55464,kila
55788,pnb0
55807,latl
55823,lat1
55839,lat2
55855,lat3
55871,lat4
55890,bru0
55906,tlk0
55922,hap0
55938,std0
55957,oji0
55976,ldw0
55995,ldw1
56014,bru0
56033,ino0
56052,ino1
56071,hro0
56090,dl61
56163,pnc0
56463,dol0
56482,tlk0
56501,tlk1
56520,sji0
56539,sji1
56558,soh0
56577,ohh0
56596,ohh1
56641,gud0S
56654,gud0
56670,gud1
56753,s000
56770,s000
130618,Bull
130650,Calf
131477,kesu
131508,main
131525,mainJ
131629,gak0
131649,gak1
131683,gak0
131703,gak1
131817,gak0
131970,main
131987,mainN
132009,gak0
132029,gak1
132129,main
132146,mainN
132168,gak0
132188,gak1
132328,main
132345,mainN
132371,gak0
132391,gak1
132491,main
132508,mainN
132530,gak0
132550,gak1
132673,main
132690,mainN
132719,tlk0
132736,tlk1
133097,kesu
133128,main
133145,mainJ
133193,main
133210,mainN
133312,gak0+
133474,main
133491,mainN
133513,gak0+
133537,gak1
133645,main
133662,mainN
133684,gak0+
133708,gak1
133856,main
133873,mainN
133903,gak0+
133927,gak1
134035,main
134052,mainN
134074,gak0+
134098,gak1
134234,main
134251,mainN
134282,tlk0+
134303,tlk1
134951,Smile_Helper
135041,Smile_Helper
135579,Smile_Helper
136009,Smile_Helper
137766,fdo1
139108,fdi0
139125,fdi0
139141,fdo0
139158,fdo0
139174,fdi1
139191,fdi1
139207,fdo1
139224,fdo1
139240,whi1
139257,whi1
139273,who1
139290,who1
139306,who2
139323,who2
139339,who3
139356,who3
139372,main
139392,fdo1
139409,fdo1
139425,fdi1
139442,main
139462,fdi1
139478,blon
139495,blon
139513,whi0
139530,whi0
139546,who0
139563,who0
139579,efon
139596,efon
139612,fdis
139630,fdos
139647,fdos
139663,fdif
139681,fdof
139698,fdof
139714,fdip
139732,fdop
139749,fdop
140043,dwn0S
140056,dwn0y
140123,s000
140146,awk0
140189,s005
140243,s002
140263,tlk0+
140314,s003
140346,yks0+
140382,yks1S
140395,yks1S
140438,s004
140479,stf1S
140523,s001
140550,kaa0+
140601,s006
140691,wnd1S
140751,s006
140775,fdi2
141036,corp
141052,corp
141099,s007
141182,s008
141305,s009
141383,s011
141437,s011
141460,s017
141488,s019
141516,s019
141544,s017
141564,s010
141598,tla0+
141634,tla1S
141686,s017
141712,s019
141738,s019
141764,s017
141782,s010
141805,s020
141833,s020
141853,s012
141885,yks0+
141921,yks1n
141949,yks1
141975,s020
142001,s020
142034,s018
142051,se02
142068,sck0S
142081,sck0+
142107,s018
142141,s017
142167,s019
142193,s019
142219,s017
142237,s010
142260,s020
142288,s020
142308,s012
142348,s020
142374,s020
142407,s013
142424,tla0+
142460,tla1S
142503,s018
142535,se02
142550,sck0
142568,s018
142591,s014
142623,se01
142638,ded0
142669,s014
142687,awk0
142713,s021
142741,s021
142761,s015
142813,awk0
142831,ybi0+
142852,ybi0'
142882,s021
142908,s021
142926,s015
142949,s022
142977,s022
142997,s016
143050,s022
143076,s022
143094,s016
143118,fdi2
