index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Palm Crab,16385,263,00 00 00 00 00 00 00 00 00 00 00 00 01 40 07 01
2,64,Savanna Crab,16386,263,00 00 00 00 00 00 00 00 00 00 00 00 02 40 07 01
3,96,Mud Pugil,16387,263,00 00 00 00 00 00 00 00 00 00 00 00 03 40 07 01
4,128,Pug Pugil,16388,263,00 00 00 00 00 00 00 00 00 00 00 00 04 40 07 01
5,160,Fighting Pugil,16389,263,00 00 00 00 00 00 00 00 00 00 00 00 05 40 07 01
6,192,Tiny Mandragora,16390,263,00 00 00 00 00 00 00 00 00 00 00 00 06 40 07 01
7,224,Tiny Mandragora,16391,263,00 00 00 00 00 00 00 00 00 00 00 00 07 40 07 01
8,256,Tiny Mandragora,16392,263,00 00 00 00 00 00 00 00 00 00 00 00 08 40 07 01
9,288,Tiny Mandragora,16393,263,00 00 00 00 00 00 00 00 00 00 00 00 09 40 07 01
10,320,Tiny Mandragora,16394,263,00 00 00 00 00 00 00 00 00 00 00 00 0a 40 07 01
11,352,Bumblebee,16395,263,00 00 00 00 00 00 00 00 00 00 00 00 0b 40 07 01
12,384,Bumblebee,16396,263,00 00 00 00 00 00 00 00 00 00 00 00 0c 40 07 01
13,416,Bumblebee,16397,263,00 00 00 00 00 00 00 00 00 00 00 00 0d 40 07 01
14,448,Bumblebee,16398,263,00 00 00 00 00 00 00 00 00 00 00 00 0e 40 07 01
15,480,Savanna Rarab,16399,263,00 00 00 00 00 00 00 00 00 00 00 00 0f 40 07 01
16,512,Savanna Rarab,16400,263,00 00 00 00 00 00 00 00 00 00 00 00 10 40 07 01
17,544,Tiny Mandragora,16401,263,00 00 00 00 00 00 00 00 00 00 00 00 11 40 07 01
18,576,Tiny Mandragora,16402,263,00 00 00 00 00 00 00 00 00 00 00 00 12 40 07 01
19,608,Tiny Mandragora,16403,263,00 00 00 00 00 00 00 00 00 00 00 00 13 40 07 01
20,640,Tiny Mandragora,16404,263,00 00 00 00 00 00 00 00 00 00 00 00 14 40 07 01
