offset,token
1137,main
1157,fdo1
1248,fdo1
1265,fdo18
1302,s029
1319,fdi1
1418,s029E
1433,s030
1480,fdo0
1497,fdo0N
1524,s031
1541,fdi0
1566,s031E
1581,fdo0
1620,s032
1649,fdi0
1693,s033
1744,tlk0+jR
1767,tlk1U
1782,s033E
1797,fdo0
1814,fdo0E
1829,s034
1880,fdi1
1900,fdo2
1917,fdo2R
1932,s034E
1947,s035
2050,s035E
2065,s035
2082,fdi2
2137,kng0+jR
2160,kng1U
2175,s035E
2190,s036
2215,tlk0+jR
2238,tlk1+jR
2261,kak0+jR
2284,s036E
2299,s037
2329,kak1+jR
2352,s037E
2367,s048
2410,s048E
2425,s036
2442,tef0+jR
2471,pk00
2496,s036E
2511,s038
2564,s038E
2579,s039
2614,who1
2644,kill
2668,fdo0
2701,whi1
2794,pk01
2812,who1
2842,killE
2857,fdo0
2878,whi1
2937,main
2957,who1
2974,who1E
2989,fdo0
3010,whi1
3119,main
3139,who1
3156,who1E
3171,fdo0
3192,whi1
3301,main
3321,who1
3338,who1E
3353,fdo0
3374,whi1
3462,who1
3494,whi1
3533,sha0S
3546,sha0
3570,sha1S
3583,sha1
3755,tlk0
3779,tlk1
3803,sit0S
3816,sit0
3840,sit1S
3853,sit1
3877,tlk0
3895,tlk1
3998,kizl_
4014,hmll
4041,kizl_
4057,hfll
4084,kizl_
4100,emll
4127,kizl_
4143,efll
4170,kizl_
4186,tmll
4213,kizl_
4229,tmll
4256,kizl_
4272,mmll
4299,kizl_
4315,gmll
4343,kiz0
4370,kiz0
4397,kiz0
4424,kiz0
4451,kiz0
4478,kiz0
4505,kiz0
4532,kiz0
4560,kiz2_
4576,hmm2
4603,kiz2_
4619,hfm2
4646,kiz2_
4662,emm2
4689,kiz2_
4705,efm2
4732,kiz2_
4748,tma2
4775,kiz2_
4791,tma2
4818,kiz2_
4834,mma2
4861,kiz2_
4877,gma2
4951,tlk0
4969,tlk1
4993,thk0
5019,thk1
5043,thk1
5069,thk2
5093,sha0
5117,sha1
5141,sir0
5165,sir1
5260,chco
5289,nak1
5318,nak2
5832,bindS
5845,bind
6010,bindS
6381,chco
6416,chco
6481,chco
6679,fdo1
6709,ab06
6726,fdi1
6746,blon
6763,blon
6780,ovl1
6797,warp
6821,blof
6945,main
6962,s006
6979,whi1
7059,who1
7267,fdi1
7346,s006
7363,fdi1
7388,main
7416,main
7444,main
7472,main
7500,main
7528,main
7556,main
7584,main
7612,main
7640,main
7668,main
7696,main
7724,main
7748,who1
7776,main
7793,s006
7810,whi1
7883,who1
7912,s006F
7929,whi1
8071,fdi1
9494,main
9562,main
9630,main
9698,main
9742,main
9773,fdo1
124003,Smile_Helper
124093,Smile_Helper
124631,Smile_Helper
125061,Smile_Helper
127943,in00
128237,out0
128331,tlk0+
128354,tlk1S
128367,tlk1R
128414,thk1
128445,thk2S
128458,thk2R
128529,gud0
128598,gud1S
128690,tlk0+
128716,s000
128733,tlk1R
128996,kil0
129076,tlk0+
129099,tlk1+
129120,tlk1R
129175,in00
129244,fdi2
129423,main
129519,out0
129688,pas0+
129709,pas0R
129778,thk1
129809,thk2
129833,thk2R
129949,qstc
129966,fdi2
129985,fdi0
130002,fdi0
130018,fdo0
130035,fdo0
130051,fdi1
130068,fdi1
130084,fdo1
130101,fdo1
130117,whi1
130134,whi1
130150,who1
130167,who1
130183,who2
130200,who2
130216,who3
130233,who3
130249,main
130269,fdo1
130286,fdo1
130302,fdi1
130319,main
130339,fdi1
130355,blon
130372,blon
130390,whi0
130407,whi0
130423,who0
130440,who0
130456,efon
130473,efon
130489,fdis
130507,fdos
130524,fdos
130540,fdif
130558,fdof
130575,fdof
130591,fdip
130609,fdop
130626,fdop
131396,fdi0
131413,fdi0
131429,fdo0
131446,fdo0
131462,fdi1
131479,fdi1
131495,fdo1
131512,fdo1
131528,whi1
131545,whi1
131561,who1
131578,who1
131594,who2
131611,who2
131627,who3
131644,who3
131660,main
131680,fdo1
131697,fdo1
131713,fdi1
131730,main
131750,fdi1
131766,blon
131783,blon
131801,whi0
131818,whi0
131834,who0
131851,who0
131867,efon
131884,efon
131900,fdis
131918,fdos
131935,fdos
131951,fdif
131969,fdof
131986,fdof
132002,fdip
132020,fdop
132037,fdop
132130,s080
132175,s080
132198,sg81
132226,sg81
132254,st81
132282,st81
132310,sg81
132330,s081
132359,fdo1
132431,blon
132448,fdi2
132473,s081
132499,sg81
132525,sg81
132551,st81
132577,st81
132603,s081
132629,sg81
132647,s081E
132662,s062
132697,main
132736,s062E
132751,sa62
132774,blof
132791,fdo1
132856,kill
132882,fdi2
132899,sa62
132922,s083
132950,sg83
132978,sg83
133006,st83
133034,st83
133062,s083
133090,sg83
133110,s083
133259,sg83
133285,sg83
133311,st83
