npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
563,Treasure Casket,25144,263,1,134536,134616,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
564,Treasure Casket,25145,263,1,136344,136424,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
565,Treasure Casket,25146,263,1,138152,138232,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
566,Treasure Casket,25147,263,1,139960,140040,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
567,Treasure Casket,25148,263,1,141768,141848,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
568,Treasure Casket,25149,263,1,143576,143656,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
569,Treasure Casket,25150,263,1,145384,145464,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
570,Treasure Casket,25151,263,1,147192,147272,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
571,Treasure Casket,25152,263,1,149000,149080,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
572,Treasure Casket,25153,263,1,150808,150888,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
573,Treasure Casket,25154,263,1,152616,152696,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
574,Treasure Casket,25155,263,1,154424,154504,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
575,Treasure Casket,25156,263,1,156232,156312,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
576,Treasure Casket,25157,263,1,158040,158120,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
577,Treasure Casket,25158,263,1,159848,159928,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
578,Treasure Casket,25159,263,1,161656,161736,81.46,0.15,81.22,30,8146,15,8122,8146 8122 15 16 31 8121 8123 8128
579,Treasure Coffer,25160,263,1,166780,166936,0.23,81.95,81.94,30,23,8195,8194,23 8194 8195 1 0 824 8 15
584,Five of Spades,25171,263,1,2932,2956,72.66,72.67,0.02,30,7266,7267,2,7266 2 7267 3 7268 7269 7270 65
585,Stone Monument,25172,263,1,94852,94884,74.12,74.14,74.13,65,7412,7414,7413,7412 7413 7414 27 -2147465216 -2147399645 -2147334109 -2147268573
594,"Bonbavour, R.K.",25182,263,1,3056,3240,75.77,75.59,75.36,35,7577,7559,7536,7577 7536 7559 201 -1 7441 7566 7567
595,"Ishin, I.M.",25183,263,1,18320,18504,75.77,75.59,75.36,35,7577,7559,7536,7577 7536 7559 201 -1 7441 7566 7567
596,"Ganemu-Punnemu,",25184,263,1,33588,33772,75.77,75.59,75.36,35,7577,7559,7536,7577 7536 7559 201 -1 7441 7566 7567
601,"Craigine, R.K.",25189,263,1,49588,49708,75.77,75.59,75.36,35,7577,7559,7536,7577 7536 7559 201 -1 7441 7566 7567
602,"Wise Turtle, I.M",25190,263,1,64676,64796,75.77,75.59,75.36,35,7577,7559,7536,7577 7536 7559 201 -1 7441 7566 7567
603,"Mashasha, W.W.",25191,263,1,79764,79884,75.77,75.59,75.36,35,7577,7559,7536,7577 7536 7559 201 -1 7441 7566 7567
604,Lobho Ukipturi,25192,263,1,48856,48948,75.18,0.06,75.15,65,7518,6,7515,7518 7515 6 622 66304 33755138 504365824 2147483632
616,z024_Warp,25204,263,1,2784,2956,72.66,72.67,0.02,30,7266,7267,2,7266 2 7267 3 7268 7269 7270 65
619,Logging Point,25207,263,1,94928,94968,74.22,74.26,74.24,45,7422,7426,7424,7422 7424 7426 85 -261209600 8388607 -1009280 151224319
625,EFFECTER,25213,263,33,95072,95136,0.5,77.71,77.7,50,50,7771,7770,50 7770 7771 137 6422528 123895168 123895041 1767992577
626,Carbuncle,25214,263,16,95292,95436,0.5,77.71,77.7,65,50,7771,7770,50 7770 7771 714 1107379712 21168195 1049602 3145856
627,Talking Doll,25215,263,1,96168,96208,77.74,0.0,2.0,50,7774,0,200,7774 200 0 77 1851904 1124090752 -2147476479 595591496
629,Ramblix,25217,263,2,96304,96428,77.92,0.6,2.0,70,7792,60,200,7792 200 60 485 1107369984 -266469342 1249902591 2147483632
631,???,25219,263,1,96932,96992,78.53,78.55,78.54,45,7853,7855,7854,7853 7854 7855 137 -2144910848 17261188 268567299 21528576
634,Hieroglyphics,25223,263,12,97256,97388,2.34,79.03,79.02,15,234,7903,7902,234 7902 7903 1 0 1073741824 2 8069
