offset,token
973,main
993,fdo1
1037,sha0S
1050,sha0
5705,main
5784,chco
5813,nak1
5842,nak2
6063,sir0
6087,sha1S
6100,sha1
6264,tlk0S
6277,tlk0
6644,sir0S
6657,sir0
6681,sha1S
6694,sha1
7276,res1
7298,main
7313,res2l
7336,shotE
7351,cry0
7366,shot
7385,corp
7590,main
7616,fdo1
7633,fdo18
7668,y000
7708,fdi1
7725,fdi1b
7740,main
7794,y001
7819,y001E
7834,ovl1
7851,y002
7868,y002'
7903,y003
7926,y003'
7951,y00a
7968,blon
7991,y00aE
8006,blof
8023,y004
8068,y004E
8083,y005
8143,damg
8159,dead
8177,y006
8214,y006E
8229,y007
8246,y007'
8290,y008
8313,y008'
8352,y009
8369,y009y
8444,y010
8505,y011
8522,y011J
8586,y013
8637,y012
8662,y012E
8677,y014
8694,y014b
8709,main
8748,y015
8792,y015'
8817,x000
8874,x001
8899,x001
8917,x002
8934,x002
8960,ovl1
8977,x003
9005,x003E
9020,ovl1
9037,x004
9065,x004E
9080,ovl1
9097,x005
9114,x005
9140,x006
9165,x006
9183,x008
9200,x008
9218,x007
9235,x007
9253,x010
9270,x010E
9285,x009
9302,x009
9320,x011
9337,x011
9382,x012
9431,x013
9478,x014
9498,fdo2
9515,fdo2R
9555,fdi2
11831,qstc
13637,qstc
27099,qstc
28905,qstc
42367,qstc
44173,qstc
58188,qstc
59994,qstc
73276,qstc
75082,qstc
88364,qstc
90170,qstc
101529,main
101546,s006
101563,whi1
101643,who1
101851,fdi1
101930,s006
101947,fdi1
101972,main
102000,main
102028,main
102056,main
102084,main
102112,main
102140,main
102168,main
102196,main
102224,main
102252,main
102280,main
102308,main
102332,who1
102360,main
102377,s006
102394,whi1
102467,who1
102496,s006F
102513,whi1
102655,fdi1
113428,qstc
114593,qstc
116883,inteJ
116919,ntoen
117023,inteJ
117059,ntoen
117159,inteJ
117195,ntoen
117295,inteJ
117331,ntoen
117435,inteJ
117471,ntoen
117575,inteJ
117611,ntoen
117715,inteJ
117751,ntoen
118106,main
118174,main
118242,main
118310,main
118354,main
118385,fdo1
118531,fdo1
118561,at15
118578,fdi1
118598,blon
118615,blon
118632,ovl1
118649,warp
118673,blof
118770,fdo1
118800,at15
118817,fdi1
118837,blon
118854,blon
118871,ovl1
118888,warp
118912,blof
118954,fdo1
118984,at15
119001,fdi1
119021,blon
119038,blon
119055,ovl1
119072,warp
119096,blof
171625,fdi0
171642,fdi0
171658,fdo0
171675,fdo0
171691,fdi1
171708,fdi1
171724,fdo1
171741,fdo1
171757,whi1
171774,whi1
171790,who1
171807,who1
171823,who2
171840,who2
171856,who3
171873,who3
171889,main
171909,fdo1
171926,fdo1
171942,fdi1
171959,main
171979,fdi1
171995,blon
172012,blon
172030,whi0
172047,whi0
172063,who0
172080,who0
172096,efon
172113,efon
172129,fdis
172147,fdos
172164,fdos
172180,fdif
172198,fdof
172215,fdof
172231,fdip
172249,fdop
172266,fdop
172402,fdo1
172553,y000
172570,fdi1
172610,y000E
172625,ov40
172642,y001
172683,y001E
172698,y002
172736,y002E
172751,y003
172771,y003E
172786,ov30
172803,y004
172823,y002E
172838,ov30
172855,y004
172875,fdo1
172895,y004kidl0
172924,fdi2
241518,fdo1
