index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Greater Pugil,36865,263,00 00 00 00 00 00 00 00 00 00 00 00 01 90 07 01
2,64,Clipper,36866,263,00 00 00 00 00 00 00 00 00 00 00 00 02 90 07 01
3,96,Greater Pugil,36867,263,00 00 00 00 00 00 00 00 00 00 00 00 03 90 07 01
4,128,Bigclaw,36868,263,00 00 00 00 00 00 00 00 00 00 00 00 04 90 07 01
5,160,Apsaras,36869,263,00 00 00 00 00 00 00 00 00 00 00 00 05 90 07 01
6,192,Guardian Treant,36870,263,00 00 00 00 00 00 00 00 00 00 00 00 06 90 07 01
7,224,Doomed Pilgrims,36871,263,00 00 00 00 00 00 00 00 00 00 00 00 07 90 07 01
8,256,Goblin Mugger,36872,263,00 00 00 00 00 00 00 00 00 00 00 00 08 90 07 01
9,288,Goblin Mugger,36873,263,00 00 00 00 00 00 00 00 00 00 00 00 09 90 07 01
10,320,Goblin Mugger,36874,263,00 00 00 00 00 00 00 00 00 00 00 00 0a 90 07 01
11,352,Goblin Gambler,36875,263,00 00 00 00 00 00 00 00 00 00 00 00 0b 90 07 01
12,384,Ancient Bat,36876,263,00 00 00 00 00 00 00 00 00 00 00 00 0c 90 07 01
13,416,Ancient Bat,36877,263,00 00 00 00 00 00 00 00 00 00 00 00 0d 90 07 01
14,448,Ancient Bat,36878,263,00 00 00 00 00 00 00 00 00 00 00 00 0e 90 07 01
15,480,Goblin Mugger,36879,263,00 00 00 00 00 00 00 00 00 00 00 00 0f 90 07 01
16,512,Goblin Mugger,36880,263,00 00 00 00 00 00 00 00 00 00 00 00 10 90 07 01
17,544,Goblin Mugger,36881,263,00 00 00 00 00 00 00 00 00 00 00 00 11 90 07 01
18,576,Goblin Gambler,36882,263,00 00 00 00 00 00 00 00 00 00 00 00 12 90 07 01
19,608,Ancient Bat,36883,263,00 00 00 00 00 00 00 00 00 00 00 00 13 90 07 01
20,640,Ancient Bat,36884,263,00 00 00 00 00 00 00 00 00 00 00 00 14 90 07 01
21,672,Ancient Bat,36885,263,00 00 00 00 00 00 00 00 00 00 00 00 15 90 07 01
22,704,Goblin Mugger,36886,263,00 00 00 00 00 00 00 00 00 00 00 00 16 90 07 01
23,736,Goblin Mugger,36887,263,00 00 00 00 00 00 00 00 00 00 00 00 17 90 07 01
24,768,Goblin Gambler,36888,263,00 00 00 00 00 00 00 00 00 00 00 00 18 90 07 01
25,800,Goblin Gambler,36889,263,00 00 00 00 00 00 00 00 00 00 00 00 19 90 07 01
26,832,Ancient Bat,36890,263,00 00 00 00 00 00 00 00 00 00 00 00 1a 90 07 01
27,864,Ancient Bat,36891,263,00 00 00 00 00 00 00 00 00 00 00 00 1b 90 07 01
28,896,Ancient Bat,36892,263,00 00 00 00 00 00 00 00 00 00 00 00 1c 90 07 01
29,928,Goblin Mugger,36893,263,00 00 00 00 00 00 00 00 00 00 00 00 1d 90 07 01
30,960,Ancient Bat,36894,263,00 00 00 00 00 00 00 00 00 00 00 00 1e 90 07 01
31,992,Ancient Bat,36895,263,00 00 00 00 00 00 00 00 00 00 00 00 1f 90 07 01
32,1024,Ancient Bat,36896,263,00 00 00 00 00 00 00 00 00 00 00 00 20 90 07 01
33,1056,Goblin Mugger,36897,263,00 00 00 00 00 00 00 00 00 00 00 00 21 90 07 01
34,1088,Goblin Mugger,36898,263,00 00 00 00 00 00 00 00 00 00 00 00 22 90 07 01
35,1120,Goblin Gambler,36899,263,00 00 00 00 00 00 00 00 00 00 00 00 23 90 07 01
36,1152,Goblin Gambler,36900,263,00 00 00 00 00 00 00 00 00 00 00 00 24 90 07 01
37,1184,Goblin Gambler,36901,263,00 00 00 00 00 00 00 00 00 00 00 00 25 90 07 01
38,1216,Ancient Bat,36902,263,00 00 00 00 00 00 00 00 00 00 00 00 26 90 07 01
39,1248,Ancient Bat,36903,263,00 00 00 00 00 00 00 00 00 00 00 00 27 90 07 01
40,1280,Ancient Bat,36904,263,00 00 00 00 00 00 00 00 00 00 00 00 28 90 07 01
