index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Ironshell,45057,263,00 00 00 00 00 00 00 00 00 00 00 00 01 b0 07 01
2,64,Ironshell,45058,263,00 00 00 00 00 00 00 00 00 00 00 00 02 b0 07 01
3,96,Bigclaw,45059,263,00 00 00 00 00 00 00 00 00 00 00 00 03 b0 07 01
4,128,Bigclaw,45060,263,00 00 00 00 00 00 00 00 00 00 00 00 04 b0 07 01
5,160,Bloodsucker,45061,263,00 00 00 00 00 00 00 00 00 00 00 00 05 b0 07 01
6,192,Tipha,45062,263,00 00 00 00 00 00 00 00 00 00 00 00 06 b0 07 01
7,224,Carthi,45063,263,00 00 00 00 00 00 00 00 00 00 00 00 07 b0 07 01
8,256,Yuhtunga Mandrag,45064,263,6f 72 61 00 00 00 00 00 00 00 00 00 08 b0 07 01
9,288,Yuhtunga Mandrag,45065,263,6f 72 61 00 00 00 00 00 00 00 00 00 09 b0 07 01
10,320,Goblin Smithy,45066,263,00 00 00 00 00 00 00 00 00 00 00 00 0a b0 07 01
11,352,Yuhtunga Mandrag,45067,263,6f 72 61 00 00 00 00 00 00 00 00 00 0b b0 07 01
12,384,Yuhtunga Mandrag,45068,263,6f 72 61 00 00 00 00 00 00 00 00 00 0c b0 07 01
13,416,Goblin Smithy,45069,263,00 00 00 00 00 00 00 00 00 00 00 00 0d b0 07 01
14,448,Yuhtunga Mandrag,45070,263,6f 72 61 00 00 00 00 00 00 00 00 00 0e b0 07 01
15,480,Yuhtunga Mandrag,45071,263,6f 72 61 00 00 00 00 00 00 00 00 00 0f b0 07 01
16,512,Goblin Smithy,45072,263,00 00 00 00 00 00 00 00 00 00 00 00 10 b0 07 01
17,544,Yuhtunga Mandrag,45073,263,6f 72 61 00 00 00 00 00 00 00 00 00 11 b0 07 01
18,576,Goblin Smithy,45074,263,00 00 00 00 00 00 00 00 00 00 00 00 12 b0 07 01
19,608,Yuhtunga Mandrag,45075,263,6f 72 61 00 00 00 00 00 00 00 00 00 13 b0 07 01
20,640,Yuhtunga Mandrag,45076,263,6f 72 61 00 00 00 00 00 00 00 00 00 14 b0 07 01
21,672,Yuhtunga Mandrag,45077,263,6f 72 61 00 00 00 00 00 00 00 00 00 15 b0 07 01
22,704,Goblin Smithy,45078,263,00 00 00 00 00 00 00 00 00 00 00 00 16 b0 07 01
23,736,Goblin Smithy,45079,263,00 00 00 00 00 00 00 00 00 00 00 00 17 b0 07 01
24,768,Yuhtunga Mandrag,45080,263,6f 72 61 00 00 00 00 00 00 00 00 00 18 b0 07 01
25,800,Yuhtunga Mandrag,45081,263,6f 72 61 00 00 00 00 00 00 00 00 00 19 b0 07 01
26,832,Goblin Smithy,45082,263,00 00 00 00 00 00 00 00 00 00 00 00 1a b0 07 01
27,864,Ivory Lizard,45083,263,00 00 00 00 00 00 00 00 00 00 00 00 1b b0 07 01
28,896,Goblin Smithy,45084,263,00 00 00 00 00 00 00 00 00 00 00 00 1c b0 07 01
29,928,Goblin Smithy,45085,263,00 00 00 00 00 00 00 00 00 00 00 00 1d b0 07 01
30,960,Ivory Lizard,45086,263,00 00 00 00 00 00 00 00 00 00 00 00 1e b0 07 01
31,992,Goblin Smithy,45087,263,00 00 00 00 00 00 00 00 00 00 00 00 1f b0 07 01
32,1024,Yuhtunga Mandrag,45088,263,6f 72 61 00 00 00 00 00 00 00 00 00 20 b0 07 01
33,1056,Yuhtunga Mandrag,45089,263,6f 72 61 00 00 00 00 00 00 00 00 00 21 b0 07 01
34,1088,Yuhtunga Mandrag,45090,263,6f 72 61 00 00 00 00 00 00 00 00 00 22 b0 07 01
35,1120,Goblin Smithy,45091,263,00 00 00 00 00 00 00 00 00 00 00 00 23 b0 07 01
36,1152,Goblin Smithy,45092,263,00 00 00 00 00 00 00 00 00 00 00 00 24 b0 07 01
37,1184,Koropokkur,45093,263,00 00 00 00 00 00 00 00 00 00 00 00 25 b0 07 01
38,1216,Ivory Lizard,45094,263,00 00 00 00 00 00 00 00 00 00 00 00 26 b0 07 01
39,1248,Ivory Lizard,45095,263,00 00 00 00 00 00 00 00 00 00 00 00 27 b0 07 01
40,1280,Goblin Smithy,45096,263,00 00 00 00 00 00 00 00 00 00 00 00 28 b0 07 01
41,1312,Ivory Lizard,45097,263,00 00 00 00 00 00 00 00 00 00 00 00 29 b0 07 01
42,1344,Ivory Lizard,45098,263,00 00 00 00 00 00 00 00 00 00 00 00 2a b0 07 01
43,1376,Ivory Lizard,45099,263,00 00 00 00 00 00 00 00 00 00 00 00 2b b0 07 01
44,1408,Ivory Lizard,45100,263,00 00 00 00 00 00 00 00 00 00 00 00 2c b0 07 01
45,1440,Goblin Smithy,45101,263,00 00 00 00 00 00 00 00 00 00 00 00 2d b0 07 01
46,1472,Death Jacket,45102,263,00 00 00 00 00 00 00 00 00 00 00 00 2e b0 07 01
47,1504,Young Opo-opo,45103,263,00 00 00 00 00 00 00 00 00 00 00 00 2f b0 07 01
48,1536,Young Opo-opo,45104,263,00 00 00 00 00 00 00 00 00 00 00 00 30 b0 07 01
49,1568,Death Jacket,45105,263,00 00 00 00 00 00 00 00 00 00 00 00 31 b0 07 01
50,1600,Young Opo-opo,45106,263,00 00 00 00 00 00 00 00 00 00 00 00 32 b0 07 01
51,1632,Young Opo-opo,45107,263,00 00 00 00 00 00 00 00 00 00 00 00 33 b0 07 01
52,1664,Death Jacket,45108,263,00 00 00 00 00 00 00 00 00 00 00 00 34 b0 07 01
53,1696,Death Jacket,45109,263,00 00 00 00 00 00 00 00 00 00 00 00 35 b0 07 01
54,1728,Young Opo-opo,45110,263,00 00 00 00 00 00 00 00 00 00 00 00 36 b0 07 01
55,1760,Death Jacket,45111,263,00 00 00 00 00 00 00 00 00 00 00 00 37 b0 07 01
56,1792,Soldier Crawler,45112,263,00 00 00 00 00 00 00 00 00 00 00 00 38 b0 07 01
57,1824,Goblin Robber,45113,263,00 00 00 00 00 00 00 00 00 00 00 00 39 b0 07 01
58,1856,Soldier Crawler,45114,263,00 00 00 00 00 00 00 00 00 00 00 00 3a b0 07 01
59,1888,Soldier Crawler,45115,263,00 00 00 00 00 00 00 00 00 00 00 00 3b b0 07 01
60,1920,Goblin Robber,45116,263,00 00 00 00 00 00 00 00 00 00 00 00 3c b0 07 01
61,1952,Goblin Poacher,45117,263,00 00 00 00 00 00 00 00 00 00 00 00 3d b0 07 01
62,1984,Lava Bomb,45118,263,00 00 00 00 00 00 00 00 00 00 00 00 3e b0 07 01
63,2016,Soldier Crawler,45119,263,00 00 00 00 00 00 00 00 00 00 00 00 3f b0 07 01
64,2048,Soldier Crawler,45120,263,00 00 00 00 00 00 00 00 00 00 00 00 40 b0 07 01
65,2080,Goblin Poacher,45121,263,00 00 00 00 00 00 00 00 00 00 00 00 41 b0 07 01
66,2112,Soldier Crawler,45122,263,00 00 00 00 00 00 00 00 00 00 00 00 42 b0 07 01
67,2144,Soldier Crawler,45123,263,00 00 00 00 00 00 00 00 00 00 00 00 43 b0 07 01
68,2176,Goblin Robber,45124,263,00 00 00 00 00 00 00 00 00 00 00 00 44 b0 07 01
69,2208,Goblin Poacher,45125,263,00 00 00 00 00 00 00 00 00 00 00 00 45 b0 07 01
70,2240,Soldier Crawler,45126,263,00 00 00 00 00 00 00 00 00 00 00 00 46 b0 07 01
71,2272,Soldier Crawler,45127,263,00 00 00 00 00 00 00 00 00 00 00 00 47 b0 07 01
72,2304,Goblin Poacher,45128,263,00 00 00 00 00 00 00 00 00 00 00 00 48 b0 07 01
73,2336,Goblin Poacher,45129,263,00 00 00 00 00 00 00 00 00 00 00 00 49 b0 07 01
74,2368,Overgrown Rose,45130,263,00 00 00 00 00 00 00 00 00 00 00 00 4a b0 07 01
75,2400,Soldier Crawler,45131,263,00 00 00 00 00 00 00 00 00 00 00 00 4b b0 07 01
76,2432,Soldier Crawler,45132,263,00 00 00 00 00 00 00 00 00 00 00 00 4c b0 07 01
77,2464,Goblin Robber,45133,263,00 00 00 00 00 00 00 00 00 00 00 00 4d b0 07 01
78,2496,Goblin Poacher,45134,263,00 00 00 00 00 00 00 00 00 00 00 00 4e b0 07 01
79,2528,Soldier Crawler,45135,263,00 00 00 00 00 00 00 00 00 00 00 00 4f b0 07 01
80,2560,Goblin Robber,45136,263,00 00 00 00 00 00 00 00 00 00 00 00 50 b0 07 01
81,2592,Soldier Crawler,45137,263,00 00 00 00 00 00 00 00 00 00 00 00 51 b0 07 01
82,2624,Soldier Crawler,45138,263,00 00 00 00 00 00 00 00 00 00 00 00 52 b0 07 01
83,2656,Soldier Crawler,45139,263,00 00 00 00 00 00 00 00 00 00 00 00 53 b0 07 01
84,2688,Soldier Crawler,45140,263,00 00 00 00 00 00 00 00 00 00 00 00 54 b0 07 01
85,2720,Soldier Crawler,45141,263,00 00 00 00 00 00 00 00 00 00 00 00 55 b0 07 01
86,2752,Soldier Crawler,45142,263,00 00 00 00 00 00 00 00 00 00 00 00 56 b0 07 01
87,2784,Soldier Crawler,45143,263,00 00 00 00 00 00 00 00 00 00 00 00 57 b0 07 01
88,2816,Soldier Crawler,45144,263,00 00 00 00 00 00 00 00 00 00 00 00 58 b0 07 01
89,2848,Goblin Robber,45145,263,00 00 00 00 00 00 00 00 00 00 00 00 59 b0 07 01
90,2880,Soldier Crawler,45146,263,00 00 00 00 00 00 00 00 00 00 00 00 5a b0 07 01
91,2912,Soldier Crawler,45147,263,00 00 00 00 00 00 00 00 00 00 00 00 5b b0 07 01
92,2944,Goblin Robber,45148,263,00 00 00 00 00 00 00 00 00 00 00 00 5c b0 07 01
93,2976,Ivory Lizard,45149,263,00 00 00 00 00 00 00 00 00 00 00 00 5d b0 07 01
94,3008,Ivory Lizard,45150,263,00 00 00 00 00 00 00 00 00 00 00 00 5e b0 07 01
95,3040,Yuhtunga Mandrag,45151,263,6f 72 61 00 00 00 00 00 00 00 00 00 5f b0 07 01
96,3072,Yuhtunga Mandrag,45152,263,6f 72 61 00 00 00 00 00 00 00 00 00 60 b0 07 01
97,3104,Yuhtunga Mandrag,45153,263,6f 72 61 00 00 00 00 00 00 00 00 00 61 b0 07 01
98,3136,Goblin Smithy,45154,263,00 00 00 00 00 00 00 00 00 00 00 00 62 b0 07 01
99,3168,Goblin Smithy,45155,263,00 00 00 00 00 00 00 00 00 00 00 00 63 b0 07 01
100,3200,Goblin Furrier,45156,263,00 00 00 00 00 00 00 00 00 00 00 00 64 b0 07 01
101,3232,Goblin Furrier,45157,263,00 00 00 00 00 00 00 00 00 00 00 00 65 b0 07 01
102,3264,Fire Elemental,45158,263,00 00 00 00 00 00 00 00 00 00 00 00 66 b0 07 01
103,3296,Ivory Lizard,45159,263,00 00 00 00 00 00 00 00 00 00 00 00 67 b0 07 01
104,3328,Ivory Lizard,45160,263,00 00 00 00 00 00 00 00 00 00 00 00 68 b0 07 01
