npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
493,Treasure Casket,49650,263,1,95776,95856,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
494,Treasure Casket,49651,263,1,97584,97664,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
495,Treasure Casket,49652,263,1,99392,99472,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
496,Treasure Casket,49653,263,1,101200,101280,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
497,Treasure Casket,49654,263,1,103008,103088,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
498,Treasure Casket,49655,263,1,104816,104896,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
499,Treasure Casket,49656,263,1,106624,106704,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
500,Treasure Casket,49657,263,1,108432,108512,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
501,Treasure Casket,49658,263,1,110240,110320,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
502,Treasure Casket,49659,263,1,112048,112128,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
503,Treasure Casket,49660,263,1,113856,113936,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
504,Treasure Casket,49661,263,1,115664,115744,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
505,Treasure Casket,49662,263,1,117472,117552,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
506,Treasure Casket,49663,263,1,119280,119360,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
507,Treasure Casket,49664,263,1,121088,121168,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
508,Treasure Casket,49665,263,1,122896,122976,78.57,0.15,78.33,30,7857,15,7833,7857 7833 15 16 31 7832 7834 7839
509,Treasure Coffer,49666,263,1,135760,135916,0.23,79.06,79.05,30,23,7906,7905,23 7905 7906 1 0 837 8 15
513,EFFECTER,49675,263,33,968,1032,0.5,76.8,76.79,50,50,7680,7679,50 7679 7680 137 6422528 130157440 130157313 1767992577
514,Carbuncle,49676,263,16,1188,1332,0.5,76.8,76.79,65,50,7680,7679,50 7679 7680 714 1107379712 21168195 1049602 3145856
515,Talking Doll,49677,263,1,2064,2104,76.83,0.0,2.0,50,7683,0,200,7683 200 0 77 1851904 1124090752 -2147476479 595591496
518,Dimensional Port,49680,263,1,2404,2540,0.3,77.63,77.62,30,30,7763,7762,30 7762 7763 40 7764 7765 50 7766
519,Shattered Telepo,49681,263,1,2468,2540,0.3,77.63,77.62,30,30,7763,7762,30 7762 7763 40 7764 7765 50 7766
520,"Ilieumort, R.K.",49682,263,1,2496,2680,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
521,"Mintoo, I.M.",49683,263,1,17760,17944,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
522,"Etaj-Pohtaj, W.W",49684,263,1,33028,33212,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
527,"Emila, R.K.",49689,263,1,49028,49148,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
528,"Guddal, I.M.",49690,263,1,64116,64236,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
529,"Ghantata, W.W.",49691,263,1,79204,79324,73.81,73.63,73.4,35,7381,7363,7340,7381 7340 7363 201 -1 7245 7370 7371
530,Mugha Dovajaiho,49692,263,1,48296,48388,73.22,0.06,73.19,65,7322,6,7319,7322 7319 6 622 66304 33755138 504365824 2147483632
544,Logging Point,49707,263,1,94292,94332,76.89,76.93,76.91,45,7689,7693,7691,7689 7691 7693 85 -261209600 8388607 -1009280 151224319
550,Harvesting Point,49713,263,1,94436,94476,76.96,77.0,76.98,45,7696,7700,7698,7696 7698 7700 80 -261209600 8388607 -1009280 151224319
555,Peddlestox,49718,263,1,94572,94672,77.44,77.45,77.3,70,7744,7745,7730,7744 7730 7745 210 -266469376 494927871 488865792 488865793
556,Casket,49719,263,5,94900,94944,-1499.29,-11.48,567.61,80,-149929,-1148,56761,-149929 56761 -1148 1 80520 200147 -1312 2
566,Kiteh Nanjyea,49730,263,20,95284,95364,78.17,78.18,0.99,70,7817,7818,99,7817 99 7818 137 1564606464 -2147385344 1049858 1638528
568,Paurelde,49732,263,1,95520,95544,-0.04,0.0,78.26,90,-4,0,7826,-4 7826 0 201 -1 138 7820 7823
570,Field Manual,49734,263,1,124704,124820,89.95,110.48,0.06,45,8995,11048,6,8995 6 11048 1116 1117 1118 1119 1120
571,Field Manual,49735,263,1,127284,127400,89.95,110.48,0.06,45,8995,11048,6,8995 6 11048 1116 1117 1118 1119 1120
572,Field Manual,49736,263,1,129864,129980,89.95,110.48,0.06,45,8995,11048,6,8995 6 11048 1116 1117 1118 1119 1120
573,Field Parchment,49737,263,1,132444,132492,0.6,79.32,79.31,45,60,7932,7931,60 7931 7932 1126 7933 7934 7935 7936
574,Ethereal Junctio,49738,263,1,135896,135916,0.23,79.06,79.05,30,23,7906,7905,23 7905 7906 1 0 837 8 15
575,Ethereal Junctio,49739,263,1,137260,137280,0.23,79.06,79.05,30,23,7906,7905,23 7905 7906 1 0 837 8 15
576,Ethereal Junctio,49740,263,1,138624,138644,0.23,79.06,79.05,30,23,7906,7905,23 7905 7906 1 0 837 8 15
581,Survival Guide,49745,263,2,149164,149296,-0.02,111.61,111.46,50,-2,11161,11146,-2 11146 11161 26 27 11160 8 15
