offset,token
656,who1
686,whi1
947,chco
976,nak1
1005,nak2
1188,fdo1
1208,fdi1
1234,Treasure
1300,Treasure
1546,open
1560,clos
1576,ntoe
1825,main
1842,s006
1859,whi1
1939,who1
2147,fdi1
2226,s006
2243,fdi1
2268,main
2296,main
2324,main
2352,main
2380,main
2408,main
2436,main
2464,main
2492,main
2520,main
2548,main
2576,main
2604,main
2628,who1
2656,main
2673,s006
2690,whi1
2763,who1
2792,s006F
2809,whi1
2951,fdi1
3842,cl01
3859,fdi2
3910,fdi2
3982,fdi2
4026,cl01
4088,dg01
4105,fdi2
4156,fdi2
4228,fdi2
4272,dg01
4351,fdi2
4402,fdi2
4474,fdi2
4597,fdi2
4648,fdi2
4720,fdi2
4843,fdi2
4894,fdi2
4966,fdi2
5089,fdi2
5140,fdi2
5212,fdi2
5318,sy01
5335,fdi2
5386,fdi2
5458,fdi2
5502,sy01
5564,ln01
5581,fdi2
5632,fdi2
5704,fdi2
5748,ln01
5827,fdi2
5878,fdi2
5950,fdi2
6082,fdi2
6133,fdi2
6205,fdi2
6311,st01
6328,fdi2
6379,fdi2
6451,fdi2
6495,st01
6557,bo01
6574,fdi2
6625,fdi2
6697,fdi2
6741,bo01
6809,sh01
6826,fdi2
6877,fdi2
6949,fdi2
6993,sh01
7055,in01
7072,fdi2
7123,fdi2
7195,fdi2
7239,in01
7288,fdi2
7305,qstc
7323,fdi0
7340,fdi0
7356,fdo0
7373,fdo0
7389,fdi1
7406,fdi1
7422,fdo1
7439,fdo1
7455,whi1
7472,whi1
7488,who1
7505,who1
7521,who2
7538,who2
7554,who3
7571,who3
7587,main
7607,fdo1
7624,fdo1
7640,fdi1
7657,main
7677,fdi1
7693,blon
7710,blon
7728,whi0
7745,whi0
7761,who0
7778,who0
7794,efon
7811,efon
7827,fdis
7845,fdos
7862,fdos
7878,fdif
7896,fdof
7913,fdof
7929,fdip
7947,fdop
7964,fdop
8100,main
8127,stop
8266,main
8293,stop
8430,main
8457,stop
8594,main
8621,stop
8756,main
8783,stop
8920,main
8947,stop
9086,main
9113,stop
9248,main
9275,stop
9414,main
9441,stop
9578,main
9605,stop
9742,main
9769,stop
9904,main
9931,stop
10068,main
10095,stop
10232,main
10259,stop
10630,main
10698,main
10766,main
10834,main
10878,main
10909,fdo1
131646,fdo1
