npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
502,Treasure Casket,53754,263,1,10924,11004,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
503,Treasure Casket,53755,263,1,12732,12812,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
504,Treasure Casket,53756,263,1,14540,14620,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
505,Treasure Casket,53757,263,1,16348,16428,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
506,Treasure Casket,53758,263,1,18156,18236,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
507,Treasure Casket,53759,263,1,19964,20044,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
508,Treasure Casket,53760,263,1,21772,21852,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
509,Treasure Casket,53761,263,1,23580,23660,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
510,Treasure Casket,53762,263,1,25388,25468,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
511,Treasure Casket,53763,263,1,27196,27276,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
512,Treasure Casket,53764,263,1,29004,29084,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
513,Treasure Casket,53765,263,1,30812,30892,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
514,Treasure Casket,53766,263,1,32620,32700,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
515,Treasure Casket,53767,263,1,34428,34508,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
516,Treasure Casket,53768,263,1,36236,36316,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
517,Treasure Casket,53769,263,1,38044,38124,76.74,0.15,76.5,30,7674,15,7650,7674 7650 15 16 31 7649 7651 7656
518,Treasure Coffer,53770,263,1,50908,51064,0.23,77.23,77.22,30,23,7723,7722,23 7722 7723 1 0 857 8 15
