offset,token
1613,fdo1
1630,fdo1
1830,z000
1856,fdi1
1873,fdi1U
1888,z000
1916,z001
1933,z001ov
1964,z002
2000,fdo2
2017,fdo2U
2032,z002xF
2050,fdi2
2075,fdo1
2092,fdo1w
2124,cm30
2141,cm30E
2156,fdi1
2173,fdi1+
2206,cm31
2230,cm31+
2270,cm3a
2287,cm3a
2336,nak0
2385,cm32
2409,cm32'
2446,cm33
2477,cm33+
2565,cm34
2620,cm34
2730,cm3b
2747,cm3b'
2889,fdo2
2947,fdi2
3021,s003
3038,fdi1
3073,s003y
3130,thk1+
3153,s004
3184,tlb0+
3207,tlb1+
3230,tlk0+
3262,thk2y
3287,s004E2
3302,s005
3327,tla0+
3350,tla1+
3393,thk1+
3429,thk2R2
3444,s005E2
3459,s006
3492,tlk0+
3544,thk2J
3576,s006E2
3591,s007
3608,thk1+
3629,thk1f8
3644,thk2S
3657,thk2J
3716,ib00+
3737,ib00kidl0
3761,s007E2
3776,s008
3800,tlk0+
3849,fdo2
3866,fdo2EP
3881,qstc
3900,fdi2
4349,sha0S
4362,sha0
4386,sha1S
4399,sha1
4615,tlk0
4633,tlk1
4745,main
4774,who1
4791,who1
4818,tlk0
4842,tlk1
4866,sit0S
4879,sit0
4903,sit1S
4916,sit1
4962,main
4991,who1
5008,who1
5346,sgm0S
5359,sgm0
5375,tat0S
5388,tat0
5404,nde0
5423,nde1S
5436,nde1
5463,thk1
5488,thk2S
5501,thk2
5784,ton0S
5812,ton1S
5825,ton1
5857,ton0S
5885,ton1S
5898,ton1
5959,ton0S
5972,ton0
5996,ton0S
6009,ton0
6028,ton1S
6041,ton1
6057,yor0S
6070,yor0
6168,main
6188,fdo1
9723,qstc
11529,qstc
24991,qstc
26797,qstc
40259,qstc
42065,qstc
56080,qstc
57886,qstc
71168,qstc
72974,qstc
86256,qstc
88062,qstc
99662,main
99730,main
99798,main
99866,main
99910,main
99941,fdo1
101117,s074
101162,s074E
101177,s073
101207,ovl1
101224,s073
101250,s020
101278,s020
101298,s075
101565,ovl1
101593,s020
101619,s020
101637,s075E
101652,s076
101682,s076
101708,who0
101725,who0
101741,who1
101758,who1
101774,whi1
101792,whi0
101810,fdo0
101827,fdo0
101843,fdo0
101864,fdo1
101881,fdo1
101897,fdo1
101914,fdo1
101930,fdo2
101947,fdo2
101963,fdo2
101980,fdo2
101996,fdi0
102014,fdi1
102032,fdi2
102071,Feliz
102102,Ferdinand
102133,Gunnar
102164,Massimo
102195,Oldrich
102226,Siegward
102257,Theobald
102288,Zenji
102330,Amerita
102361,Beatrice
102392,Henrietta
102423,Jesimae
102454,Karyn
102485,Nanako
102516,Sharlene
102547,Sieghilde
102589,Chanandit
102620,Deulmaeux
102651,Demresinaux
102682,Ephealgaux
102713,Gauldeval
102744,Grauffemart
102775,Migaifongut
102806,Romidiant
102848,Armittie
102879,Cadepure
102910,Clearite
102941,Epilleve
102972,Liabelle
103003,Nauthima
103034,Radille
103065,Vimechue
103107,Balu-Falu
103138,Burg-Ladarg
