npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
51,Treasure Casket,61492,263,1,380,460,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
52,Treasure Casket,61493,263,1,2188,2268,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
53,Treasure Casket,61494,263,1,3996,4076,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
54,Treasure Casket,61495,263,1,5804,5884,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
55,Treasure Casket,61496,263,1,7612,7692,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
56,Treasure Casket,61497,263,1,9420,9500,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
57,Treasure Casket,61498,263,1,11228,11308,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
58,Treasure Casket,61499,263,1,13036,13116,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
59,Treasure Casket,61500,263,1,14844,14924,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
60,Treasure Casket,61501,263,1,16652,16732,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
61,Treasure Casket,61502,263,1,18460,18540,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
62,Treasure Casket,61503,263,1,20268,20348,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
63,Treasure Casket,61504,263,1,22076,22156,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
64,Treasure Casket,61505,263,1,23884,23964,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
65,Treasure Casket,61506,263,1,25692,25772,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
66,Treasure Casket,61507,263,1,27500,27580,73.89,0.15,73.65,30,7389,15,7365,7389 7365 15 16 31 7364 7366 7371
67,Treasure Coffer,61508,263,1,35204,35360,0.23,74.38,74.37,30,23,7438,7437,23 7437 7438 1 0 914 8 15
70,???,61516,263,2,180,284,73.41,0.01,0.0,90,7341,1,0,7341 0 1 79 -1029632 -491521 4751359 19145600
79,Cermet Headstone,61526,263,1,256,284,73.41,0.01,0.0,90,7341,1,0,7341 0 1 79 -1029632 -491521 4751359 19145600
80,Field Manual,61527,263,1,29308,29424,85.27,105.8,0.06,45,8527,10580,6,8527 6 10580 1116 1117 1118 1119 1120
81,Field Parchment,61528,263,1,31888,31936,0.6,74.64,74.63,45,60,7464,7463,60 7463 7464 1126 7465 7466 7467 7468
82,Ethereal Junctio,61529,263,1,35340,35360,0.23,74.38,74.37,30,23,7438,7437,23 7437 7438 1 0 914 8 15
83,Ethereal Junctio,61530,263,1,36704,36724,0.23,74.38,74.37,30,23,7438,7437,23 7437 7438 1 0 914 8 15
84,Ethereal Junctio,61531,263,1,38068,38088,0.23,74.38,74.37,30,23,7438,7437,23 7437 7438 1 0 914 8 15
87,Planar Rift,61534,263,1,48608,48676,106.89,0.02,0.01,45,10689,2,1,10689 1 2 1539 10690 10691 10692 10693
88,Planar Rift,61535,263,1,67436,67504,0.04,0.02,106.89,45,4,2,10689,4 10689 2 1539 10690 10691 10692 10693
89,Planar Rift,61536,263,1,86264,86332,0.04,0.01,106.89,45,4,1,10689,4 10689 1 1539 10690 10691 10692 10693
90,Riftworn Pyxis,61537,263,1,105092,105232,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
91,Riftworn Pyxis,61538,263,1,106524,106664,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
92,Riftworn Pyxis,61539,263,1,107956,108096,184.57,197.94,185.42,65,18457,19794,18542,18457 18542 19794 1276 768 18907136 515 263040
93,Geomantic Reserv,61540,263,3,109388,109440,360.0,1.8,115.46,65,36000,180,11546,36000 11546 180 1808 169 213504 58720256 -2147483643
94,Survival Guide,61543,263,2,109808,109940,-0.02,115.72,115.57,50,-2,11572,11557,-2 11557 11572 26 27 11571 8 15
