index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Velociraptor,1,264,00 00 00 00 00 00 00 00 00 00 00 00 01 00 08 01
2,64,Velociraptor,2,264,00 00 00 00 00 00 00 00 00 00 00 00 02 00 08 01
3,96,Peryton,3,264,00 00 00 00 00 00 00 00 00 00 00 00 03 00 08 01
4,128,Velociraptor,4,264,00 00 00 00 00 00 00 00 00 00 00 00 04 00 08 01
5,160,Velociraptor,5,264,00 00 00 00 00 00 00 00 00 00 00 00 05 00 08 01
6,192,Peryton,6,264,00 00 00 00 00 00 00 00 00 00 00 00 06 00 08 01
7,224,Velociraptor,7,264,00 00 00 00 00 00 00 00 00 00 00 00 07 00 08 01
8,256,Velociraptor,8,264,00 00 00 00 00 00 00 00 00 00 00 00 08 00 08 01
9,288,Peryton,9,264,00 00 00 00 00 00 00 00 00 00 00 00 09 00 08 01
10,320,Fire Elemental,10,264,00 00 00 00 00 00 00 00 00 00 00 00 0a 00 08 01
11,352,Velociraptor,11,264,00 00 00 00 00 00 00 00 00 00 00 00 0b 00 08 01
12,384,Peryton,12,264,00 00 00 00 00 00 00 00 00 00 00 00 0c 00 08 01
13,416,Velociraptor,13,264,00 00 00 00 00 00 00 00 00 00 00 00 0d 00 08 01
14,448,Peryton,14,264,00 00 00 00 00 00 00 00 00 00 00 00 0e 00 08 01
15,480,Velociraptor,15,264,00 00 00 00 00 00 00 00 00 00 00 00 0f 00 08 01
16,512,Velociraptor,16,264,00 00 00 00 00 00 00 00 00 00 00 00 10 00 08 01
17,544,Peryton,17,264,00 00 00 00 00 00 00 00 00 00 00 00 11 00 08 01
18,576,Air Elemental,18,264,00 00 00 00 00 00 00 00 00 00 00 00 12 00 08 01
19,608,Velociraptor,19,264,00 00 00 00 00 00 00 00 00 00 00 00 13 00 08 01
20,640,Peryton,20,264,00 00 00 00 00 00 00 00 00 00 00 00 14 00 08 01
21,672,Fire Elemental,21,264,00 00 00 00 00 00 00 00 00 00 00 00 15 00 08 01
22,704,Air Elemental,22,264,00 00 00 00 00 00 00 00 00 00 00 00 16 00 08 01
23,736,Velociraptor,23,264,00 00 00 00 00 00 00 00 00 00 00 00 17 00 08 01
24,768,Velociraptor,24,264,00 00 00 00 00 00 00 00 00 00 00 00 18 00 08 01
25,800,Velociraptor,25,264,00 00 00 00 00 00 00 00 00 00 00 00 19 00 08 01
26,832,Velociraptor,26,264,00 00 00 00 00 00 00 00 00 00 00 00 1a 00 08 01
27,864,Peryton,27,264,00 00 00 00 00 00 00 00 00 00 00 00 1b 00 08 01
28,896,Valley Manticore,28,264,00 00 00 00 00 00 00 00 00 00 00 00 1c 00 08 01
29,928,Valley Manticore,29,264,00 00 00 00 00 00 00 00 00 00 00 00 1d 00 08 01
30,960,Valley Manticore,30,264,00 00 00 00 00 00 00 00 00 00 00 00 1e 00 08 01
31,992,Velociraptor,31,264,00 00 00 00 00 00 00 00 00 00 00 00 1f 00 08 01
32,1024,Peryton,32,264,00 00 00 00 00 00 00 00 00 00 00 00 20 00 08 01
33,1056,Adamantoise,33,264,00 00 00 00 00 00 00 00 00 00 00 00 21 00 08 01
34,1088,Aspidochelone,34,264,00 00 00 00 00 00 00 00 00 00 00 00 22 00 08 01
35,1120,Skahnowa,35,264,00 00 00 00 00 00 00 00 00 00 00 00 23 00 08 01
36,1152,Tolba,36,264,00 00 00 00 00 00 00 00 00 00 00 00 24 00 08 01
37,1184,Tolba,37,264,00 00 00 00 00 00 00 00 00 00 00 00 25 00 08 01
38,1216,Tolba,38,264,00 00 00 00 00 00 00 00 00 00 00 00 26 00 08 01
39,1248,???,39,264,00 00 00 00 00 00 00 00 00 00 00 00 27 00 08 01
