npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
40,Treasure Casket,40,264,1,9060,9140,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
41,Treasure Casket,41,264,1,10868,10948,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
42,Treasure Casket,42,264,1,12676,12756,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
43,Treasure Casket,43,264,1,14484,14564,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
44,Treasure Casket,44,264,1,16292,16372,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
45,Treasure Casket,45,264,1,18100,18180,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
46,Treasure Casket,46,264,1,19908,19988,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
47,Treasure Casket,47,264,1,21716,21796,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
48,Treasure Casket,48,264,1,23524,23604,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
49,Treasure Casket,49,264,1,25332,25412,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
50,Treasure Casket,50,264,1,27140,27220,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
51,Treasure Casket,51,264,1,28948,29028,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
52,Treasure Casket,52,264,1,30756,30836,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
53,Treasure Casket,53,264,1,32564,32644,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
54,Treasure Casket,54,264,1,34372,34452,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
55,Treasure Casket,55,264,1,36180,36260,75.44,0.15,75.2,30,7544,15,7520,7544 7520 15 16 31 7519 7521 7526
56,Treasure Coffer,56,264,1,46464,46620,0.23,75.93,75.92,30,23,7593,7592,23 7592 7593 1 0 916 8 15
59,???,64,264,4,1152,1248,1.67,0.27,73.34,30,167,27,7334,167 7334 27 0 200 7336 7337 7338
69,Capacucu,75,264,12,6108,6148,855.94,36.48,-739.38,70,85594,3648,-73938,85594 -73938 3648 0 1 128 38 90
70,Putori-Tutori,76,264,12,6272,6312,-1658.55,11.21,-21.75,80,-165855,1121,-2175,-165855 -2175 1121 0 1 128 38 92
71,Kilhwch,77,264,12,6436,6472,-194.99,-19.09,636.4,105,-19499,-1909,63640,-19499 63640 -1909 1254 0 1 128 38
72,Mieuseloir,78,264,12,6600,6644,25.88,0.0,37.17,15,2588,0,3717,2588 3717 0 1 128 38 92 20119552
73,Lhu Mhakaracca,79,264,12,6764,6800,-1521.97,-167.22,203.37,80,-152197,-16722,20337,-152197 20337 -16722 33 0 1 128 38
74,Xonia,80,264,12,6928,6964,-0.2,79.0,-402.92,105,-20,7900,-40292,-20 -40292 7900 3089 0 1 128 38
75,Fonove,81,264,12,7092,7136,971.48,0.0,2.08,15,97148,0,208,97148 208 0 1 128 38 92 20119552
76,Dzhau Yaam,82,264,12,7256,7300,-125.82,0.0,26.57,35,-12582,0,2657,-12582 2657 0 1 128 38 90 3604480
77,Kupalu-Harupalu,83,264,12,7420,7460,-1024.62,2.16,146.03,25,-102462,216,14603,-102462 14603 216 0 1 128 38 92
78,Noillurie,84,264,13,7584,7624,-313.37,31.37,-407.16,90,-31337,3137,-40716,-31337 -40716 3137 0 1 128 38 92
79,Umon-Paumon,85,264,12,7748,7784,-181.34,403.47,119.42,85,-18134,40347,11942,-18134 11942 40347 3027 0 1 128 38
80,Ghebben,86,264,12,7912,7948,730.06,41.51,-1744.69,75,73006,4151,-174469,73006 -174469 4151 3095 0 1 128 38
81,Elrica,87,264,12,8076,8112,-195.57,-99.98,324.41,105,-19557,-9998,32441,-19557 32441 -9998 1306 0 1 128 38
82,Terounalivet,88,264,12,8240,8276,-142.72,-33.08,569.26,105,-14272,-3308,56926,-14272 56926 -3308 1018 0 1 128 38
83,???,89,264,85,8404,8556,75.06,0.6,2.0,70,7506,60,200,7506 200 60 485 1107369984 -266469342 1249902591 2147483632
84,Ramblix,90,264,2,8432,8556,75.06,0.6,2.0,70,7506,60,200,7506 200 60 485 1107369984 -266469342 1249902591 2147483632
86,Field Manual,92,264,1,37988,38104,86.82,107.35,0.06,45,8682,10735,6,8682 6 10735 1116 1117 1118 1119 1120
87,Field Manual,93,264,1,40568,40684,86.82,107.35,0.06,45,8682,10735,6,8682 6 10735 1116 1117 1118 1119 1120
88,Field Parchment,94,264,1,43148,43196,0.6,76.19,76.18,45,60,7619,7618,60 7618 7619 1126 7620 7621 7622 7623
89,Ethereal Junctio,95,264,1,46600,46620,0.23,75.93,75.92,30,23,7593,7592,23 7592 7593 1 0 916 8 15
90,Ethereal Junctio,96,264,1,47964,47984,0.23,75.93,75.92,30,23,7593,7592,23 7592 7593 1 0 916 8 15
91,Ethereal Junctio,97,264,1,49328,49348,0.23,75.93,75.92,30,23,7593,7592,23 7592 7593 1 0 916 8 15
94,Survival Guide,100,264,2,51552,51684,-0.02,108.48,108.33,50,-2,10848,10833,-2 10833 10848 26 27 10847 8 15
