npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
164,Student Salvemix,4260,264,1,560,576,0.09,0.0,72.46,30,9,0,7246,9 7246 0 1 7247 2 3 4
165,Student Salvemix,4261,264,1,748,764,0.09,0.0,72.46,30,9,0,7246,9 7246 0 1 7247 2 3 4
166,Student Salvemix,4262,264,1,936,952,0.09,0.0,72.46,30,9,0,7246,9 7246 0 1 7247 2 3 4
242,Dawn Aureola,4339,264,1,296,312,0.04,0.01,72.33,15,4,1,7233,4 7233 1 0 2 47 604053504 -2147385344
243,Twilight Aureola,4340,264,1,384,400,0.04,0.01,72.33,15,4,1,7233,4 7233 1 0 2 47 604053504 -2147385344
244,Lacuna Whorl,4341,264,1,472,576,0.09,0.0,72.46,30,9,0,7246,9 7246 0 1 7247 2 3 4
251,Pesoso,4351,264,1,1124,1192,73.33,73.35,73.34,45,7333,7335,7334,7333 7334 7335 158 -266452480 1870659583 -2147476112 -2147410653
252,Antje,4352,264,10,1368,1424,-1156.73,25.47,-2.63,95,-115673,2547,-263,-115673 -263 2547 457 7349 7350 7351 7352
253,Republic Ensign,4353,264,1,3600,3760,0.37,0.0,10.23,15,37,0,1023,37 1023 0 15 16 31 1 2
261,2nd Legion Scout,4361,264,7,3636,3824,63.55,0.1,63.56,30,6355,10,6356,6355 6356 10 11 211 2259 4307 6361
262,7th Cohors Engin,4362,264,7,3672,3844,22.59,63.61,43.07,45,2259,6361,4307,2259 4307 6361 3456 255 6371 6368 6365
263,7th Cohors Engin,4363,264,7,3708,3844,22.59,63.61,43.07,45,2259,6361,4307,2259 4307 6361 3456 255 6371 6368 6365
