index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Moogle,12291,264,00 00 00 00 00 00 00 00 00 00 00 00 03 30 08 01
2,64,Moogle,12292,264,00 00 00 00 00 00 00 00 00 00 00 00 04 30 08 01
3,96,Moogle,12293,264,00 00 00 00 00 00 00 00 00 00 00 00 05 30 08 01
4,128,Moogle,12294,264,00 00 00 00 00 00 00 00 00 00 00 00 06 30 08 01
5,160,Moogle,12295,264,00 00 00 00 00 00 00 00 00 00 00 00 07 30 08 01
6,192,Moogle,12296,264,00 00 00 00 00 00 00 00 00 00 00 00 08 30 08 01
7,224,Moogle,12297,264,00 00 00 00 00 00 00 00 00 00 00 00 09 30 08 01
8,256,Moogle,12298,264,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 08 01
9,288,Moogle-Ch,12299,264,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 08 01
10,320,,12300,264,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 08 01
11,352,Read me,12302,264,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 08 01
12,384,Achieve Master,12303,264,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 08 01
13,416,Unity Master,12305,264,00 00 00 00 00 00 00 00 00 00 00 00 11 30 08 01
