offset,token
781,main
801,fdo1
827,blon
844,blon
861,ovl1
878,warp
895,main
915,fdo1
591332,main
591352,fdo1
591369,fdo1F
591620,back
591640,fdi1
591660,main
591767,main
591787,fdo1
591804,fdo1F
592055,back
592075,fdi1
592095,main
593488,main
593508,fdo1
593525,fdo1F
593776,back
593796,fdi1
593816,main
593923,main
593943,fdo1
593960,fdo1F
594211,back
594231,fdi1
594251,main
595644,main
595664,fdo1
595681,fdo1F
595932,back
595952,fdi1
595972,main
596079,main
596099,fdo1
596116,fdo1F
596367,back
596387,fdi1
596407,main
597800,main
597820,fdo1
597837,fdo1F
598088,back
598108,fdi1
598128,main
598235,main
598255,fdo1
598272,fdo1F
598523,back
598543,fdi1
598563,main
599956,main
599976,fdo1
599993,fdo1F
600244,back
600264,fdi1
600284,main
600391,main
600411,fdo1
600428,fdo1F
600679,back
600699,fdi1
600719,main
602112,main
602132,fdo1
602149,fdo1F
602400,back
602420,fdi1
602440,main
602547,main
602567,fdo1
602584,fdo1F
602835,back
602855,fdi1
602875,main
604268,main
604288,fdo1
604305,fdo1F
604556,back
604576,fdi1
604596,main
604703,main
604723,fdo1
604740,fdo1F
604991,back
605011,fdi1
605031,main
606424,main
606444,fdo1
606461,fdo1F
606712,back
606732,fdi1
606752,main
606859,main
606879,fdo1
606896,fdo1F
607147,back
607167,fdi1
607187,main
617007,fdo1
617037,ab01
617054,fdi1
617074,blon
617091,blon
617108,ovl1
617125,warp
617149,blof
617296,tlk0
617570,tlk0
617749,tlk0
617798,tlk0
617829,pas0
617859,qstc
617885,tlk0
618503,fdo1
618608,bg00
618625,fdi1
618763,fdo1
618799,bg00E
618814,bg01
618831,fdi1
618864,bg01+
618903,who1
618936,whi1
618953,bg02
619036,bg02E
619051,fdo1
619086,bg02E
619101,bg03
619118,fdi1
619216,fdo1
619262,fdi1
619355,fdo1
619487,tlk0
619528,tlk0
619591,tlk0
619680,tlk0
619835,tlk0
619866,tlk0
619893,qstc
620148,qstc
620441,tlk0+
620480,fdo1
620557,cl00
620574,fdi1
620594,tlk0+
620630,cl00E
620645,blon
620662,blon
620679,cl01
620696,tlk0
620732,cl01E
620747,blof
620764,cl00
620789,tlk1S
620817,thk1
620836,tlk2S
620849,tlk2
620871,cl00E
620886,cl02
620912,tlk0
621038,cl02E
621053,ovl1
621070,cl03
621095,fdo1
621115,cl03F
621132,fdi1
621160,tlk0
621196,tlk0
621224,pas0
621242,tlk0
621309,qstc
621340,tlk0
621373,tlk0
621563,tlk0
621599,tlk0
621659,tlk0
621748,tlk0
621856,tlk0
621939,tlk0
622637,qstc
623051,thk0
623079,tlk0
623122,pas0
623140,qstc
623177,tlk0
623358,tlk0
623560,fdo1
623640,fdi1
623660,st01
623864,fdo1
623944,fdi1
623964,st01
624168,fdo1
624248,fdi1
624268,st01
624503,tlk0
624567,tlk0
624663,qstc
624700,tlk0
624967,tlk0
625016,tlk0
625190,tlk0
625247,fdo1
625267,fdi1
625287,tlk0
625315,pas0
625338,qstc
625475,qstc
625724,fdo1
625744,fdi1
625776,ino0
625795,qstc
625832,tlk0
625888,fdo1
625908,fdi1
625956,tlk1S
625969,tlk1
625987,ino0
626004,ino0
626053,fdo1
626073,fdi1
626121,tlk1S
626134,tlk1
626152,ino0
626169,ino0
626199,tlk0
626222,tlk1S
626235,tlk1
626253,ino0
626270,ino0
626496,fdo1
626595,fdi1
626824,fdo1
626923,fdi1
627152,fdo1
627251,fdi1
627480,fdo1
627579,fdi1
627723,tlk0
627758,tlk0
627840,pas0
627871,tlk0
627906,tlk0
627929,qstc
627955,tlk0
628143,tlk0
628179,tlk0
628207,tlk1S
628256,tlk0
628287,tlk1S
628300,tlk1
628322,tlk0
628359,tlk0
