index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Sentinel Crab,16385,264,00 00 00 00 00 00 00 00 00 00 00 00 01 40 08 01
2,64,Sentinel Crab,16386,264,00 00 00 00 00 00 00 00 00 00 00 00 02 40 08 01
3,96,Sentinel Crab,16387,264,00 00 00 00 00 00 00 00 00 00 00 00 03 40 08 01
4,128,Sentinel Crab,16388,264,00 00 00 00 00 00 00 00 00 00 00 00 04 40 08 01
5,160,Sentinel Crab,16389,264,00 00 00 00 00 00 00 00 00 00 00 00 05 40 08 01
6,192,Sentinel Crab,16390,264,00 00 00 00 00 00 00 00 00 00 00 00 06 40 08 01
7,224,Sentinel Crab,16391,264,00 00 00 00 00 00 00 00 00 00 00 00 07 40 08 01
8,256,Sentinel Crab,16392,264,00 00 00 00 00 00 00 00 00 00 00 00 08 40 08 01
9,288,Nahn,16393,264,00 00 00 00 00 00 00 00 00 00 00 00 09 40 08 01
10,320,Karkinos,16394,264,00 00 00 00 00 00 00 00 00 00 00 00 0a 40 08 01
11,352,Veld Clionid,16395,264,00 00 00 00 00 00 00 00 00 00 00 00 0b 40 08 01
12,384,Veld Clionid,16396,264,00 00 00 00 00 00 00 00 00 00 00 00 0c 40 08 01
13,416,Veld Clionid,16397,264,00 00 00 00 00 00 00 00 00 00 00 00 0d 40 08 01
14,448,Veld Clionid,16398,264,00 00 00 00 00 00 00 00 00 00 00 00 0e 40 08 01
15,480,Veld Clionid,16399,264,00 00 00 00 00 00 00 00 00 00 00 00 0f 40 08 01
16,512,Veld Clionid,16400,264,00 00 00 00 00 00 00 00 00 00 00 00 10 40 08 01
17,544,Veld Clionid,16401,264,00 00 00 00 00 00 00 00 00 00 00 00 11 40 08 01
18,576,Veld Clionid,16402,264,00 00 00 00 00 00 00 00 00 00 00 00 12 40 08 01
19,608,Veld Clionid,16403,264,00 00 00 00 00 00 00 00 00 00 00 00 13 40 08 01
20,640,Veld Clionid,16404,264,00 00 00 00 00 00 00 00 00 00 00 00 14 40 08 01
21,672,Veld Clionid,16405,264,00 00 00 00 00 00 00 00 00 00 00 00 15 40 08 01
22,704,Veld Clionid,16406,264,00 00 00 00 00 00 00 00 00 00 00 00 16 40 08 01
23,736,Veld Clionid,16407,264,00 00 00 00 00 00 00 00 00 00 00 00 17 40 08 01
24,768,Veld Clionid,16408,264,00 00 00 00 00 00 00 00 00 00 00 00 18 40 08 01
25,800,Veld Clionid,16409,264,00 00 00 00 00 00 00 00 00 00 00 00 19 40 08 01
26,832,Veld Clionid,16410,264,00 00 00 00 00 00 00 00 00 00 00 00 1a 40 08 01
27,864,Veld Clionid,16411,264,00 00 00 00 00 00 00 00 00 00 00 00 1b 40 08 01
28,896,Veld Clionid,16412,264,00 00 00 00 00 00 00 00 00 00 00 00 1c 40 08 01
29,928,Veld Clionid,16413,264,00 00 00 00 00 00 00 00 00 00 00 00 1d 40 08 01
30,960,Veld Clionid,16414,264,00 00 00 00 00 00 00 00 00 00 00 00 1e 40 08 01
31,992,Veld Clionid,16415,264,00 00 00 00 00 00 00 00 00 00 00 00 1f 40 08 01
32,1024,Veld Clionid,16416,264,00 00 00 00 00 00 00 00 00 00 00 00 20 40 08 01
33,1056,Veld Clionid,16417,264,00 00 00 00 00 00 00 00 00 00 00 00 21 40 08 01
34,1088,Ephemeral Clioni,16418,264,64 00 00 00 00 00 00 00 00 00 00 00 22 40 08 01
35,1120,Gigadaphnia,16419,264,00 00 00 00 00 00 00 00 00 00 00 00 23 40 08 01
36,1152,Gigadaphnia,16420,264,00 00 00 00 00 00 00 00 00 00 00 00 24 40 08 01
37,1184,Gigadaphnia,16421,264,00 00 00 00 00 00 00 00 00 00 00 00 25 40 08 01
38,1216,Gigadaphnia,16422,264,00 00 00 00 00 00 00 00 00 00 00 00 26 40 08 01
39,1248,Gigadaphnia,16423,264,00 00 00 00 00 00 00 00 00 00 00 00 27 40 08 01
40,1280,Gigadaphnia,16424,264,00 00 00 00 00 00 00 00 00 00 00 00 28 40 08 01
41,1312,Gigadaphnia,16425,264,00 00 00 00 00 00 00 00 00 00 00 00 29 40 08 01
42,1344,Gigadaphnia,16426,264,00 00 00 00 00 00 00 00 00 00 00 00 2a 40 08 01
43,1376,Gigadaphnia,16427,264,00 00 00 00 00 00 00 00 00 00 00 00 2b 40 08 01
44,1408,Gigadaphnia,16428,264,00 00 00 00 00 00 00 00 00 00 00 00 2c 40 08 01
45,1440,Gigadaphnia,16429,264,00 00 00 00 00 00 00 00 00 00 00 00 2d 40 08 01
46,1472,Gigadaphnia,16430,264,00 00 00 00 00 00 00 00 00 00 00 00 2e 40 08 01
47,1504,Gigadaphnia,16431,264,00 00 00 00 00 00 00 00 00 00 00 00 2f 40 08 01
48,1536,Gigadaphnia,16432,264,00 00 00 00 00 00 00 00 00 00 00 00 30 40 08 01
49,1568,Gigadaphnia,16433,264,00 00 00 00 00 00 00 00 00 00 00 00 31 40 08 01
50,1600,Gigadaphnia,16434,264,00 00 00 00 00 00 00 00 00 00 00 00 32 40 08 01
51,1632,Gigadaphnia,16435,264,00 00 00 00 00 00 00 00 00 00 00 00 33 40 08 01
52,1664,Gigadaphnia,16436,264,00 00 00 00 00 00 00 00 00 00 00 00 34 40 08 01
53,1696,Gigadaphnia,16437,264,00 00 00 00 00 00 00 00 00 00 00 00 35 40 08 01
54,1728,Gigadaphnia,16438,264,00 00 00 00 00 00 00 00 00 00 00 00 36 40 08 01
55,1760,Gigadaphnia,16439,264,00 00 00 00 00 00 00 00 00 00 00 00 37 40 08 01
56,1792,Ephemeral Limule,16440,264,00 00 00 00 00 00 00 00 00 00 00 00 38 40 08 01
57,1824,Plateau Hare,16441,264,00 00 00 00 00 00 00 00 00 00 00 00 39 40 08 01
58,1856,Plateau Hare,16442,264,00 00 00 00 00 00 00 00 00 00 00 00 3a 40 08 01
59,1888,Plateau Hare,16443,264,00 00 00 00 00 00 00 00 00 00 00 00 3b 40 08 01
60,1920,Plateau Hare,16444,264,00 00 00 00 00 00 00 00 00 00 00 00 3c 40 08 01
61,1952,Plateau Hare,16445,264,00 00 00 00 00 00 00 00 00 00 00 00 3d 40 08 01
62,1984,Plateau Hare,16446,264,00 00 00 00 00 00 00 00 00 00 00 00 3e 40 08 01
63,2016,Plateau Hare,16447,264,00 00 00 00 00 00 00 00 00 00 00 00 3f 40 08 01
64,2048,Plateau Hare,16448,264,00 00 00 00 00 00 00 00 00 00 00 00 40 40 08 01
65,2080,Plateau Hare,16449,264,00 00 00 00 00 00 00 00 00 00 00 00 41 40 08 01
66,2112,Plateau Hare,16450,264,00 00 00 00 00 00 00 00 00 00 00 00 42 40 08 01
67,2144,Plateau Hare,16451,264,00 00 00 00 00 00 00 00 00 00 00 00 43 40 08 01
68,2176,Plateau Hare,16452,264,00 00 00 00 00 00 00 00 00 00 00 00 44 40 08 01
69,2208,Plateau Hare,16453,264,00 00 00 00 00 00 00 00 00 00 00 00 45 40 08 01
70,2240,Plateau Hare,16454,264,00 00 00 00 00 00 00 00 00 00 00 00 46 40 08 01
71,2272,Plateau Hare,16455,264,00 00 00 00 00 00 00 00 00 00 00 00 47 40 08 01
72,2304,Plateau Hare,16456,264,00 00 00 00 00 00 00 00 00 00 00 00 48 40 08 01
73,2336,Plateau Hare,16457,264,00 00 00 00 00 00 00 00 00 00 00 00 49 40 08 01
74,2368,Plateau Hare,16458,264,00 00 00 00 00 00 00 00 00 00 00 00 4a 40 08 01
75,2400,Plateau Hare,16459,264,00 00 00 00 00 00 00 00 00 00 00 00 4b 40 08 01
76,2432,Ephemeral Clioni,16460,264,64 00 00 00 00 00 00 00 00 00 00 00 4c 40 08 01
77,2464,Angler Tiger,16461,264,00 00 00 00 00 00 00 00 00 00 00 00 4d 40 08 01
78,2496,Angler Tiger,16462,264,00 00 00 00 00 00 00 00 00 00 00 00 4e 40 08 01
79,2528,Angler Tiger,16463,264,00 00 00 00 00 00 00 00 00 00 00 00 4f 40 08 01
80,2560,Angler Tiger,16464,264,00 00 00 00 00 00 00 00 00 00 00 00 50 40 08 01
81,2592,Angler Tiger,16465,264,00 00 00 00 00 00 00 00 00 00 00 00 51 40 08 01
82,2624,Angler Tiger,16466,264,00 00 00 00 00 00 00 00 00 00 00 00 52 40 08 01
83,2656,Angler Tiger,16467,264,00 00 00 00 00 00 00 00 00 00 00 00 53 40 08 01
84,2688,Angler Tiger,16468,264,00 00 00 00 00 00 00 00 00 00 00 00 54 40 08 01
