npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
649,???,33419,264,1,294760,294812,79.97,79.98,79.99,25,7997,7998,7999,7997 7999 7998 215 771825664 1853882424 2147483632 -258375679
679,"Disserond, R.K.",33464,264,15,209500,209664,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
680,"Gray Colossus, L",33465,264,15,217572,217736,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
681,"Luhk Leotih, M.C",33466,264,15,225644,225808,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
686,"Moana, C.A.",33471,264,1,233716,233736,1.23,0.04,71.78,30,123,4,7178,123 7178 4 0 7191 1 7192 2
696,Ramblix,33482,264,2,3508,3632,77.0,0.6,2.0,70,7700,60,200,7700 200 60 485 1107369984 -266469342 1249902591 2147483632
715,Zeid,33501,264,77,46020,46072,-1650.8,10.78,-598.69,110,-165080,1078,-59869,-165080 -59869 1078 561 37264 -1553 3114 -325348
720,Rainer,33506,264,34,45828,45984,-398.24,0.74,0.3,70,-39824,74,30,-39824 30 74 0 36 3276800 16785280 58720896
723,Scraggy Gigas,33509,264,48,67904,68020,-202.33,6.42,6.43,90,-20233,642,643,-20233 643 642 114 2228224 -524241 -127107073 8388607
727,???,33513,264,129,68812,68952,594.58,-390.27,839.31,100,59458,-39027,83931,59458 83931 -39027 3295 68306 74785 -39754 1334
728,Louvairausse,33514,264,59,70580,70684,-595.98,1.44,11.77,90,-59598,144,1177,-59598 1177 144 2 -273294 -154211 -39956 3
729,hei02,33515,264,43,71020,71152,-394.08,3.48,0.02,90,-39408,348,2,-39408 2 348 222 788537856 -2048 -496513 -2147450881
730,hei03,33516,264,36,71392,71516,-1602.12,3.48,-391.86,80,-160212,348,-39186,-160212 -39186 348 209 788537856 -2048 -496513 -2147450881
742,hei15,33528,264,49,74496,74596,-1821.92,22.96,-399.61,80,-182192,2296,-39961,-182192 -39961 2296 102 788537856 -2048 -496513 -2147450881
743,onoA,33529,264,124,74716,74840,-1839.46,22.98,-400.27,110,-183946,2298,-40027,-183946 -40027 2298 1047 158516 -182208 889 155396
744,onoB,33530,264,117,75108,75232,-1815.88,22.98,-398.2,95,-181588,2298,-39820,-181588 -39820 2298 1047 -276534 -166225 -40111 158162
745,onoC,33531,264,79,75564,75672,-1779.02,22.98,-398.6,95,-177902,2298,-39860,-177902 -39860 2298 1047 211238 -192612 359 164119
746,onoD,33532,264,77,75872,75984,-1800.71,22.98,-397.06,110,-180071,2298,-39706,-180071 -39706 2298 1047 157434 -178016 900 208391
747,tueA,33533,264,84,76208,76336,-397.06,10.47,10.49,120,-39706,1047,1049,-39706 1049 1047 2298 156607 -184708 726 173682
748,tueB,33534,264,100,76588,76716,-398.69,10.47,10.49,120,-39869,1047,1049,-39869 1049 1047 2298 157434 -178016 900 181390
749,tueC,33535,264,86,77008,77132,-398.6,10.47,10.49,120,-39860,1047,1049,-39860 1049 1047 2298 157434 -178016 900 145762
750,tueD,33536,264,69,77360,77484,-400.27,10.47,10.49,120,-40027,1047,1049,-40027 1049 1047 2298 156448 -182106 894 167544
751,Cait Sith Seachd,33543,264,87,78740,78832,-1752.37,25.21,-604.67,80,-175237,2521,-60467,-175237 -60467 2521 2 5 120 240 3
760,Gyari1,33552,264,38,80464,80548,-1947.33,0.05,2.3,110,-194733,5,230,-194733 230 5 2889 150345 -182384 311 118
761,Gyari2,33553,264,46,80944,81036,1503.45,3.11,-1823.84,80,150345,311,-182384,150345 -182384 311 88 2228224 -524241 -127107073 8388607
762,Gyari3,33554,264,29,80960,81036,1503.45,3.11,-1823.84,80,150345,311,-182384,150345 -182384 311 88 2228224 -524241 -127107073 8388607
763,Gyari4,33555,264,52,81140,81232,963.49,-85.39,-1822.78,95,96349,-8539,-182278,96349 -182278 -8539 642 2302 322933 -134049 600
764,Gken1,33556,264,41,81456,81552,1500.22,1.38,-1845.63,80,150022,138,-184563,150022 -184563 138 104 2228224 -524241 -127107073 8388607
765,Gken2,33557,264,43,81672,81772,1495.6,-0.85,-1860.75,80,149560,-85,-186075,149560 -186075 -85 104 2228224 -524241 -127107073 8388607
766,Gken3,33558,264,23,81892,81976,1043.51,-65.3,-1807.26,95,104351,-6530,-180726,104351 -180726 -6530 2 150599 -179961 526 104
767,Gken4,33559,264,36,82112,82200,1027.78,-67.26,-1795.03,110,102778,-6726,-179503,102778 -179503 -6726 642 2303 2 103 2228224
769,Leuonard,33561,264,18,82576,82652,1184.67,-199.99,-1970.68,80,118467,-19999,-197068,118467 -197068 -19999 80 129856 -201233 -20237 155307
775,sensya,33568,264,26,84000,84156,5.25,2.55,0.19,-5,525,255,19,525 19 255 12 1 59813 -522465 -1579
795,Altennia,33588,264,106,158636,158804,21.0,0.01,0.0,70,2100,1,0,2100 0 1 128 233482 -195752 96 123548
796,Phillieulais,33589,264,256,159160,159344,1192.71,0.29,-190.77,75,119271,29,-19077,119271 -19077 29 60 87320 124286 -19835 98552
797,Gissenne,33590,264,79,160020,160100,28.0,0.02,13.23,50,2800,2,1323,2800 1323 2 75 3276800 16785280 58720896 1241587584
798,01,33591,264,16,160032,160100,28.0,0.02,13.23,50,2800,2,1323,2800 1323 2 75 3276800 16785280 58720896 1241587584
799,02,33592,264,18,160192,160256,0.59,0.02,13.23,50,59,2,1323,59 1323 2 73 3276800 16785280 58720896 1241587584
800,03,33593,264,17,160348,160408,-2.47,0.02,13.23,70,-247,2,1323,-247 1323 2 65 3276800 16785280 58720896 1241587584
801,04,33594,264,20,160492,160556,-5.51,0.02,13.23,70,-551,2,1323,-551 1323 2 68 3276800 16785280 58720896 1241587584
802,03,33595,264,16,160640,160744,-6.39,0.02,0.43,70,-639,2,43,-639 43 2 135 2228224 -524241 -127107073 8388607
803,04,33596,264,16,160896,161000,-5.62,0.02,0.43,70,-562,2,43,-562 43 2 135 2228224 -524241 -127107073 8388607
804,Excenmille,33597,264,368,161152,161276,-196.65,0.01,0.0,85,-19665,1,0,-19665 0 1 128 100458 133608 -20249 122018
806,Klythios,33599,264,93,161824,161928,-200.0,0.01,0.0,85,-20000,1,0,-20000 0 1 128 112324 103411 -19557 141227
807,Scraggy Gigas,33600,264,18,162116,162156,1236.98,-198.73,1531.21,75,123698,-19873,153121,123698 153121 -19873 40 128487 166363 -20202 37
808,Ungainly Gigas,33601,264,25,162228,162340,1193.87,-200.0,1588.08,75,119387,-20000,158808,119387 158808 -20000 40 128487 166363 -20202 0
809,03,33602,264,16,162300,162340,1193.87,-200.0,1588.08,75,119387,-20000,158808,119387 158808 -20000 40 128487 166363 -20202 0
812,A,33605,264,19,162484,162656,79.23,1.2,0.0,35,7923,120,0,7923 0 120 200 27 -324783 149837 -100157
813,Orcish Bloodlett,33606,264,31,162540,162728,1297.37,18.63,-997.15,75,129737,1863,-99715,129737 -99715 1863 41 402 7969 7970 30
814,Compressed Snow,33608,264,4,162572,162728,1297.37,18.63,-997.15,75,129737,1863,-99715,129737 -99715 1863 41 402 7969 7970 30
826,Lilisette,33620,264,1277,4335,4515,384.0,115.2,38.4,80,38400,11520,3840,38400 3840 11520 1280 5120 118784 0 0
827,Portia,33621,264,527,205300,205352,295.51,0.0,0.0,70,29551,0,0,29551 0 0 181 0 -2147090401 -2146926585 527368479
830,Larzos,33624,264,208,205244,205352,295.51,0.0,0.0,70,29551,0,0,29551 0 0 181 0 -2147090401 -2146926585 527368479
831,Cait Sith Ceithi,33625,264,458,205264,205352,295.51,0.0,0.0,70,29551,0,0,29551 0 0 181 0 -2147090401 -2146926585 527368479
833,Aquila,33627,264,50,4319,4475,307.2,153.6,325.12,65,30720,15360,32512,30720 32512 15360 256 37888 7680 46080 29440
835,Vestillet,33629,264,120,206812,206948,643.34,-399.81,601.88,70,64334,-39981,60188,64334 60188 -39981 3 11 217 2 13
836,Noillurie,33630,264,82,207176,207264,666.81,-394.72,793.61,90,66681,-39472,79361,66681 79361 -39472 93 2228224 -524241 -127107073 8388607
847,Akadaemon,33641,264,75,208696,208792,-628.2,0.01,0.0,90,-62820,1,0,-62820 0 1 128 102 -1241513984 8388608 -2147417930
849,Bukadaemon2,33643,264,15,209056,209232,22.71,0.52,22.55,70,2271,52,2255,2271 2255 52 18 -1241513984 8388608 -2147417930 33601024
850,P1,33644,264,41,209196,209232,22.71,0.52,22.55,70,2271,52,2255,2271 2255 52 18 -1241513984 8388608 -2147417930 33601024
854,Lady Lilith,33648,264,125,4299,4475,307.2,153.6,325.12,65,30720,15360,32512,30720 32512 15360 256 37888 7680 46080 29440
855,Regal Pawprints,33649,264,1,239176,239244,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 8608 8609
856,Regal Pawprints,33650,264,1,255604,255672,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 8608 8609
857,Gate Sentry,33651,264,1,273160,273268,80.47,80.48,0.11,50,8047,8048,11,8047 11 8048 302 1107369984 595591197 2162720 54657312
861,Allied Commissar,33655,264,208,272032,272172,0.82,-336.46,667.52,105,82,-33646,66752,82 66752 -33646 573 83 -192613 -281066 -40000
868,Watchful Pixie,33662,264,1,295044,295152,0.1,86.33,86.32,45,10,8633,8632,10 8632 8633 999 201 8634 101 202
869,Jubilant Pixie,33663,264,1,296364,296416,0.1,185.05,86.43,65,10,18505,8643,10 8643 18505 2 18764 3 18870 4
871,Survival Guide,33665,264,2,298816,298948,-0.02,87.3,87.15,50,-2,8730,8715,-2 8715 8730 26 27 8729 8 15
