npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
599,???,37464,264,1,234156,234208,81.09,81.1,81.11,25,8109,8110,8111,8109 8111 8110 215 771825664 1853882424 2147483632 -258375679
627,"Estaud, R.K.",37507,264,15,132468,132632,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
628,"Timid Scorpion,",37508,264,15,140540,140704,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
629,"Yimi Jomkeh, M.C",37509,264,15,148612,148776,640.24,5.32,-320.98,120,64024,532,-32098,64024 -32098 532 566 63861 -35340 374 2736
634,"Sleiney, C.A.",37514,264,1,156684,156704,1.23,0.04,70.77,30,123,4,7077,123 7077 4 0 7090 1 7091 2
636,Zvahl Portcullis,37516,264,1,419744,419760,0.08,0.01,77.07,15,8,1,7707,8 7707 1 0 200 60 19 217
637,Forbidding Porta,37517,264,1,162144,162212,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 8239 8240
646,Spell-worked Sno,37527,264,1,178572,178640,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 8239 8240
647,Excavated Snow,37528,264,1,195000,195068,0.11,5.12,6.4,25,11,512,640,11 640 512 670 671 672 8239 8240
648,Ramblix,37529,264,2,4592,4716,77.0,0.6,2.0,70,7700,60,200,7700 200 60 485 1107369984 -266469342 1249902591 2147483632
650,???,37531,264,72,5220,5372,1.0,0.05,22.53,15,100,5,2253,100 2253 5 2 3 266 12255232 143873920
656,Five Moons,37537,264,36,43136,43268,1643.6,11.6,-613.08,95,164360,1160,-61308,164360 -61308 1160 30 150666 -60600 1003 13
657,???,37538,264,120,43216,43268,1643.6,11.6,-613.08,95,164360,1160,-61308,164360 -61308 1160 30 150666 -60600 1003 13
658,Heiner,37539,264,36,43448,43556,-327.02,0.9,11.14,105,-32702,90,1114,-32702 1114 90 243 146668 -60206 1011 154393
659,Prien,37540,264,74,43712,43756,-598.83,0.3,9.97,105,-59883,30,997,-59883 997 30 1298 78 -134114816 8388607 -523886
660,Stefan,37541,264,42,43856,43892,-607.09,0.3,10.03,90,-60709,30,1003,-60709 1003 30 37 -134114816 8388607 -523886 838893567
662,Slumbering Savag,37543,264,51,44040,44144,12.09,-351.93,1398.16,95,1209,-35193,139816,1209 139816 -35193 1144 98 -134114816 8388607 -523886
665,Marcus,37546,264,16,44684,44868,1487.08,9.97,-598.83,95,148708,997,-59883,148708 -59883 997 40 148143 -5584 9038 2261
666,Klara,37547,264,170,43424,43556,-327.02,0.9,11.14,105,-32702,90,1114,-32702 1114 90 243 146668 -60206 1011 154393
667,Zeid,37548,264,150,43492,43556,-327.02,0.9,11.14,105,-32702,90,1114,-32702 1114 90 243 146668 -60206 1011 154393
675,Leuonard,37556,264,85,59671,59791,30.72,69.12,691.2,80,3072,6912,69120,3072 69120 6912 512 53760 7424 17920 25344
676,Oliverain,37557,264,68,60028,60200,201.87,0.24,0.1,50,20187,24,10,20187 10 24 5 203 2228224 -524241 -127107073
677,kisiC,37558,264,68,60411,60539,30.72,69.12,642.56,65,3072,6912,64256,3072 64256 6912 1024 53760 697344 113396480 -50823424
678,Dissaud,37559,264,85,60424,60584,187.3,0.24,0.1,70,18730,24,10,18730 10 24 203 2228224 -524241 -127107073 8388607
679,Ganathein,37560,264,83,60804,60984,209.14,0.24,0.1,50,20914,24,10,20914 10 24 11 232 2228224 -524241 -127107073
687,???,37568,264,21,64728,64816,29.12,0.05,14.33,50,2912,5,1433,2912 1433 5 10 63488 315785 644 1771
692,Alpho2,37573,264,12,66648,66712,1772.94,-273.48,1596.19,80,177294,-27348,159619,177294 159619 -27348 79 788537856 -2048 -496513 -2147450881
