index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Dread Dragon,45057,264,00 00 00 00 00 00 00 00 00 00 00 00 01 b0 08 01
2,64,Spotter,45058,264,00 00 00 00 00 00 00 00 00 00 00 00 02 b0 08 01
3,96,Dread Dragon,45059,264,00 00 00 00 00 00 00 00 00 00 00 00 03 b0 08 01
4,128,Spotter,45060,264,00 00 00 00 00 00 00 00 00 00 00 00 04 b0 08 01
5,160,Dread Dragon,45061,264,00 00 00 00 00 00 00 00 00 00 00 00 05 b0 08 01
6,192,Spotter,45062,264,00 00 00 00 00 00 00 00 00 00 00 00 06 b0 08 01
7,224,Darokbok of Clan,45063,264,20 52 65 61 70 65 72 00 00 00 00 00 07 b0 08 01
8,256,Jagidbod of Clan,45064,264,20 52 65 61 70 65 72 00 00 00 00 00 08 b0 08 01
9,288,Derakbak of Clan,45065,264,20 57 6f 6c 66 00 00 00 00 00 00 00 09 b0 08 01
10,320,Reaper Clan Warm,45066,264,61 63 68 69 6e 65 00 00 00 00 00 00 0a b0 08 01
11,352,Wolf Clan Warmac,45067,264,68 69 6e 65 00 00 00 00 00 00 00 00 0b b0 08 01
12,384,Orc's Wyvern,45068,264,00 00 00 00 00 00 00 00 00 00 00 00 0c b0 08 01
13,416,Darokbok of Clan,45069,264,20 52 65 61 70 65 72 00 00 00 00 00 0d b0 08 01
14,448,Jagidbod of Clan,45070,264,20 52 65 61 70 65 72 00 00 00 00 00 0e b0 08 01
15,480,Derakbak of Clan,45071,264,20 57 6f 6c 66 00 00 00 00 00 00 00 0f b0 08 01
16,512,Reaper Clan Warm,45072,264,61 63 68 69 6e 65 00 00 00 00 00 00 10 b0 08 01
17,544,Wolf Clan Warmac,45073,264,68 69 6e 65 00 00 00 00 00 00 00 00 11 b0 08 01
18,576,Orc's Wyvern,45074,264,00 00 00 00 00 00 00 00 00 00 00 00 12 b0 08 01
19,608,Darokbok of Clan,45075,264,20 52 65 61 70 65 72 00 00 00 00 00 13 b0 08 01
20,640,Jagidbod of Clan,45076,264,20 52 65 61 70 65 72 00 00 00 00 00 14 b0 08 01
21,672,Derakbak of Clan,45077,264,20 57 6f 6c 66 00 00 00 00 00 00 00 15 b0 08 01
22,704,Reaper Clan Warm,45078,264,61 63 68 69 6e 65 00 00 00 00 00 00 16 b0 08 01
23,736,Wolf Clan Warmac,45079,264,68 69 6e 65 00 00 00 00 00 00 00 00 17 b0 08 01
24,768,Orc's Wyvern,45080,264,00 00 00 00 00 00 00 00 00 00 00 00 18 b0 08 01
25,800,Maat,45081,264,00 00 00 00 00 00 00 00 00 00 00 00 19 b0 08 01
26,832,Maat,45082,264,00 00 00 00 00 00 00 00 00 00 00 00 1a b0 08 01
27,864,Maat,45083,264,00 00 00 00 00 00 00 00 00 00 00 00 1b b0 08 01
28,896,Maat,45084,264,00 00 00 00 00 00 00 00 00 00 00 00 1c b0 08 01
29,928,Maat,45085,264,00 00 00 00 00 00 00 00 00 00 00 00 1d b0 08 01
30,960,Maat,45086,264,00 00 00 00 00 00 00 00 00 00 00 00 1e b0 08 01
31,992,Maat,45087,264,00 00 00 00 00 00 00 00 00 00 00 00 1f b0 08 01
32,1024,Maat,45088,264,00 00 00 00 00 00 00 00 00 00 00 00 20 b0 08 01
33,1056,Maat,45089,264,00 00 00 00 00 00 00 00 00 00 00 00 21 b0 08 01
34,1088,Sniper Pugil,45090,264,00 00 00 00 00 00 00 00 00 00 00 00 22 b0 08 01
35,1120,Archer Pugil,45091,264,00 00 00 00 00 00 00 00 00 00 00 00 23 b0 08 01
36,1152,Archer Pugil,45092,264,00 00 00 00 00 00 00 00 00 00 00 00 24 b0 08 01
37,1184,Armoury Crate,45093,264,00 00 00 00 00 00 00 00 00 00 00 00 25 b0 08 01
38,1216,Sniper Pugil,45094,264,00 00 00 00 00 00 00 00 00 00 00 00 26 b0 08 01
39,1248,Archer Pugil,45095,264,00 00 00 00 00 00 00 00 00 00 00 00 27 b0 08 01
40,1280,Archer Pugil,45096,264,00 00 00 00 00 00 00 00 00 00 00 00 28 b0 08 01
41,1312,Armoury Crate,45097,264,00 00 00 00 00 00 00 00 00 00 00 00 29 b0 08 01
42,1344,Sniper Pugil,45098,264,00 00 00 00 00 00 00 00 00 00 00 00 2a b0 08 01
43,1376,Archer Pugil,45099,264,00 00 00 00 00 00 00 00 00 00 00 00 2b b0 08 01
44,1408,Archer Pugil,45100,264,00 00 00 00 00 00 00 00 00 00 00 00 2c b0 08 01
45,1440,Armoury Crate,45101,264,00 00 00 00 00 00 00 00 00 00 00 00 2d b0 08 01
46,1472,Pilwiz,45102,264,00 00 00 00 00 00 00 00 00 00 00 00 2e b0 08 01
47,1504,Bisan,45103,264,00 00 00 00 00 00 00 00 00 00 00 00 2f b0 08 01
48,1536,Armoury Crate,45104,264,00 00 00 00 00 00 00 00 00 00 00 00 30 b0 08 01
49,1568,Pilwiz,45105,264,00 00 00 00 00 00 00 00 00 00 00 00 31 b0 08 01
50,1600,Bisan,45106,264,00 00 00 00 00 00 00 00 00 00 00 00 32 b0 08 01
51,1632,Armoury Crate,45107,264,00 00 00 00 00 00 00 00 00 00 00 00 33 b0 08 01
52,1664,Pilwiz,45108,264,00 00 00 00 00 00 00 00 00 00 00 00 34 b0 08 01
53,1696,Bisan,45109,264,00 00 00 00 00 00 00 00 00 00 00 00 35 b0 08 01
54,1728,Armoury Crate,45110,264,00 00 00 00 00 00 00 00 00 00 00 00 36 b0 08 01
55,1760,Huntfly,45111,264,00 00 00 00 00 00 00 00 00 00 00 00 37 b0 08 01
56,1792,Houndfly,45112,264,00 00 00 00 00 00 00 00 00 00 00 00 38 b0 08 01
57,1824,Houndfly,45113,264,00 00 00 00 00 00 00 00 00 00 00 00 39 b0 08 01
58,1856,Houndfly,45114,264,00 00 00 00 00 00 00 00 00 00 00 00 3a b0 08 01
59,1888,Houndfly,45115,264,00 00 00 00 00 00 00 00 00 00 00 00 3b b0 08 01
60,1920,Houndfly,45116,264,00 00 00 00 00 00 00 00 00 00 00 00 3c b0 08 01
61,1952,Houndfly,45117,264,00 00 00 00 00 00 00 00 00 00 00 00 3d b0 08 01
