npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
555,Burning Circle,45616,264,6,12352,12448,-644.5,16.08,946.82,70,-64450,1608,94682,-64450 94682 1608 22 3604480 41943424 8389504 25165879
556,Burning Circle,45617,264,4,12416,12564,-335.35,0.0,0.15,90,-33535,0,15,-33535 15 0 1 -405499 -46221 92960 724
557,Burning Circle,45618,264,1,12488,12564,-335.35,0.0,0.15,90,-33535,0,15,-33535 15 0 1 -405499 -46221 92960 724
558,Burning Circle,45619,264,1,12516,12564,-335.35,0.0,0.15,90,-33535,0,15,-33535 15 0 1 -405499 -46221 92960 724
559,Spotter,45624,264,28,12544,12564,-335.35,0.0,0.15,90,-33535,0,15,-33535 15 0 1 -405499 -46221 92960 724
560,Dread Dragon,45625,264,14,12708,12728,-335.35,0.0,0.09,90,-33535,0,9,-33535 9 0 1 -401039 -64904 94874 327
561,Lion,45626,264,55,12828,12924,-684.67,3.23,945.13,90,-68467,323,94513,-68467 94513 323 12 -390454 -69754 94305 13
562,Rochefogne,45627,264,33,13128,13188,-709.23,28.26,941.26,90,-70923,2826,94126,-70923 94126 2826 10 -393455 -72013 94108 45
563,Vauderame,45628,264,16,13524,13552,-733.94,27.87,940.16,90,-73394,2787,94016,-73394 94016 2787 9 -392618 -71302 94107 26
564,Rochefogne,45629,264,3,13612,13680,-335.36,0.0,0.04,35,-33536,0,4,-33536 4 0 1 45 150 36 -496640
565,Vauderame,45630,264,9,13664,13820,77.67,0.0,2.01,90,7767,0,201,7767 201 0 24 -2147465216 -2147400413 2147483632 2147483632
568,Hot Springs,45633,264,1,13800,13888,-647.38,21.05,948.12,105,-64738,2105,94812,-64738 94812 2105 668 20 -2147469568 -2147319807 2063630339
569,Darokbok of Clan,45634,264,6,13860,13888,-647.38,21.05,948.12,105,-64738,2105,94812,-64738 94812 2105 668 20 -2147469568 -2147319807 2063630339
570,Jagidbod of Clan,45635,264,13,13928,13956,-656.53,33.86,947.1,105,-65653,3386,94710,-65653 94710 3386 668 20 -2147469568 -2147319807 2063630339
571,Derakbak of Clan,45636,264,8,13996,14020,-720.13,7.48,940.08,90,-72013,748,94008,-72013 94008 748 11 -2147469568 -2147319807 -16744445 17347141
572,Reaper Clan Warm,45637,264,4,14048,14072,-622.5,2.78,945.98,90,-62250,278,94598,-62250 94598 278 11 -2147469568 -2147319807 -16744445 17347142
573,Wolf Clan Warmac,45638,264,3,14100,14124,-598.78,12.03,947.32,90,-59878,1203,94732,-59878 94732 1203 11 -2147469568 -2147319807 -16744445 17347143
574,Eideialc,45639,264,24,13384,13552,-733.94,27.87,940.16,90,-73394,2787,94016,-73394 94016 2787 9 -392618 -71302 94107 26
584,Ramblix,45650,264,2,14328,14452,77.8,0.6,2.0,70,7780,60,200,7780 200 60 485 1107369984 -266469342 1249902591 2147483632
587,Capacucu,45653,264,12,19884,19924,855.94,36.48,-739.38,70,85594,3648,-73938,85594 -73938 3648 0 1 128 38 90
588,Putori-Tutori,45654,264,12,20048,20088,-1658.55,11.21,-21.75,80,-165855,1121,-2175,-165855 -2175 1121 0 1 128 38 92
589,Kilhwch,45655,264,12,20212,20248,-194.99,-19.09,636.4,105,-19499,-1909,63640,-19499 63640 -1909 1254 0 1 128 38
590,Mieuseloir,45656,264,12,20376,20420,25.88,0.0,37.17,15,2588,0,3717,2588 3717 0 1 128 38 92 20119552
591,Lhu Mhakaracca,45657,264,12,20540,20576,-1521.97,-167.22,203.37,80,-152197,-16722,20337,-152197 20337 -16722 33 0 1 128 38
592,Xonia,45658,264,12,20704,20740,-0.2,79.0,-402.92,105,-20,7900,-40292,-20 -40292 7900 3089 0 1 128 38
593,Fonove,45659,264,12,20868,20912,971.48,0.0,2.08,15,97148,0,208,97148 208 0 1 128 38 92 20119552
594,Dzhau Yaam,45660,264,12,21032,21076,-125.82,0.0,26.57,35,-12582,0,2657,-12582 2657 0 1 128 38 90 3604480
595,Kupalu-Harupalu,45661,264,12,21196,21236,-1024.62,2.16,146.03,25,-102462,216,14603,-102462 14603 216 0 1 128 38 92
596,Noillurie,45662,264,13,21360,21400,-313.37,31.37,-407.16,90,-31337,3137,-40716,-31337 -40716 3137 0 1 128 38 92
597,Umon-Paumon,45663,264,12,21524,21560,-181.34,403.47,119.42,85,-18134,40347,11942,-18134 11942 40347 3027 0 1 128 38
598,Ghebben,45664,264,12,21688,21724,730.06,41.51,-1744.69,75,73006,4151,-174469,73006 -174469 4151 3095 0 1 128 38
599,Elrica,45665,264,12,21852,21888,-195.57,-99.98,324.41,105,-19557,-9998,32441,-19557 32441 -9998 1306 0 1 128 38
600,Terounalivet,45666,264,12,22016,22052,-142.72,-33.08,569.26,105,-14272,-3308,56926,-14272 56926 -3308 1018 0 1 128 38
601,???,45667,264,85,22180,22364,63.7,63.64,63.67,65,6370,6364,6367,6370 6367 6364 685 721664 21069824 41943680 1090519312
602,Atori-Tutori,45668,264,32,23068,23112,-16.24,0.3,0.4,105,-1624,30,40,-1624 40 30 15 1500 -10000 10 80
603,Atori-Tutori,45669,264,38,23300,23360,-1498.87,-259.72,1010.43,80,-149887,-25972,101043,-149887 101043 -25972 44 3276800 16785280 58720896 73600
