index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Pugil,49153,264,00 00 00 00 00 00 00 00 00 00 00 00 01 c0 08 01
2,64,Pugil,49154,264,00 00 00 00 00 00 00 00 00 00 00 00 02 c0 08 01
3,96,Pug Pugil,49155,264,00 00 00 00 00 00 00 00 00 00 00 00 03 c0 08 01
4,128,Giant Pugil,49156,264,00 00 00 00 00 00 00 00 00 00 00 00 04 c0 08 01
5,160,Puffer Pugil,49157,264,00 00 00 00 00 00 00 00 00 00 00 00 05 c0 08 01
6,192,Fodderchief Vokd,49158,264,65 6b 00 00 00 00 00 00 00 00 00 00 06 c0 08 01
7,224,Sureshot Snatgat,49159,264,00 00 00 00 00 00 00 00 00 00 00 00 07 c0 08 01
8,256,Strongarm Zodvad,49160,264,00 00 00 00 00 00 00 00 00 00 00 00 08 c0 08 01
9,288,Warchief Vatgit,49161,264,00 00 00 00 00 00 00 00 00 00 00 00 09 c0 08 01
10,320,Fogweaver Mozzfu,49162,264,7a 7a 00 00 00 00 00 00 00 00 00 00 0a c0 08 01
11,352,Bloody Vrukwuk,49163,264,00 00 00 00 00 00 00 00 00 00 00 00 0b c0 08 01
12,384,Orcish Fodder,49164,264,00 00 00 00 00 00 00 00 00 00 00 00 0c c0 08 01
13,416,Orcish Fodder,49165,264,00 00 00 00 00 00 00 00 00 00 00 00 0d c0 08 01
14,448,Orcish Mesmerize,49166,264,72 00 00 00 00 00 00 00 00 00 00 00 0e c0 08 01
15,480,Orcish Grappler,49167,264,00 00 00 00 00 00 00 00 00 00 00 00 0f c0 08 01
16,512,Spectacled Bats,49168,264,00 00 00 00 00 00 00 00 00 00 00 00 10 c0 08 01
17,544,Spectacled Bats,49169,264,00 00 00 00 00 00 00 00 00 00 00 00 11 c0 08 01
18,576,Orcish Fodder,49170,264,00 00 00 00 00 00 00 00 00 00 00 00 12 c0 08 01
19,608,Orcish Fodder,49171,264,00 00 00 00 00 00 00 00 00 00 00 00 13 c0 08 01
20,640,Orcish Mesmerize,49172,264,72 00 00 00 00 00 00 00 00 00 00 00 14 c0 08 01
21,672,Orcish Grappler,49173,264,00 00 00 00 00 00 00 00 00 00 00 00 15 c0 08 01
22,704,Spectacled Bats,49174,264,00 00 00 00 00 00 00 00 00 00 00 00 16 c0 08 01
23,736,Spectacled Bats,49175,264,00 00 00 00 00 00 00 00 00 00 00 00 17 c0 08 01
24,768,Orcish Stonelaun,49176,264,63 68 65 72 00 00 00 00 00 00 00 00 18 c0 08 01
25,800,Orcish Stonelaun,49177,264,63 68 65 72 00 00 00 00 00 00 00 00 19 c0 08 01
26,832,Orcish Stonelaun,49178,264,63 68 65 72 00 00 00 00 00 00 00 00 1a c0 08 01
27,864,Orcish Grappler,49179,264,00 00 00 00 00 00 00 00 00 00 00 00 1b c0 08 01
28,896,Orcish Fodder,49180,264,00 00 00 00 00 00 00 00 00 00 00 00 1c c0 08 01
29,928,Orcish Mesmerize,49181,264,72 00 00 00 00 00 00 00 00 00 00 00 1d c0 08 01
30,960,Orcish Grappler,49182,264,00 00 00 00 00 00 00 00 00 00 00 00 1e c0 08 01
31,992,Orcish Fodder,49183,264,00 00 00 00 00 00 00 00 00 00 00 00 1f c0 08 01
32,1024,Orcish Mesmerize,49184,264,72 00 00 00 00 00 00 00 00 00 00 00 20 c0 08 01
33,1056,Orcish Grappler,49185,264,00 00 00 00 00 00 00 00 00 00 00 00 21 c0 08 01
34,1088,Orcish Grunt,49186,264,00 00 00 00 00 00 00 00 00 00 00 00 22 c0 08 01
35,1120,Orcish Grunt,49187,264,00 00 00 00 00 00 00 00 00 00 00 00 23 c0 08 01
36,1152,Orcish Fodder,49188,264,00 00 00 00 00 00 00 00 00 00 00 00 24 c0 08 01
37,1184,Orcish Grappler,49189,264,00 00 00 00 00 00 00 00 00 00 00 00 25 c0 08 01
38,1216,Orcish Fodder,49190,264,00 00 00 00 00 00 00 00 00 00 00 00 26 c0 08 01
