npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
381,Teleporter,61828,264,1,2864,2888,73.63,0.01,0.0,30,7363,1,0,7363 0 1 2 3 7366 91 -2147476224
382,Teleporter2,61829,264,1,3008,3024,0.08,73.65,73.64,15,8,7365,7364,8 7364 7365 0 1 2 3 4
385,Dock Lever,61832,264,2,2236,2288,73.36,73.37,0.4,70,7336,7337,40,7336 40 7337 120 4538880 -3968 -3969 1868850815
386,Dock Lever,61833,264,2,2452,2492,73.36,73.37,0.4,90,7336,7337,40,7336 40 7337 95 -1027328 -1015809 1702002687 -262983565
391,Elevator Lever,61838,264,2,2632,2652,73.35,0.01,0.0,90,7335,1,0,7335 0 1 78 -1027328 -1015809 1702002687 -262983565
392,Elevator Lever,61839,264,2,2748,2768,73.35,0.01,0.0,90,7335,1,0,7335 0 1 78 -1027328 -1015809 1702002687 -262983565
397,Mythril Seam,61844,264,3,3176,3252,0.12,74.25,73.76,90,12,7425,7376,12 7376 7425 145 -1029632 -241926145 4718856 2171776
398,Mythril Seam,61845,264,3,3416,3492,0.12,74.25,73.76,90,12,7425,7376,12 7376 7425 145 -1029632 -241860609 4718856 2171776
399,Mythril Seam,61846,264,3,3656,3732,0.12,74.25,73.76,90,12,7425,7376,12 7376 7425 145 -1029632 -241795073 4718856 2171776
400,Mythril Seam,61847,264,3,3896,3972,0.12,74.25,73.76,90,12,7425,7376,12 7376 7425 145 -1029632 -241729537 4718856 2171776
401,Mythril Seam,61848,264,3,4136,4212,0.12,74.25,73.76,90,12,7425,7376,12 7376 7425 145 -1029632 -241664001 4718856 2171776
402,Mythril Seam,61849,264,3,4376,4448,0.12,74.25,73.76,90,12,7425,7376,12 7376 7425 140 -1029632 -241598465 4718856 2171776
403,Mythril Seam,61850,264,3,4604,4680,0.12,74.25,73.76,90,12,7425,7376,12 7376 7425 145 -1029632 -241532929 4718856 2171776
404,Refiner Lever,61851,264,12,4844,4892,73.92,73.91,73.9,25,7392,7391,7390,7392 7390 7391 195 2376192 25166208 140672 8389136
405,Refiner Lever,61852,264,30,5104,5164,73.97,63.84,73.98,90,7397,6384,7398,7397 7398 6384 326 -263568896 -1669332993 604047601 -2147385344
406,Refiner Lid,61853,264,5,5508,5552,73.83,73.84,73.85,65,7383,7384,7385,7383 7385 7384 80 -1029632 -241336321 474743048 33783808
407,Old Toolbox,61854,264,3,5648,5700,0.24,74.02,63.97,90,24,7402,6397,24 6397 7402 150 -1027328 -1015809 1702002687 -262983565
417,Mining Point,61865,264,1,5868,5908,74.21,74.25,74.23,45,7421,7425,7423,7421 7423 7425 80 -261209600 8388607 -1009280 151224319
423,Treasure Chest,61871,264,1,6004,6160,74.49,0.26,0.28,30,7449,26,28,7449 28 26 22 14 7457 0 7458
424,???,61872,264,1,6028,6160,74.49,0.26,0.28,30,7449,26,28,7449 28 26 22 14 7457 0 7458
425,Ramblix,61873,264,2,6104,6228,74.5,0.6,2.0,70,7450,60,200,7450 200 60 485 1107369984 -266469342 1249902591 2147483632
429,Home Point #1,61877,264,1,7592,7716,74.85,0.27,74.92,50,7485,27,7492,7485 7492 27 28 -2 7488 7493 7497
430,Home Point #2,61878,264,1,18160,18284,74.85,0.27,74.92,50,7485,27,7492,7485 7492 27 28 -2 7488 7493 7497
431,Home Point #3,61879,264,1,28728,28852,74.85,0.27,74.92,50,7485,27,7492,7485 7492 27 28 -2 7488 7493 7497
432,Home Point #4,61880,264,1,39296,39420,74.85,0.27,74.92,50,7485,27,7492,7485 7492 27 28 -2 7488 7493 7497
433,Home Point #5,61881,264,1,49864,49988,74.85,0.27,74.92,50,7485,27,7492,7485 7492 27 28 -2 7488 7493 7497
435,Peculiar Fissure,61883,264,14,65892,66076,776.1,-9.0,-317.7,105,77610,-900,-31770,77610 -31770 -900 13 20620 74300 -31900 20480
436,Sirius,61884,264,49,66032,66076,776.1,-9.0,-317.7,105,77610,-900,-31770,77610 -31770 -900 13 20620 74300 -31900 20480
437,Almid,61885,264,57,66172,66216,778.5,-8.0,-319.6,105,77850,-800,-31960,77850 -31960 -800 13 19100 74440 -31890 18510
438,Incensed Pineapp,61886,264,28,66312,66344,201.7,-317.9,810.9,70,20170,-31790,81090,20170 81090 -31790 0 180 31 520093696 25165824
443,Magh Bihu,61891,264,62,83548,83684,-311.49,35.85,31.58,105,-31149,3585,3158,-31149 3158 3585 13 100439 -73571 -31974 93672
444,Dazbog,61892,264,59,84144,84256,231.78,-312.69,-983.34,105,23178,-31269,-98334,23178 -98334 -31269 3159 3586 13 98668 -73544
447,Mine Scorpion,61895,264,8,86508,86544,444.66,-319.06,-1008.98,80,44466,-31906,-100898,44466 -100898 -31906 36 -134114816 8388607 511705116 17363394
