offset,token
1489,res0
1841,fdo1
3456,main
3473,ovl1
3543,whi1
3560,blof
3577,fdi0
3657,fdo1
3674,fdo1
4063,whi1
4080,blof
4205,whi1
4222,blof
4239,fdo1
4256,fdo1l
4791,main
4808,fdi2
5076,fdi2
5112,whi1
5129,blof
5213,fdo1
5230,fdo1
5531,whi1
5548,blof
5640,tlk0
5664,tlk1
6040,sg0w
6088,main
6122,btl0E
6137,sg01
6154,fdi1
6171,sg01
6189,sg02
6225,sg02E
6240,sg03
6301,main
6318,sg04
6356,pop0'
6378,sg05
6395,main
6412,sg05
6430,sg06
6466,sg06E
6481,blon
6498,sg07
6541,blof
6581,sg0w
6629,main
6700,sg0w
6748,main
6771,main
6806,sg0w
6854,main
6894,sg0a
6914,sg0a
6949,sg0b
6969,sg0b
7004,sg0c
7024,sg0c
7077,sg0w
7125,main
7247,ap04
7264,main
7281,fdi1
7298,main+
7321,ap05
7359,ap05E
7374,ap06
7412,ap06E
7427,ap07
7452,ap07E
7467,ap08
7498,ap08
7621,s147
7649,s147E
7664,s148
7681,mnk0
7696,s000
7716,stop
7750,s148E
7765,s149
7792,who0
7809,who0R
7824,s149
7842,whi0
8013,corp7
8037,sg08
8068,sg09
8110,sg09E
8125,sg10
8142,tlb2+
8168,sg11
8249,sg12
8300,thk1+
8329,thk1E
8344,sg13
8361,thk2J
8393,sg13
8437,sg02
8483,deadS
8516,sg02E
8531,sg14
8554,thk1+
8583,thk2+
8606,sg14
8656,corp'
8685,sg18
8705,sg18
8751,sg15
8768,utl0
8807,utl1S
8820,utl1U
8835,sg15E
8850,sg16
8867,ngt0+
8906,sg16E
8921,sg17
8938,ngt1S
8966,bke0
9008,main
9040,sg0m
9060,sg0m
9118,s000
9155,tlk0+
9186,tlk1+
9217,s000E
9232,s001
9295,main
9318,s0017
9342,sg0m
9362,sg0m
9525,sha0
9554,pc00
9581,s150
9604,pc01
9624,s150E
9639,s151
9691,s151E
9706,s152
9767,s152E
9782,s153
9847,s153E
9862,s154
9879,tlk0+
9915,tlk1R
9930,s154E
9945,s155
10007,s155E
10022,s156
10072,s156E
10087,s157
10122,s157E
10137,s158
10178,s158E
10193,s159
10231,s1597
10255,sg0m
10275,sg0m
10293,main
10325,sg0m
10345,sg0mF
10437,ap11
10457,ap11E
10472,ap12
10520,ap13
10537,fdi2
10578,main
10637,ap13E
10652,ap14
10677,pas0S
10690,pas0
10708,tlk1+
10731,ten1S
10744,ten1b
10759,main
10791,sg0m
10811,sg0m
10865,sg0a
10885,main
10932,sg0e
10952,sg0eF
10970,main
10995,sg0e
11015,sg0eF
11106,fdi0
11123,fdi0
11139,fdo0
11156,fdo0
11172,fdi1
11189,fdi1
11205,fdo1
11222,fdo1
11238,whi1
11255,whi1
11271,who1
11288,who1
11304,who2
11321,who2
11337,who3
11354,who3
11370,main
11390,fdo1
11407,fdo1
11423,fdi1
11440,main
11460,fdi1
11476,blon
11493,blon
11511,whi0
11528,whi0
11544,who0
11561,who0
11577,efon
11594,efon
11610,fdis
11628,fdos
11645,fdos
11661,fdif
11679,fdof
11696,fdof
11712,fdip
11730,fdop
11747,fdop
12556,sg19
12573,at01
12591,dam0
12723,btl0
13685,main
14077,main
14299,dead
14324,ap01
14341,fdi2
14374,ap01+
14397,ap02
14452,ap02E
14467,ap03
14543,fdi2
14563,fdi0
14580,fdi0
14596,fdo0
14613,fdo0
14629,fdi1
14646,fdi1
14662,fdo1
14679,fdo1
14695,whi1
14712,whi1
14728,who1
14745,who1
14761,who2
14778,who2
14794,who3
14811,who3
14827,main
14847,fdo1
14864,fdo1
14880,fdi1
14897,main
14917,fdi1
14933,blon
14950,blon
14968,whi0
14985,whi0
15001,who0
15018,who0
15034,efon
15051,efon
15067,fdis
15085,fdos
15102,fdos
15118,fdif
15136,fdof
15153,fdof
15169,fdip
15187,fdop
15204,fdop
15546,main
15614,main
15682,main
15750,main
15794,main
15825,fdo1
16839,jmp0
16857,jmp3
