index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Pugil,4097,265,00 00 00 00 00 00 00 00 00 00 00 00 01 10 09 01
2,64,Pugil,4098,265,00 00 00 00 00 00 00 00 00 00 00 00 02 10 09 01
3,96,Pug Pugil,4099,265,00 00 00 00 00 00 00 00 00 00 00 00 03 10 09 01
4,128,Puffer Pugil,4100,265,00 00 00 00 00 00 00 00 00 00 00 00 04 10 09 01
5,160,Land Pugil,4101,265,00 00 00 00 00 00 00 00 00 00 00 00 05 10 09 01
6,192,Eyy Mon the Iron,4102,265,62 72 65 61 6b 65 72 00 00 00 00 00 06 10 09 01
7,224,Zhuu Buxu the Si,4103,265,6c 65 6e 74 00 00 00 00 00 00 00 00 07 10 09 01
8,256,Yagudo Initiate,4104,265,00 00 00 00 00 00 00 00 00 00 00 00 08 10 09 01
9,288,Yagudo Initiate,4105,265,00 00 00 00 00 00 00 00 00 00 00 00 09 10 09 01
10,320,Yagudo Acolyte,4106,265,00 00 00 00 00 00 00 00 00 00 00 00 0a 10 09 01
11,352,Yagudo Scribe,4107,265,00 00 00 00 00 00 00 00 00 00 00 00 0b 10 09 01
12,384,Giddeus Bee,4108,265,00 00 00 00 00 00 00 00 00 00 00 00 0c 10 09 01
13,416,Giddeus Pugil,4109,265,00 00 00 00 00 00 00 00 00 00 00 00 0d 10 09 01
14,448,Giddeus Pugil,4110,265,00 00 00 00 00 00 00 00 00 00 00 00 0e 10 09 01
15,480,Giddeus Pugil,4111,265,00 00 00 00 00 00 00 00 00 00 00 00 0f 10 09 01
16,512,Yagudo Initiate,4112,265,00 00 00 00 00 00 00 00 00 00 00 00 10 10 09 01
17,544,Yagudo Initiate,4113,265,00 00 00 00 00 00 00 00 00 00 00 00 11 10 09 01
18,576,Yagudo Acolyte,4114,265,00 00 00 00 00 00 00 00 00 00 00 00 12 10 09 01
19,608,Yagudo Scribe,4115,265,00 00 00 00 00 00 00 00 00 00 00 00 13 10 09 01
20,640,Giddeus Bee,4116,265,00 00 00 00 00 00 00 00 00 00 00 00 14 10 09 01
21,672,Giddeus Bee,4117,265,00 00 00 00 00 00 00 00 00 00 00 00 15 10 09 01
