npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
585,Burning Circle,8782,265,1,11756,11920,-335.35,0.0,0.09,90,-33535,0,9,-33535 9 0 1 -134144 -226770 56415 2719
586,Burning Circle,8783,265,1,11784,11920,-335.35,0.0,0.09,90,-33535,0,9,-33535 9 0 1 -134144 -226770 56415 2719
587,Burning Circle,8784,265,1,11812,11920,-335.35,0.0,0.09,90,-33535,0,9,-33535 9 0 1 -134144 -226770 56415 2719
588,Burning Circle,8785,265,1,11840,11920,-335.35,0.0,0.09,90,-33535,0,9,-33535 9 0 1 -134144 -226770 56415 2719
589,Searcher,8790,265,35,11868,11920,-335.35,0.0,0.09,90,-33535,0,9,-33535 9 0 1 -134144 -226770 56415 2719
590,Black Dragon,8791,265,20,11900,11920,-335.35,0.0,0.09,90,-33535,0,9,-33535 9 0 1 -134144 -226770 56415 2719
592,Semih Lafihna,8793,265,43,12252,12300,558.92,1.5,0.0,90,55892,150,0,55892 0 150 36 -496640 -2147450881 838893569 2064386
602,EVENTER,8804,265,31,12380,12540,210.0,-44.55,-419.55,105,21000,-4455,-41955,21000 -41955 -4455 3048 77 3276800 16785280 58720896
603,Kaa Toru the Jus,8805,265,24,12412,12540,210.0,-44.55,-419.55,105,21000,-4455,-41955,21000 -41955 -4455 3048 77 3276800 16785280 58720896
604,Buu Xolo the Blo,8806,265,13,12640,12672,-335.35,2.11,0.16,35,-33535,211,16,-33535 16 211 0 180 200 130 250
605,Ramblix,8807,265,2,13312,13436,76.67,0.6,2.0,70,7667,60,200,7667 200 60 485 1107369984 -266469342 1249902591 2147483632
607,Atori-Tutori,8809,265,31,14800,14844,-16.24,0.3,0.4,105,-1624,30,40,-1624 40 30 15 1500 -10000 10 80
