offset,token
474,fdi1
491,s000
518,s000
568,tlk0+
730,fdo1
747,fdo1F
767,fdi1
800,fdi1
817,s001
863,s0012
891,s002
908,tlk0+
966,fdo1
988,fdi1
1005,qstc
1038,fdi1
1055,s001
1101,s0012
1129,s002
1146,tlk0+
1169,s002E
1184,s003
1226,s003E
1241,s004
1266,tlk0+
1313,s004E
1328,s005
1363,fdo1
1385,fdi2
2473,sgm0
2487,sgm0f
2502,tat0S
2515,tat0E
2530,sbd1
2590,tlk0
2607,tlk0f
2622,ten0U
2663,ten0f
2678,tlk1y
2709,tlk1f
2744,ten1
2905,sgm0
2919,sgm0f
2934,tat0S
2947,tat02
2982,gom0E
2997,sbd2
3030,gom0f
3045,gom1
3059,gom1f
3074,tlk0y
3105,tlk0f
3120,ten0U
3135,sbd2S
3291,fdo0
3308,fdo0F
3333,sbd0
3377,fdi0
3394,sbd0U
3409,fdi0L'
3443,kei0
3461,kei0S
3474,kei0J
3496,kei0J
3592,fdo0
3609,fdo0F
3627,fdi0
4097,tlk0
4124,tlk0
4143,tlk1
4170,tlk0
4256,tlk0
4283,pas0
4313,pas0
4331,tlk0
4365,tlk1
4403,tlk0
4595,tlk0
4650,tlk0
4669,pas0S
4705,tlk0
4724,pas0S
4760,tlk0
4779,pas0S
4849,pas0S
4919,pas0S
4959,pas0S
4989,tlk0
5281,pas0
5724,tlk1
5751,tlk0
5808,pas0
5838,pas0
5856,tlk0
5890,tlk1
5928,tlk0
5981,pas0S
6334,main
6402,main
6470,main
6538,main
6582,main
6613,fdo1
8864,tlk0
8878,tlk0
8894,tlk1
8908,tlk1
9097,s036
9114,fdi1
9134,s0368
9152,ovl1
9169,s037
9197,fdo1
9217,s037N
9245,fdi1
17614,fdo1
