index,offset,name,record_id,record_tag,raw_tail_hex
0,0,none,0,0,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,32,Old Quadav,12289,265,00 00 00 00 00 00 00 00 00 00 00 00 01 30 09 01
2,64,Copper Quadav,12290,265,00 00 00 00 00 00 00 00 00 00 00 00 02 30 09 01
3,96,Copper Quadav,12291,265,00 00 00 00 00 00 00 00 00 00 00 00 03 30 09 01
4,128,Copper Quadav,12292,265,00 00 00 00 00 00 00 00 00 00 00 00 04 30 09 01
5,160,Land Pugil,12293,265,00 00 00 00 00 00 00 00 00 00 00 00 05 30 09 01
6,192,Land Pugil,12294,265,00 00 00 00 00 00 00 00 00 00 00 00 06 30 09 01
7,224,Old Quadav,12295,265,00 00 00 00 00 00 00 00 00 00 00 00 07 30 09 01
8,256,Brass Quadav,12296,265,00 00 00 00 00 00 00 00 00 00 00 00 08 30 09 01
9,288,Land Pugil,12297,265,00 00 00 00 00 00 00 00 00 00 00 00 09 30 09 01
10,320,Old Quadav,12298,265,00 00 00 00 00 00 00 00 00 00 00 00 0a 30 09 01
11,352,Copper Quadav,12299,265,00 00 00 00 00 00 00 00 00 00 00 00 0b 30 09 01
12,384,Copper Quadav,12300,265,00 00 00 00 00 00 00 00 00 00 00 00 0c 30 09 01
13,416,Brass Quadav,12301,265,00 00 00 00 00 00 00 00 00 00 00 00 0d 30 09 01
14,448,Land Pugil,12302,265,00 00 00 00 00 00 00 00 00 00 00 00 0e 30 09 01
15,480,Land Pugil,12303,265,00 00 00 00 00 00 00 00 00 00 00 00 0f 30 09 01
16,512,Old Quadav,12304,265,00 00 00 00 00 00 00 00 00 00 00 00 10 30 09 01
17,544,Copper Quadav,12305,265,00 00 00 00 00 00 00 00 00 00 00 00 11 30 09 01
18,576,Brass Quadav,12306,265,00 00 00 00 00 00 00 00 00 00 00 00 12 30 09 01
19,608,Land Pugil,12307,265,00 00 00 00 00 00 00 00 00 00 00 00 13 30 09 01
20,640,Land Pugil,12308,265,00 00 00 00 00 00 00 00 00 00 00 00 14 30 09 01
21,672,Old Quadav,12309,265,00 00 00 00 00 00 00 00 00 00 00 00 15 30 09 01
22,704,Brass Quadav,12310,265,00 00 00 00 00 00 00 00 00 00 00 00 16 30 09 01
23,736,Bi'Gho Headtaker,12311,265,00 00 00 00 00 00 00 00 00 00 00 00 17 30 09 01
24,768,Ooze,12312,265,00 00 00 00 00 00 00 00 00 00 00 00 18 30 09 01
25,800,Ooze,12313,265,00 00 00 00 00 00 00 00 00 00 00 00 19 30 09 01
26,832,Old Quadav,12314,265,00 00 00 00 00 00 00 00 00 00 00 00 1a 30 09 01
27,864,Copper Quadav,12315,265,00 00 00 00 00 00 00 00 00 00 00 00 1b 30 09 01
28,896,Brass Quadav,12316,265,00 00 00 00 00 00 00 00 00 00 00 00 1c 30 09 01
29,928,Old Quadav,12317,265,00 00 00 00 00 00 00 00 00 00 00 00 1d 30 09 01
30,960,Copper Quadav,12318,265,00 00 00 00 00 00 00 00 00 00 00 00 1e 30 09 01
31,992,Brass Quadav,12319,265,00 00 00 00 00 00 00 00 00 00 00 00 1f 30 09 01
32,1024,Land Pugil,12320,265,00 00 00 00 00 00 00 00 00 00 00 00 20 30 09 01
33,1056,Silver Quadav,12321,265,00 00 00 00 00 00 00 00 00 00 00 00 21 30 09 01
34,1088,Silver Quadav,12322,265,00 00 00 00 00 00 00 00 00 00 00 00 22 30 09 01
35,1120,Garnet Quadav,12323,265,00 00 00 00 00 00 00 00 00 00 00 00 23 30 09 01
36,1152,Garnet Quadav,12324,265,00 00 00 00 00 00 00 00 00 00 00 00 24 30 09 01
37,1184,Zircon Quadav,12325,265,00 00 00 00 00 00 00 00 00 00 00 00 25 30 09 01
38,1216,Zircon Quadav,12326,265,00 00 00 00 00 00 00 00 00 00 00 00 26 30 09 01
39,1248,Bronze Quadav,12327,265,00 00 00 00 00 00 00 00 00 00 00 00 27 30 09 01
40,1280,Bronze Quadav,12328,265,00 00 00 00 00 00 00 00 00 00 00 00 28 30 09 01
41,1312,Old Quadav,12329,265,00 00 00 00 00 00 00 00 00 00 00 00 29 30 09 01
42,1344,Copper Quadav,12330,265,00 00 00 00 00 00 00 00 00 00 00 00 2a 30 09 01
43,1376,Brass Quadav,12331,265,00 00 00 00 00 00 00 00 00 00 00 00 2b 30 09 01
44,1408,Old Quadav,12332,265,00 00 00 00 00 00 00 00 00 00 00 00 2c 30 09 01
45,1440,Copper Quadav,12333,265,00 00 00 00 00 00 00 00 00 00 00 00 2d 30 09 01
46,1472,Brass Quadav,12334,265,00 00 00 00 00 00 00 00 00 00 00 00 2e 30 09 01
47,1504,Caterpillar,12335,265,00 00 00 00 00 00 00 00 00 00 00 00 2f 30 09 01
48,1536,Caterpillar,12336,265,00 00 00 00 00 00 00 00 00 00 00 00 30 30 09 01
49,1568,Caterpillar,12337,265,00 00 00 00 00 00 00 00 00 00 00 00 31 30 09 01
50,1600,Caterpillar,12338,265,00 00 00 00 00 00 00 00 00 00 00 00 32 30 09 01
51,1632,Old Quadav,12339,265,00 00 00 00 00 00 00 00 00 00 00 00 33 30 09 01
52,1664,Copper Quadav,12340,265,00 00 00 00 00 00 00 00 00 00 00 00 34 30 09 01
53,1696,Brass Quadav,12341,265,00 00 00 00 00 00 00 00 00 00 00 00 35 30 09 01
54,1728,Old Quadav,12342,265,00 00 00 00 00 00 00 00 00 00 00 00 36 30 09 01
55,1760,Copper Quadav,12343,265,00 00 00 00 00 00 00 00 00 00 00 00 37 30 09 01
56,1792,Brass Quadav,12344,265,00 00 00 00 00 00 00 00 00 00 00 00 38 30 09 01
57,1824,Caterpillar,12345,265,00 00 00 00 00 00 00 00 00 00 00 00 39 30 09 01
58,1856,Caterpillar,12346,265,00 00 00 00 00 00 00 00 00 00 00 00 3a 30 09 01
59,1888,Caterpillar,12347,265,00 00 00 00 00 00 00 00 00 00 00 00 3b 30 09 01
60,1920,Caterpillar,12348,265,00 00 00 00 00 00 00 00 00 00 00 00 3c 30 09 01
61,1952,Copper Quadav,12349,265,00 00 00 00 00 00 00 00 00 00 00 00 3d 30 09 01
62,1984,Copper Quadav,12350,265,00 00 00 00 00 00 00 00 00 00 00 00 3e 30 09 01
