npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
457,Wall of Dark Art,20944,265,4,1408,1436,0.08,73.71,-698.93,50,8,7371,-69893,8 -69893 7371 0 7372 7368 4 200
459,Wall of Banishin,20946,265,1,1720,1744,73.78,0.01,0.0,50,7378,1,0,7378 0 1 48 268567296 19169280 41943680 140672
461,Sedal-Godjal,20948,265,73,5244,5356,0.01,74.01,73.94,70,1,7401,7394,1 7394 7401 391 -1033472 32767 131073 258
462,Bernal,20950,265,5,5268,5356,0.01,74.01,73.94,70,1,7401,7394,1 7394 7401 391 -1033472 32767 131073 258
465,Howling Pond,20953,265,2,7703,7791,153.6,2.56,240.64,65,15360,256,24064,15360 24064 256 512 768 76800 65792 61440
466,Wailing Pond,20954,265,2,7963,8051,153.6,2.56,240.64,65,15360,256,24064,15360 24064 256 512 768 76800 65792 61440
470,Elevator Lever,20962,265,1,8308,8344,0.02,0.03,73.67,90,2,3,7367,2 7367 3 85 -2147474432 -2147385343 268436005 419463169
471,Elevator Lever,20963,265,1,8448,8484,0.03,0.02,73.66,90,3,2,7366,3 7366 2 85 -2147474432 -2147385343 268436005 419463169
474,Zantaviat,20966,265,9,8588,8760,75.09,75.11,75.1,45,7509,7511,7510,7509 7510 7511 197 -2147476224 268567331 35487745 52241280
478,!,20970,265,1,8976,9152,74.78,74.79,2.2,30,7478,7479,220,7478 220 7479 60 7486 1 7480 7481
489,Jar,20982,265,1,9012,9188,74.83,74.85,74.84,45,7483,7485,7484,7483 7484 7485 228 4538880 -3968 -3969 1868850815
491,Hide Flap,20984,265,2,9036,9188,74.83,74.85,74.84,45,7483,7485,7484,7483 7484 7485 228 4538880 -3968 -3969 1868850815
492,Hide Flap,20985,265,2,9064,9188,74.83,74.85,74.84,45,7483,7485,7484,7483 7484 7485 228 4538880 -3968 -3969 1868850815
494,Village Well,20987,265,1,9116,9188,74.83,74.85,74.84,45,7483,7485,7484,7483 7484 7485 228 4538880 -3968 -3969 1868850815
495,Treasure Chest,20988,265,1,9092,9188,74.83,74.85,74.84,45,7483,7485,7484,7483 7484 7485 228 4538880 -3968 -3969 1868850815
496,Talking Doll,20989,265,2,9432,9536,9.99,-36.48,-1038.63,110,999,-3648,-103863,999 -103863 -3648 990 3589 -103636 -250 3379
497,Rochefogne,20990,265,17,12244,12416,-603.98,31.64,27.49,90,-60398,3164,2749,-60398 2749 3164 13 220009 -53719 1957 219087
498,Vauderame,20991,265,13,12932,13068,-555.2,29.62,25.17,90,-55520,2962,2517,-55520 2517 2962 13 221224 -54135 2156 220582
501,Atarefaunet,20994,265,8,14288,14452,478.44,-239.9,283.68,105,47844,-23990,28368,47844 28368 -23990 3008 462 -2147457536 2147483640 2147483640
502,Monban01,20995,265,8,14936,15108,200.0,20.48,-240.53,105,20000,2048,-24053,20000 -24053 2048 13 48700 -23958 486 -2147457536
503,Lootblox,20996,265,75,17872,18012,78.91,0.6,2.0,70,7891,60,200,7891 200 60 485 1107369984 -266469342 1249902591 2147483632
504,Ramblix,20997,265,2,17888,18012,78.91,0.6,2.0,70,7891,60,200,7891 200 60 485 1107369984 -266469342 1249902591 2147483632
506,GoalPoint,20999,265,1,18516,18592,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376611328 -2147483383 5144576 17388045
507,GoalPoint,21000,265,1,18828,18904,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376676864 -2147483383 5144576 17388046
508,GoalPoint,21001,265,1,19140,19216,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376742400 -2147483383 5144576 17388047
509,GoalPoint,21002,265,1,19452,19528,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376807936 -2147483383 5144576 17388048
510,GoalPoint,21003,265,1,19764,19840,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376873472 -2147483383 5144576 17388049
511,GoalPoint,21004,265,1,20076,20152,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376939008 -2147483383 5144576 17388050
512,Moogle,21005,265,22,18728,18904,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376676864 -2147483383 5144576 17388046
513,Moogle,21006,265,22,19040,19216,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376742400 -2147483383 5144576 17388047
514,Moogle,21007,265,22,19352,19528,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376807936 -2147483383 5144576 17388048
515,Moogle,21008,265,22,19664,19840,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376873472 -2147483383 5144576 17388049
516,Moogle,21009,265,22,19976,20152,79.4,79.42,79.41,45,7940,7942,7941,7940 7941 7942 220 1376939008 -2147483383 5144576 17388050
517,Moogle,21010,265,22,20608,20752,22.59,63.61,43.07,45,2259,6361,4307,2259 4307 6361 3456 255 6371 6368 6365
520,Geomantic Reserv,21013,265,3,21512,21564,360.0,1.8,79.91,65,36000,180,7991,36000 7991 180 1808 169 213504 58720256 -2147483643
521,Survival Guide,21016,265,2,21932,22064,-0.02,80.17,80.02,50,-2,8017,8002,-2 8002 8017 26 27 8016 8 15
