npc_index,name,record_id,record_tag,event_ref_count,event_ref_offset,position_offset,x,y,z,confidence,raw_x,raw_y,raw_z,raw_values
208,Magicite,24791,265,8,4428,4480,-1613.54,-74.57,44.56,95,-161354,-7457,4456,-161354 4456 -7457 3226 240 30 1 201
209,Lion,24792,265,38,8520,8572,-1576.0,-76.11,-40.18,110,-157600,-7611,-4018,-157600 -4018 -7611 2926 13 -159625 4395 -7508
210,Shadow of Darkne,24793,265,25,8716,8852,72.95,72.98,72.97,25,7295,7298,7297,7295 7297 7298 73 3080192 17391833 -1940 25165951
214,Altar,24797,265,4,9128,9248,1090.81,-32.56,-1455.01,95,109081,-3256,-145501,109081 -145501 -3256 2570 125 60 59 -2147469568
217,Francmage,24800,265,23,10412,10536,227.66,29.51,-15.0,105,22766,2951,-1500,22766 -1500 2951 13 35288 -2999 31002 7235
218,Destin,24801,265,20,10384,10536,227.66,29.51,-15.0,105,22766,2951,-1500,22766 -1500 2951 13 35288 -2999 31002 7235
219,Periduque,24802,265,41,11276,11376,-12.92,-30.0,370.61,120,-1292,-3000,37061,-1292 37061 -3000 837 13 -1473 36934 7237
220,Muchavatte,24803,265,41,12292,12428,753.29,31.3,-276.38,105,75329,3130,-27638,75329 -27638 3130 6 -142346 80714 -27713 9
221,Ulrich,24804,265,21,12384,12428,753.29,31.3,-276.38,105,75329,3130,-27638,75329 -27638 3130 6 -142346 80714 -27713 9
222,Francmage,24805,265,56,12536,12576,-1411.57,-278.61,766.26,95,-141157,-27861,76626,-141157 76626 -27861 3187 40 339394 -352374 -1500
223,Iru-Kuiru,24806,265,37,12708,12748,-1418.37,-282.97,699.17,95,-141837,-28297,69917,-141837 69917 -28297 2890 30 40 339759 -354464
224,Rabntah,24807,265,34,12940,12980,-1415.88,-278.83,725.58,95,-141588,-27883,72558,-141588 72558 -27883 3067 10 40 339651 -354912
226,Francmage,24809,265,13,13272,13396,1033.67,-240.34,38.66,75,103367,-24034,3866,103367 3866 -24034 1526 104 3276800 16785280 58720896
227,Courisaille,24810,265,25,13520,13576,967.21,-240.37,215.32,85,96721,-24037,21532,96721 21532 -24037 2052 1 7 94033 21293
230,Ramblix,24813,265,2,13724,13848,73.3,0.6,2.0,70,7330,60,200,7330 200 60 485 1107369984 -266469342 1249902591 2147483632
232,Loo Kohor,24815,265,72,14352,14400,-512.69,-163.82,-1010.63,95,-51269,-16382,-101063,-51269 -101063 -16382 2328 13 -50255 -101137 -16328
233,???,24816,265,3,14604,14772,-1442.34,-84.61,-272.66,110,-144234,-8461,-27266,-144234 -27266 -8461 1845 -145006 -26748 -8468 -140364
234,Orcish Overlord,24817,265,11,14636,14772,-1442.34,-84.61,-272.66,110,-144234,-8461,-27266,-144234 -27266 -8461 1845 -145006 -26748 -8468 -140364
235,Overlord Bakgode,24818,265,41,14704,14772,-1442.34,-84.61,-272.66,110,-144234,-8461,-27266,-144234 -27266 -8461 1845 -145006 -26748 -8468 -140364
236,Ironhand Gadzrad,24819,265,18,14884,14912,-1407.33,-91.7,-245.32,110,-140733,-9170,-24532,-140733 -24532 -9170 1857 13 -143328 -25430 -8813
