offset,token
869,cm00
886,cm008
936,fdi2
953,fdi2+
1007,cm01
1125,cm02
1142,cm02+
1265,cm05
1325,cm03
1345,main
1374,cm03
1456,cm04
1473,cm04
1567,fdo2
1609,fdi2
1629,fdi2
1646,fdi2
1727,blon
1744,blon
1764,blof
1790,fdo1
1867,s043
1884,fdi1
1922,s044
1946,ang0+.
1983,ang1+.
2033,s045
2053,bik0+.
2076,bik1+.
2099,tlk0+.
2137,s046
2162,tlk1+.
2217,s047
2234,tlk0+.
2312,s048
2381,s048
2420,tlk0+.
2467,s049
2553,tlk0+.
2591,s050
2608,tlk1+.
2678,fdo2
2765,fdi1
2792,fdo1
2835,s051
2869,fdi1
2903,fdo1
2950,s052
2967,fdi1
2987,fum0+.
3018,fum1'
3056,pas0
3090,s053
3115,tlk0+.
3153,s054
3170,tlk1+.
3205,fdo2
3247,fdi1
3269,fdo1
3286,fdo18
3308,kbtl00
3337,s057
3354,fdi1
3414,s058
3431,blon
3448,blon
3475,blof
3493,fdo1
3510,fdo1F
3527,fdi1
3554,fdo1
3623,s059
3640,fdi1
3655,deadS0
3668,deadN
3734,s060
3775,fdo2
3822,s061
3839,fdi1
3864,tlk0+1
3887,tlk1+1
3910,fdo1
3957,s062
3974,fdi2
3999,tlk0+1
4022,tlk1+1
4045,ovl1
4077,s063
4110,fdo1
4157,s064
4174,fdi1
4199,tlk0+1
4252,s065
4282,fdo1
4324,fdi1
4351,fdo1
4394,s066
4435,fdi1
4467,tlk0+1
4520,s067
4607,s068
4639,tlk0+2
4662,tlk1E
4677,ovl1
4709,s069
4734,tlk0+2
4771,fdo2
4818,s070
4872,fdi1
4929,s071
4961,tlk0+1
4984,tlk1'
5011,fdo2
5053,qstc
5070,fdi2
5097,fdo1
5140,s055
5174,fdi1
5200,tlk0+.
5255,s045
5272,ang0+.
5295,ang1+.
5333,s052
5373,pas0#+.
5397,tlk0+.
5444,s056
5504,fdo2
5544,s056F
5561,qstc
5578,fdi2
5765,sit02
5795,tlk0
5814,tlk1S
5827,tlk1
5843,thk1
5862,thk2S
5875,thk2
5891,uts0
5910,uts1S
5923,uts1
5939,sit0
5958,sit1S
5971,sit1
5987,ste0
6006,ste1S
6019,ste1
6107,cor0S
6120,cor0
6136,cor0
6152,oki0S
6165,oki0
6181,tid0
6200,tlk2
6888,tla0
6902,tla0
6918,tla1
6932,tla1
6948,thk1S
6961,thk1
6975,thk1
6991,thk2
7005,thk2
7021,tlb0
7035,tlb0
7057,tlc0
7071,tlc0
7087,tlc1
7101,tlc1
7123,tlc0
7137,tlc0
7153,tlc1
7167,tlc1
7183,zet0
7197,zet0
7805,main
7822,blon
7851,damgE
7866,blof
7884,main
7901,blon
7930,damgE
7945,blof
7963,main
7980,blon
8009,damgb
8024,main
8053,damgb
8068,main
8097,damgE
8112,blof
9024,ksw0
9038,ksw0
9060,kst0
9074,kst0
9096,kst1
9110,kst1
9132,kup0
9146,kup0
9625,main
9645,stm3
9662,blon
9679,blon
9696,who1
9759,s000
9776,fdi1
9793,whi1
9810,s000E
9825,s006
9864,s005
9913,s005E
9928,s003
9966,s003E
9981,s007
10013,s007E
10028,s002
10066,s002E
10081,s008
10119,s008E
10134,s004
10173,blon
10190,blon
10207,who1
10309,whi1
10332,blof
10496,s023
10513,whi1
10588,s023E
10603,s024
10693,s024E
10708,s025
10906,s025E
10921,s012
11045,s011
11132,s013
11156,s013E
11171,s026
11213,s026E
11228,fdo1
11343,s015
11360,fdi1
11377,s015E
11392,s016
11419,s016E
11434,s011
11458,fdo1
11478,s011E
11493,s017
11517,fdi1
11556,s017E
11571,s027
11595,s027E
11610,s019
11641,s019E
11656,s020
11716,fdo1
11752,s022
11769,fdi1
11801,s022E
11816,s021
11838,blon
11855,blon
11872,who1
11973,s081
11990,blof
12007,whi1
12045,s095
12112,s095b
12127,main
12144,s084
12176,s082
12198,next
12243,s085
12260,blon
12277,blon
12314,s085E
12329,who1
12346,blof
12363,stop
12426,s000
12443,whi1
12505,s001
12561,s002
12578,s002N
12626,blon
12643,blon
12660,s003
12716,s003E
12731,who1
12773,s004
12790,whi1
12842,s005
12901,s006
12947,s007
13020,s010
13058,s010
13076,fdo1
13125,s008
13142,fdi1
13191,s009
13222,s009y
13265,s008
13292,fdo1
13354,fdi1
13612,tlc0
13626,tlc0
13642,tlc1
13656,tlc1
13678,thk1
13692,thk1
13708,thk2
13722,thk2
13750,iam0
13764,iam0
14076,rkm0
14090,rkm0
14106,ukm0
14120,ukm0
14136,ukm1
14150,ukm1
14166,utu0
14180,utu0
14196,utu1
14210,utu1
14578,main
14646,main
14714,main
14782,main
14826,main
14857,fdo1
